experiment,param_name,param_value,global_dim,local_dim,dropout,lr,weight_decay,lambda_viol,beta,batch_size,seed,best_epoch,train_loss_at_best,val_meta_roc_auc,roc_auc_138,pr_auc_138,f1_macro_138,f1_micro_138,precision_macro_138,recall_macro_138,precision_micro_138,recall_micro_138,matched_accuracy_138,hamming_loss_138,jaccard_138,hier_violation_rate_138,roc_auc_12,pr_auc_12,f1_macro_12,instance_f1_12,balanced_accuracy_12,matched_accuracy_12,sensitivity_macro_12,specificity_macro_12,precision_macro_12,recall_macro_12,hamming_loss_12,jaccard_12,hier_violation_rate_12,label_cooc_consistency_12,test_loss
datasetA_sweep,grid,lv=0_lr=1e-03_wd=1e-04_do=0.3,128,64,0.3,0.001,0.0001,0,0.5,32,42,6,0.6198286590122041,0.7903427550378516,0.8215,0.196,0.1882,0.2836,0.1799,0.2772,0.2225,0.391,0.0105,0.0525,0.1147,0.2382,0.8086,0.6388,0.6093,0.6156,0.7179,0.0408,0.6769,0.7589,0.5713,0.6769,0.2327,0.4441,0.0,0.1113,0.6482
datasetA_sweep,grid,lv=0_lr=1e-03_wd=1e-04_do=0.47,128,64,0.47,0.001,0.0001,0,0.5,32,42,8,0.6489543903441656,0.7919596275595424,0.8167,0.1814,0.1653,0.2809,0.1744,0.2251,0.2343,0.3504,0.0136,0.0477,0.1001,0.179,0.8042,0.6286,0.6039,0.6111,0.7172,0.0429,0.6833,0.7511,0.556,0.6833,0.2391,0.438,0.0,0.1325,0.6533
datasetA_sweep,grid,lv=0_lr=1e-03_wd=1e-03_do=0.3,128,64,0.3,0.001,0.001,0,0.5,32,42,16,0.6146127950577509,0.7885877293267868,0.7262,0.1053,0.09,0.2126,0.074,0.1897,0.1484,0.3748,0.0021,0.0738,0.0534,0.2658,0.7999,0.6249,0.6036,0.6023,0.7123,0.0356,0.6833,0.7413,0.5529,0.6833,0.2448,0.4378,0.0,0.1187,0.6838
datasetA_sweep,grid,lv=0_lr=1e-03_wd=1e-03_do=0.47,128,64,0.47,0.001,0.001,0,0.5,32,42,14,0.670151226293473,0.7850544687883584,0.7287,0.103,0.086,0.2182,0.061,0.1919,0.1518,0.388,0.001,0.0738,0.0512,0.2687,0.7998,0.6242,0.6044,0.6044,0.717,0.0282,0.7109,0.7231,0.5444,0.7109,0.2527,0.4385,0.0,0.1481,0.6811
datasetA_sweep,grid,lv=0_lr=5e-04_wd=1e-04_do=0.3,128,64,0.3,0.0005,0.0001,0,0.5,32,42,9,0.5963639985947382,0.7901548679865485,0.8071,0.1836,0.1763,0.2787,0.1791,0.2357,0.2325,0.3477,0.0052,0.0478,0.1076,0.169,0.7996,0.6285,0.5991,0.6052,0.7142,0.0418,0.6779,0.7506,0.551,0.6779,0.2411,0.4336,0.0,0.1172,0.6621
datasetA_sweep,grid,lv=0_lr=5e-04_wd=1e-04_do=0.47,128,64,0.47,0.0005,0.0001,0,0.5,32,42,19,0.5958732570920672,0.7907146134516424,0.8186,0.1953,0.2,0.2808,0.2029,0.2664,0.2282,0.3651,0.0063,0.0497,0.1217,0.2221,0.7968,0.624,0.5935,0.5993,0.7058,0.0429,0.6624,0.7493,0.5581,0.6624,0.2433,0.4275,0.0,0.1294,0.6642
datasetA_sweep,grid,lv=0_lr=5e-04_wd=1e-03_do=0.3,128,64,0.3,0.0005,0.001,0,0.5,32,42,7,0.6475740114847819,0.7883594504745252,0.7097,0.1021,0.1041,0.2082,0.086,0.1971,0.1477,0.3532,0.0094,0.0713,0.0619,0.2542,0.7995,0.6292,0.6094,0.6062,0.7254,0.0408,0.7122,0.7386,0.5422,0.7122,0.2469,0.444,0.0,0.1298,0.6811
datasetA_sweep,grid,lv=0_lr=5e-04_wd=1e-03_do=0.47,128,64,0.47,0.0005,0.001,0,0.5,32,42,13,0.66397716488157,0.7866369105601683,0.7171,0.1029,0.1001,0.2173,0.0814,0.1863,0.1575,0.3501,0.0115,0.067,0.0597,0.2587,0.7991,0.6254,0.6016,0.5963,0.7215,0.0262,0.7026,0.7404,0.54,0.7026,0.2533,0.4343,0.0,0.1382,0.6802
datasetA_sweep,grid,lv=0_lr=1e-04_wd=1e-04_do=0.3,128,64,0.3,0.0001,0.0001,0,0.5,32,42,19,0.6362954060236613,0.7887795806790471,0.6922,0.1149,0.1038,0.2218,0.1025,0.1568,0.1751,0.3025,0.0115,0.0564,0.0617,0.1945,0.7984,0.6302,0.5985,0.5998,0.7137,0.0303,0.7093,0.7182,0.5303,0.7093,0.2563,0.4327,0.0,0.1477,0.6796
datasetA_sweep,grid,lv=0_lr=1e-04_wd=1e-04_do=0.47,128,64,0.47,0.0001,0.0001,0,0.5,32,42,61,0.6202542742093404,0.7900605424870965,0.749,0.1427,0.1366,0.2474,0.1234,0.2052,0.1894,0.3565,0.0105,0.0576,0.0822,0.2613,0.7952,0.624,0.596,0.5978,0.716,0.0366,0.6723,0.7597,0.5443,0.6723,0.244,0.4296,0.0,0.1196,0.6712
datasetA_sweep,grid,lv=0_lr=1e-04_wd=1e-03_do=0.3,128,64,0.3,0.0001,0.001,0,0.5,32,42,28,0.6053931571188427,0.7836947882355182,0.6579,0.0989,0.0878,0.1912,0.0742,0.1654,0.1362,0.3208,0.0105,0.0721,0.0519,0.2497,0.7959,0.6225,0.5896,0.5867,0.7116,0.0335,0.6977,0.7255,0.5241,0.6977,0.2598,0.4229,0.0,0.1453,0.6911
datasetA_sweep,grid,lv=0_lr=1e-04_wd=1e-03_do=0.47,128,64,0.47,0.0001,0.001,0,0.5,32,42,68,0.6272923770404998,0.7852125955636011,0.6669,0.0913,0.0923,0.1911,0.077,0.1699,0.1349,0.3278,0.0115,0.0737,0.0541,0.2906,0.7911,0.6203,0.595,0.5945,0.715,0.0377,0.6751,0.755,0.5362,0.6751,0.2442,0.4296,0.0,0.1174,0.6924
datasetA_sweep,grid,lv=0.01_lr=1e-03_wd=1e-04_do=0.3,128,64,0.3,0.001,0.0001,0.01,0.5,32,42,6,0.6186733983811878,0.7895377651884795,0.8089,0.1876,0.1865,0.2619,0.1798,0.2848,0.2001,0.3791,0.0136,0.0568,0.113,0.2159,0.8015,0.6266,0.6031,0.6039,0.7177,0.0429,0.6781,0.7573,0.5542,0.6781,0.2408,0.4373,0.0,0.1182,0.657
datasetA_sweep,grid,lv=0.01_lr=1e-03_wd=1e-04_do=0.47,128,64,0.47,0.001,0.0001,0.01,0.5,32,42,11,0.6290244777997335,0.78964656726921,0.8259,0.1941,0.1957,0.275,0.1841,0.2799,0.2159,0.3788,0.0094,0.053,0.1193,0.1767,0.8049,0.6341,0.6117,0.611,0.7199,0.0345,0.7118,0.7281,0.5485,0.7118,0.247,0.4457,0.0,0.1336,0.6506
datasetA_sweep,grid,lv=0.01_lr=1e-03_wd=1e-03_do=0.3,128,64,0.3,0.001,0.001,0.01,0.5,32,42,5,0.6694234240622747,0.787691985668153,0.7066,0.0949,0.0996,0.2079,0.077,0.207,0.142,0.3883,0.0052,0.0786,0.0595,0.2778,0.8024,0.6278,0.6034,0.607,0.7207,0.0481,0.7225,0.7189,0.53,0.7225,0.2548,0.4374,0.0,0.146,0.6809
datasetA_sweep,grid,lv=0.01_lr=1e-03_wd=1e-03_do=0.47,128,64,0.47,0.001,0.001,0.01,0.5,32,42,55,0.659135665780022,0.7877498118220666,0.7018,0.0944,0.078,0.2002,0.0564,0.1817,0.1353,0.3843,0.001,0.0816,0.0467,0.3517,0.7969,0.6241,0.5924,0.5949,0.7077,0.0377,0.667,0.7483,0.5559,0.667,0.247,0.4263,0.0,0.1314,0.6856
datasetA_sweep,grid,lv=0.01_lr=5e-04_wd=1e-04_do=0.3,128,64,0.3,0.0005,0.0001,0.01,0.5,32,42,18,0.5174296844573248,0.7913141347433674,0.8234,0.2102,0.2094,0.301,0.226,0.263,0.2578,0.3617,0.0136,0.0446,0.1279,0.1419,0.789,0.614,0.5935,0.5925,0.7085,0.0418,0.665,0.752,0.5519,0.665,0.2469,0.427,0.0,0.1253,0.6923
datasetA_sweep,grid,lv=0.01_lr=5e-04_wd=1e-04_do=0.47,128,64,0.47,0.0005,0.0001,0.01,0.5,32,42,22,0.5914190258298602,0.7900521928264196,0.8198,0.1942,0.1878,0.2739,0.1919,0.2456,0.2273,0.3446,0.0136,0.0485,0.1142,0.1809,0.7969,0.628,0.5984,0.5973,0.71,0.0387,0.6704,0.7497,0.5561,0.6704,0.2453,0.4321,0.0,0.1191,0.6627
datasetA_sweep,grid,lv=0.01_lr=5e-04_wd=1e-03_do=0.3,128,64,0.3,0.0005,0.001,0.01,0.5,32,42,7,0.6498546889850072,0.7903420604714458,0.7116,0.1108,0.1058,0.2185,0.0822,0.2035,0.1553,0.3687,0.0052,0.0701,0.0634,0.2575,0.8036,0.6296,0.6088,0.6159,0.725,0.0471,0.6813,0.7687,0.5604,0.6813,0.2312,0.4438,0.0,0.1131,0.6756
datasetA_sweep,grid,lv=0.01_lr=5e-04_wd=1e-03_do=0.47,128,64,0.47,0.0005,0.001,0.01,0.5,32,42,11,0.669092561517443,0.7879006798939843,0.7046,0.1033,0.1019,0.2096,0.0844,0.1815,0.1521,0.337,0.0063,0.0675,0.0603,0.2618,0.7992,0.6178,0.6006,0.595,0.7181,0.0345,0.7005,0.7357,0.536,0.7005,0.2526,0.4341,0.0,0.1322,0.6833
datasetA_sweep,grid,lv=0.01_lr=1e-04_wd=1e-04_do=0.3,128,64,0.3,0.0001,0.0001,0.01,0.5,32,42,24,0.607409181481316,0.7870488692071711,0.6977,0.1226,0.1148,0.2377,0.1039,0.1761,0.1862,0.3284,0.0146,0.056,0.0695,0.1657,0.7967,0.6259,0.5921,0.595,0.704,0.0272,0.6915,0.7166,0.5367,0.6915,0.2549,0.4267,0.0,0.158,0.6799
datasetA_sweep,grid,lv=0.01_lr=1e-04_wd=1e-04_do=0.47,128,64,0.47,0.0001,0.0001,0.01,0.5,32,42,45,0.6511344921021235,0.785939077485764,0.6999,0.1119,0.1031,0.2275,0.0916,0.1643,0.1735,0.3303,0.0073,0.0596,0.0617,0.2089,0.7978,0.6294,0.5967,0.5955,0.7103,0.0356,0.7087,0.712,0.5276,0.7087,0.2595,0.4306,0.0,0.1621,0.6754
datasetA_sweep,grid,lv=0.01_lr=1e-04_wd=1e-03_do=0.3,128,64,0.3,0.0001,0.001,0.01,0.5,32,42,23,0.6235675953683399,0.7850189851032178,0.6611,0.091,0.0854,0.1956,0.0749,0.1592,0.1413,0.3178,0.0105,0.0694,0.0506,0.325,0.7992,0.6264,0.6008,0.5955,0.7161,0.0439,0.6824,0.7498,0.5498,0.6824,0.2457,0.4337,0.0,0.1297,0.6893
datasetA_sweep,grid,lv=0.01_lr=1e-04_wd=1e-03_do=0.47,128,64,0.47,0.0001,0.001,0.01,0.5,32,42,75,0.6149611206281753,0.7847598264204606,0.6632,0.0915,0.0922,0.1915,0.077,0.1717,0.1338,0.337,0.0126,0.0756,0.0543,0.2718,0.7908,0.6194,0.5923,0.5922,0.7087,0.0439,0.6751,0.7422,0.5391,0.6751,0.2507,0.4261,0.0,0.1376,0.6957
datasetA_sweep,grid,lv=0.05_lr=1e-03_wd=1e-04_do=0.3,128,64,0.3,0.001,0.0001,0.05,0.5,32,42,8,0.5892758054392678,0.7884761513659394,0.8303,0.2093,0.2191,0.2885,0.2215,0.2966,0.2242,0.4045,0.0052,0.053,0.1342,0.2333,0.8011,0.6352,0.6029,0.6027,0.7194,0.046,0.6778,0.7609,0.5587,0.6778,0.2413,0.4359,0.0,0.1232,0.659
datasetA_sweep,grid,lv=0.05_lr=1e-03_wd=1e-04_do=0.47,128,64,0.47,0.001,0.0001,0.05,0.5,32,42,15,0.6079629574503217,0.7922504786237675,0.8368,0.2059,0.2036,0.2881,0.1907,0.2992,0.2295,0.3868,0.0094,0.0508,0.1238,0.1373,0.8014,0.6293,0.6074,0.6038,0.7303,0.0513,0.7053,0.7553,0.5412,0.7053,0.2449,0.4408,0.0,0.1213,0.655
datasetA_sweep,grid,lv=0.05_lr=1e-03_wd=1e-03_do=0.3,128,64,0.3,0.001,0.001,0.05,0.5,32,42,7,0.651217566217695,0.7896452206758157,0.7338,0.1075,0.1134,0.2176,0.0878,0.2132,0.1554,0.3626,0.0105,0.0693,0.0678,0.2284,0.8016,0.6243,0.6048,0.6026,0.7217,0.0345,0.7353,0.7081,0.5235,0.7353,0.2604,0.4384,0.0,0.1516,0.6792
datasetA_sweep,grid,lv=0.05_lr=1e-03_wd=1e-03_do=0.47,128,64,0.47,0.001,0.001,0.05,0.5,32,42,15,0.670025893052419,0.7895136549191029,0.7031,0.0963,0.0894,0.2116,0.0664,0.1969,0.1456,0.3868,0.0021,0.0766,0.0527,0.3038,0.7993,0.6206,0.5974,0.6013,0.715,0.0408,0.6673,0.7627,0.5546,0.6673,0.2396,0.432,0.0,0.1225,0.6817
datasetA_sweep,grid,lv=0.05_lr=5e-04_wd=1e-04_do=0.3,128,64,0.3,0.0005,0.0001,0.05,0.5,32,42,11,0.5761064756484259,0.7894153593538498,0.8111,0.1827,0.18,0.2888,0.1967,0.238,0.2452,0.3513,0.0146,0.046,0.1091,0.1768,0.7956,0.6249,0.602,0.6018,0.7177,0.0481,0.6637,0.7717,0.559,0.6637,0.2358,0.4365,0.0,0.1025,0.6682
datasetA_sweep,grid,lv=0.05_lr=5e-04_wd=1e-04_do=0.47,128,64,0.47,0.0005,0.0001,0.05,0.5,32,42,15,0.6234260752087548,0.7936040429222846,0.8061,0.1711,0.1678,0.2701,0.1565,0.2591,0.2072,0.388,0.0115,0.0557,0.1018,0.2272,0.8039,0.6279,0.6016,0.6046,0.7181,0.0345,0.6864,0.7498,0.5489,0.6864,0.242,0.4356,0.0,0.1282,0.6556
datasetA_sweep,grid,lv=0.05_lr=5e-04_wd=1e-03_do=0.3,128,64,0.3,0.0005,0.001,0.05,0.5,32,42,11,0.617226140839713,0.7909832075002221,0.7252,0.1112,0.1076,0.2089,0.0908,0.2011,0.1488,0.3504,0.0084,0.0705,0.0641,0.2684,0.7957,0.6314,0.6009,0.5986,0.7133,0.0397,0.6627,0.7638,0.5672,0.6627,0.2385,0.4346,0.0,0.1188,0.6832
datasetA_sweep,grid,lv=0.05_lr=5e-04_wd=1e-03_do=0.47,128,64,0.47,0.0005,0.001,0.05,0.5,32,42,21,0.6410052344912575,0.7898619122147778,0.7156,0.1006,0.0996,0.2035,0.0828,0.2057,0.1392,0.3782,0.0042,0.0786,0.059,0.2799,0.7978,0.6256,0.5971,0.5966,0.713,0.0335,0.6943,0.7316,0.5384,0.6943,0.2537,0.4305,0.0,0.133,0.6813
datasetA_sweep,grid,lv=0.05_lr=1e-04_wd=1e-04_do=0.3,128,64,0.3,0.0001,0.0001,0.05,0.5,32,42,20,0.6324911191349938,0.7879365884321919,0.6904,0.1205,0.1048,0.2348,0.1028,0.1593,0.1905,0.3059,0.0105,0.053,0.0637,0.2376,0.8002,0.6262,0.5999,0.6004,0.7238,0.0492,0.6909,0.7566,0.5356,0.6909,0.2451,0.4339,0.0,0.1185,0.6785
datasetA_sweep,grid,lv=0.05_lr=1e-04_wd=1e-04_do=0.47,128,64,0.47,0.0001,0.0001,0.05,0.5,32,42,59,0.6280104296548026,0.7861960330973661,0.7378,0.1415,0.1316,0.2523,0.1253,0.1765,0.2108,0.3141,0.0157,0.0495,0.08,0.1222,0.7943,0.6254,0.594,0.5929,0.7087,0.0366,0.7072,0.7101,0.5225,0.7072,0.2599,0.4281,0.0,0.1611,0.6729
