Model;Label;Threshold;TP;TN;FP;FN;Bal.Acc;MCC;F1;ROC_AUC;PR_AUC;Sensitivity;Specificity
LR;fine_alcoholic;0.85;13;974;25;8;0.797;0.445;0.441;0.966;0.434;0.619;0.975
LR;fine_aldehydic;0.75;15;959;34;12;0.761;0.391;0.395;0.938;0.418;0.556;0.966
LR;fine_alliaceous;0.85;15;974;20;11;0.778;0.482;0.492;0.966;0.447;0.577;0.98
LR;fine_almond;0.8;8;967;35;10;0.705;0.268;0.262;0.891;0.317;0.444;0.965
LR;fine_amber;0.8;11;980;20;9;0.765;0.428;0.431;0.907;0.357;0.55;0.98
LR;fine_animal;0.8;11;961;29;19;0.669;0.294;0.314;0.667;0.216;0.367;0.971
LR;fine_anisic;0.8;10;973;24;13;0.705;0.34;0.351;0.857;0.264;0.435;0.976
LR;fine_apple;0.8;38;904;49;29;0.758;0.457;0.494;0.923;0.491;0.567;0.949
LR;fine_apricot;0.85;6;965;36;13;0.64;0.19;0.197;0.851;0.247;0.316;0.964
LR;fine_aromatic;0.8;4;957;47;12;0.602;0.116;0.119;0.781;0.083;0.25;0.953
LR;fine_balsamic;0.85;26;923;38;33;0.701;0.386;0.423;0.843;0.362;0.441;0.96
LR;fine_banana;0.9;13;970;19;18;0.7;0.394;0.413;0.921;0.349;0.419;0.981
LR;fine_beefy;0.9;5;1003;8;4;0.774;0.457;0.455;0.933;0.315;0.556;0.992
LR;fine_bergamot;0.9;4;1010;4;2;0.831;0.575;0.571;0.989;0.716;0.667;0.996
LR;fine_berry;0.8;7;951;37;25;0.591;0.156;0.184;0.764;0.183;0.219;0.963
LR;fine_bitter;0.85;3;991;16;10;0.607;0.178;0.188;0.723;0.169;0.231;0.984
LR;fine_black currant;0.9;2;1006;6;6;0.622;0.244;0.25;0.953;0.24;0.25;0.994
LR;fine_brandy;0.85;3;987;23;7;0.639;0.173;0.167;0.88;0.12;0.3;0.977
LR;fine_burnt;0.85;16;924;55;25;0.667;0.258;0.286;0.805;0.192;0.39;0.944
LR;fine_buttery;0.8;16;950;42;12;0.765;0.373;0.372;0.93;0.397;0.571;0.958
LR;fine_cabbage;0.9;2;1000;9;9;0.586;0.173;0.182;0.925;0.169;0.182;0.991
LR;fine_camphoreous;0.8;17;958;36;9;0.809;0.439;0.43;0.939;0.473;0.654;0.964
LR;fine_caramellic;0.75;32;930;43;15;0.818;0.511;0.525;0.858;0.457;0.681;0.956
LR;fine_cedar;0.9;3;999;11;7;0.645;0.245;0.25;0.862;0.275;0.3;0.989
LR;fine_celery;0.9;3;1003;7;7;0.647;0.293;0.3;0.71;0.3;0.3;0.993
LR;fine_chamomile;0.9;3;1006;7;4;0.711;0.353;0.353;0.796;0.336;0.429;0.993
LR;fine_cheesy;0.9;12;955;23;30;0.631;0.286;0.312;0.873;0.281;0.286;0.976
LR;fine_cherry;0.8;8;967;37;8;0.732;0.28;0.262;0.856;0.204;0.5;0.963
LR;fine_chocolate;0.85;5;982;22;11;0.645;0.225;0.233;0.853;0.153;0.312;0.978
LR;fine_cinnamon;0.85;4;999;9;8;0.662;0.312;0.32;0.889;0.359;0.333;0.991
LR;fine_citrus;0.7;47;887;57;29;0.779;0.484;0.522;0.886;0.436;0.618;0.94
LR;fine_clean;0.8;7;952;47;14;0.643;0.182;0.187;0.797;0.101;0.333;0.953
LR;fine_clove;0.9;4;1003;10;3;0.781;0.398;0.381;0.855;0.205;0.571;0.99
LR;fine_cocoa;0.85;9;972;26;13;0.692;0.306;0.316;0.891;0.296;0.409;0.974
LR;fine_coconut;0.8;15;972;29;4;0.88;0.506;0.476;0.977;0.547;0.789;0.971
LR;fine_coffee;0.85;12;962;36;10;0.755;0.349;0.343;0.952;0.386;0.545;0.964
LR;fine_cognac;0.85;13;962;34;11;0.754;0.367;0.366;0.917;0.349;0.542;0.966
LR;fine_cooked;0.85;6;974;25;15;0.63;0.216;0.231;0.739;0.132;0.286;0.975
LR;fine_cooling;0.85;4;992;12;12;0.619;0.238;0.25;0.877;0.176;0.25;0.988
LR;fine_cortex;0.85;4;984;23;9;0.642;0.199;0.2;0.728;0.082;0.308;0.977
LR;fine_coumarinic;0.9;6;998;8;8;0.71;0.421;0.429;0.939;0.48;0.429;0.992
LR;fine_creamy;0.7;17;900;88;15;0.721;0.254;0.248;0.816;0.27;0.531;0.911
