Model,Label,Threshold,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Sensitivity,Specificity,morgan_radius
LR,floral,0.6,0.772,0.451,0.532,0.867,0.525,0.697,0.847,1
LR,fruity,0.55,0.709,0.389,0.571,0.791,0.554,0.657,0.761,1
LR,sweet,0.6,0.721,0.377,0.501,0.807,0.501,0.645,0.797,1
LR,woody,0.65,0.696,0.342,0.435,0.815,0.392,0.519,0.872,1
LR,green,0.45,0.674,0.32,0.562,0.745,0.523,0.784,0.563,1
LR,spicy,0.65,0.732,0.4,0.503,0.832,0.45,0.625,0.84,1
LR,animal_musk,0.65,0.704,0.397,0.491,0.771,0.462,0.506,0.901,1
LR,earthy,0.65,0.761,0.507,0.588,0.844,0.568,0.611,0.912,1
LR,citrus,0.7,0.69,0.27,0.294,0.864,0.188,0.455,0.926,1
LR,chemical,0.45,0.731,0.46,0.71,0.79,0.693,0.83,0.632,1
LR,gourmand,0.55,0.733,0.417,0.57,0.813,0.6,0.701,0.766,1
LR,powdery_amber,0.6,0.725,0.414,0.542,0.811,0.498,0.615,0.836,1
RF,floral,0.3,0.715,0.421,0.505,0.873,0.548,0.517,0.912,1
RF,fruity,0.4,0.741,0.508,0.629,0.836,0.701,0.585,0.898,1
RF,sweet,0.35,0.727,0.45,0.55,0.823,0.6,0.557,0.897,1
RF,woody,0.4,0.641,0.34,0.398,0.829,0.432,0.328,0.953,1
RF,green,0.35,0.669,0.329,0.543,0.744,0.548,0.574,0.764,1
RF,spicy,0.35,0.72,0.441,0.528,0.836,0.538,0.525,0.914,1
RF,animal_musk,0.3,0.692,0.393,0.482,0.796,0.481,0.468,0.916,1
RF,earthy,0.4,0.702,0.471,0.531,0.861,0.607,0.451,0.953,1
RF,citrus,0.3,0.564,0.224,0.207,0.855,0.293,0.136,0.992,1
RF,chemical,0.4,0.734,0.466,0.714,0.813,0.729,0.839,0.629,1
RF,gourmand,0.4,0.732,0.485,0.598,0.838,0.667,0.564,0.9,1
RF,powdery_amber,0.35,0.684,0.402,0.505,0.819,0.574,0.454,0.914,1
XGB,floral,0.1,0.775,0.504,0.578,0.868,0.548,0.648,0.902,1
XGB,fruity,0.1,0.755,0.477,0.631,0.825,0.697,0.715,0.795,1
XGB,sweet,0.1,0.749,0.447,0.555,0.83,0.611,0.65,0.849,1
XGB,woody,0.1,0.68,0.329,0.422,0.802,0.389,0.473,0.887,1
XGB,green,0.1,0.651,0.28,0.529,0.72,0.513,0.635,0.666,1
XGB,spicy,0.1,0.704,0.359,0.47,0.804,0.476,0.562,0.846,1
XGB,animal_musk,0.1,0.694,0.365,0.467,0.76,0.461,0.506,0.882,1
XGB,earthy,0.1,0.736,0.441,0.535,0.834,0.575,0.586,0.886,1
XGB,citrus,0.1,0.646,0.31,0.337,0.835,0.292,0.318,0.974,1
XGB,chemical,0.1,0.697,0.404,0.687,0.787,0.715,0.86,0.535,1
XGB,gourmand,0.1,0.764,0.482,0.615,0.828,0.657,0.718,0.809,1
XGB,powdery_amber,0.1,0.697,0.365,0.503,0.794,0.533,0.566,0.829,1
SVM,floral,0.4,0.729,0.463,0.538,0.88,0.552,0.531,0.927,1
SVM,fruity,0.45,0.73,0.483,0.611,0.82,0.63,0.57,0.89,1
SVM,sweet,0.35,0.748,0.449,0.556,0.83,0.558,0.639,0.856,1
SVM,woody,0.45,0.605,0.265,0.325,0.818,0.384,0.26,0.951,1
SVM,green,0.35,0.686,0.357,0.566,0.759,0.556,0.616,0.756,1
SVM,spicy,0.4,0.687,0.397,0.483,0.842,0.506,0.45,0.923,1
SVM,animal_musk,0.45,0.656,0.386,0.444,0.782,0.506,0.357,0.955,1
SVM,earthy,0.5,0.66,0.41,0.458,0.845,0.544,0.358,0.962,1
SVM,citrus,0.2,0.608,0.301,0.303,0.849,0.286,0.227,0.988,1
SVM,chemical,0.35,0.733,0.465,0.714,0.807,0.738,0.848,0.617,1
SVM,gourmand,0.45,0.721,0.439,0.572,0.817,0.618,0.577,0.864,1
SVM,powdery_amber,0.4,0.681,0.372,0.494,0.811,0.487,0.478,0.885,1
KNN,floral,0.2,0.748,0.425,0.513,0.833,0.475,0.634,0.861,1
KNN,fruity,0.2,0.732,0.421,0.596,0.809,0.605,0.744,0.721,1
KNN,sweet,0.2,0.723,0.376,0.5,0.791,0.457,0.661,0.785,1
KNN,woody,0.2,0.686,0.319,0.416,0.75,0.382,0.511,0.861,1
KNN,green,0.2,0.651,0.28,0.532,0.703,0.481,0.658,0.645,1
KNN,spicy,0.2,0.671,0.298,0.422,0.74,0.381,0.512,0.829,1
KNN,animal_musk,0.2,0.681,0.316,0.431,0.746,0.361,0.519,0.842,1
KNN,earthy,0.2,0.731,0.424,0.522,0.818,0.495,0.586,0.876,1
KNN,citrus,0.2,0.576,0.165,0.198,0.73,0.163,0.182,0.97,1
KNN,chemical,0.4,0.724,0.443,0.687,0.775,0.658,0.72,0.727,1
KNN,gourmand,0.2,0.724,0.397,0.556,0.777,0.519,0.697,0.75,1
KNN,powdery_amber,0.2,0.718,0.375,0.516,0.775,0.446,0.668,0.769,1
