Model;Label;Bal.Acc;MCC;F1;ROC_AUC;PR_AUC;Sensitivity;Specificity;morgan_radius
LR;floral;0.8;0.526;0.642;0.862;0.649;0.819;0.78;2
LR;fruity;0.772;0.537;0.732;0.846;0.792;0.77;0.774;2
LR;sweet;0.679;0.34;0.6;0.739;0.591;0.761;0.598;2
LR;woody;0.773;0.454;0.561;0.833;0.573;0.773;0.774;2
LR;green;0.717;0.425;0.674;0.774;0.657;0.751;0.683;2
LR;spicy;0.728;0.364;0.493;0.796;0.465;0.786;0.67;2
LR;animal_musk;0.728;0.337;0.428;0.806;0.472;0.708;0.747;2
LR;earthy;0.721;0.358;0.482;0.799;0.544;0.692;0.749;2
LR;citrus;0.754;0.334;0.375;0.854;0.391;0.71;0.798;2
LR;chemical;0.713;0.413;0.659;0.778;0.652;0.758;0.668;2
LR;gourmand;0.752;0.418;0.547;0.823;0.582;0.794;0.711;2
LR;powdery_amber;0.747;0.403;0.519;0.81;0.46;0.746;0.749;2
RF;floral;0.759;0.554;0.644;0.876;0.709;0.588;0.929;2
RF;fruity;0.778;0.557;0.735;0.855;0.82;0.728;0.827;2
RF;sweet;0.686;0.369;0.587;0.754;0.61;0.595;0.777;2
RF;woody;0.66;0.401;0.467;0.832;0.592;0.37;0.951;2
RF;green;0.711;0.416;0.658;0.787;0.712;0.687;0.735;2
RF;spicy;0.661;0.389;0.467;0.804;0.562;0.381;0.941;2
RF;animal_musk;0.668;0.446;0.475;0.829;0.527;0.364;0.973;2
RF;earthy;0.671;0.411;0.48;0.808;0.568;0.394;0.947;2
RF;citrus;0.652;0.423;0.43;0.845;0.47;0.32;0.983;2
RF;chemical;0.718;0.426;0.66;0.796;0.717;0.718;0.718;2
RF;gourmand;0.697;0.426;0.53;0.837;0.638;0.481;0.913;2
RF;powdery_amber;0.658;0.419;0.465;0.83;0.556;0.351;0.964;2
XGB;floral;0.778;0.57;0.665;0.877;0.72;0.642;0.914;2
XGB;fruity;0.771;0.538;0.728;0.848;0.805;0.743;0.798;2
XGB;sweet;0.677;0.345;0.58;0.731;0.595;0.613;0.74;2
XGB;woody;0.68;0.4;0.493;0.815;0.559;0.436;0.924;2
XGB;green;0.696;0.387;0.642;0.779;0.7;0.673;0.718;2
XGB;spicy;0.674;0.368;0.479;0.787;0.527;0.447;0.901;2
XGB;animal_musk;0.678;0.391;0.462;0.803;0.482;0.416;0.939;2
XGB;earthy;0.672;0.37;0.468;0.777;0.521;0.429;0.914;2
XGB;citrus;0.647;0.375;0.403;0.83;0.479;0.32;0.974;2
XGB;chemical;0.71;0.41;0.649;0.777;0.674;0.704;0.715;2
XGB;gourmand;0.727;0.458;0.568;0.824;0.61;0.562;0.892;2
XGB;powdery_amber;0.66;0.364;0.456;0.8;0.504;0.395;0.925;2
SVM;floral;0.817;0.562;0.668;0.875;0.706;0.831;0.803;2
SVM;fruity;0.771;0.535;0.733;0.845;0.796;0.781;0.762;2
SVM;sweet;0.684;0.349;0.605;0.764;0.608;0.771;0.596;2
SVM;woody;0.77;0.447;0.555;0.827;0.555;0.773;0.768;2
SVM;green;0.724;0.44;0.681;0.787;0.68;0.751;0.698;2
SVM;spicy;0.737;0.381;0.508;0.816;0.531;0.772;0.701;2
SVM;animal_musk;0.75;0.391;0.476;0.818;0.472;0.695;0.806;2
SVM;earthy;0.745;0.415;0.527;0.806;0.532;0.682;0.808;2
SVM;citrus;0.794;0.414;0.447;0.865;0.499;0.74;0.847;2
SVM;chemical;0.722;0.432;0.67;0.789;0.681;0.774;0.671;2
SVM;gourmand;0.74;0.4;0.535;0.824;0.592;0.764;0.716;2
SVM;powdery_amber;0.739;0.397;0.517;0.804;0.463;0.707;0.771;2
KNN;floral;0.751;0.5;0.616;0.837;0.596;0.619;0.882;2
KNN;fruity;0.761;0.515;0.72;0.818;0.713;0.759;0.763;2
KNN;sweet;0.684;0.353;0.595;0.728;0.536;0.67;0.699;2
KNN;woody;0.677;0.379;0.483;0.779;0.446;0.445;0.908;2
KNN;green;0.686;0.366;0.632;0.747;0.61;0.667;0.705;2
KNN;spicy;0.692;0.377;0.499;0.762;0.442;0.512;0.873;2
KNN;animal_musk;0.674;0.392;0.459;0.754;0.425;0.403;0.945;2
KNN;earthy;0.688;0.394;0.493;0.766;0.452;0.465;0.911;2
KNN;citrus;0.662;0.348;0.4;0.769;0.35;0.37;0.953;2
KNN;chemical;0.708;0.404;0.654;0.76;0.606;0.748;0.668;2
KNN;gourmand;0.71;0.402;0.532;0.782;0.507;0.567;0.854;2
KNN;powdery_amber;0.678;0.367;0.477;0.768;0.425;0.459;0.897;2
