record_seq_num,unix_timestamp_sec,run_id,run_name,device_id,item,cycle,baseline_start_sec,baseline_end_sec,analyte_start_sec,analyte_end_sec,baseline_h,delta_h,baseline_t,delta_t,1,105,106,24,25,34,36,55
0,1775659213.683000,2604081640,2604081640,NOA222-10002-3H5QU_fsp,Ocimene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.732778,0.127004,0.583413,0.413874,0.331338,0.281003,0.281038,0.308008,0.262813,0.238051
1,1775657911.653000,2604081618,2604081618,NOA222-10002-3H5QU_fsp,Ocimene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.732667,0.138572,0.532110,0.434074,0.334196,0.290782,0.289314,0.313109,0.263302,0.284833
2,1775656593.639000,2604081556,2604081556,NOA222-10002-3H5QU_fsp,Ocimene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.717333,0.164507,0.494081,0.473268,0.332771,0.285086,0.301563,0.321381,0.255588,0.283442
3,1775654283.618000,2604081518,2604081518,NOA222-10002-3H5QU_fsp,Delta 3 Carene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,28.238667,-0.019337,0.449125,0.467397,0.330214,0.301157,0.322543,0.331946,0.270023,0.304884
4,1775653158.078000,2604081459,2604081459,NOA222-10002-3H5QU_fsp,Delta 3 Carene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,28.478333,0.029612,0.417917,0.445122,0.334211,0.330728,0.320887,0.361776,0.276138,0.309890
5,1775652032.871000,2604081440,2604081440,NOA222-10002-3H5QU_fsp,Delta 3 Carene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,28.614000,0.038394,0.385671,0.444666,0.325081,0.347647,0.332880,0.395040,0.275756,0.289977
6,1775650827.411000,2604081420,2604081420,NOA222-10002-3H5QU_fsp,Linalol_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,28.405000,0.217029,0.316629,0.414122,0.310983,0.364879,0.368940,0.422110,0.287135,0.318845
7,1775649627.612000,2604081400,2604081400,NOA222-10002-3H5QU_fsp,Linalol_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,28.174667,0.227422,0.260262,0.358840,0.301203,0.380818,0.417551,0.455167,0.291514,0.318190
8,1775648500.074000,2604081341,2604081341,NOA222-10002-3H5QU_fsp,Linalol_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.651333,0.322060,0.217717,0.302994,0.283891,0.398673,0.459304,0.440551,0.311318,0.345391
9,1775643498.414000,2604081218,2604081218,NOA222-10002-3H5QU_fsp,A Pinene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.646667,0.262416,0.169140,0.217334,0.243274,0.527367,0.415860,0.460884,0.293844,0.339356
10,1775642355.558000,2604081159,2604081159,NOA222-10002-3H5QU_fsp,A Pinene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.297333,0.237242,0.163829,0.228706,0.244320,0.564963,0.393132,0.420381,0.302292,0.345435
11,1775641019.562000,2604081136,2604081136,NOA222-10002-3H5QU_fsp,A Pinene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.090333,0.244947,0.178292,0.262961,0.259368,0.594179,0.330242,0.408179,0.327761,0.309268
12,1775639545.371000,2604081112,2604081112,NOA222-10002-3H5QU_fsp,S limonene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,26.842000,0.241262,0.340266,0.226646,0.241578,0.553719,0.321924,0.405501,0.322474,0.309565
13,1775638429.155000,2604081053,2604081053,NOA222-10002-3H5QU_fsp,S limonene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,26.637667,0.187501,0.360308,0.228840,0.274665,0.495981,0.301282,0.400755,0.338526,0.361105
14,1775637253.998000,2604081034,2604081034,NOA222-10002-3H5QU_fsp,S limonene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,26.763667,0.006501,0.389922,0.286693,0.358304,0.381860,0.249499,0.386402,0.387034,0.360856
15,1775636110.143000,2604081015,2604081015,NOA222-10002-3H5QU_fsp,R limonene_080426,1,0,9.99,10.323,1009.656,0.000000,0.000000,27.097333,-0.021673,0.407106,0.270723,0.336881,0.310413,0.276715,0.421387,0.399051,0.371145
16,1775634984.936000,2604080956,2604080956,NOA222-10002-3H5QU_fsp,R limonene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,27.163667,0.083045,0.400029,0.246641,0.303939,0.261694,0.279236,0.432497,0.460491,0.375772
17,1775633847.741000,2604080937,2604080937,NOA222-10002-3H5QU_fsp,R limonene_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,26.894333,0.276783,0.391948,0.233349,0.284507,0.203941,0.317557,0.442079,0.459689,0.402241
18,1775632718.205000,2604080918,2604080918,NOA222-10002-3H5QU_fsp,Blanc_080426,1,0,9.99,10.323,1009.989,0.000000,0.000000,25.830667,0.548284,0.376699,0.202384,0.173834,0.200491,0.415274,0.413386,0.296624,0.561602
19,1775632084.506000,2604080908,2604080908,NOA222-10002-3H5QU_fsp,allumage_080426,1,0,9.99,10.323,518.814,0.000000,0.000000,25.314333,0.240789,0.292770,0.218142,0.284604,0.221126,0.327427,0.350028,0.492120,0.514678
20,1775628750.510000,2604080812,2604080812,NOA222-10002-3H5QU_fsp,allumage_080426,1,0,9.99,10.323,1009.989,0.328273,-0.001853,22.993667,0.408260,-0.183725,-0.305810,-0.378291,-0.552508,-0.345251,-0.219293,-0.366825,-0.350012
