record_seq_num,unix_timestamp_sec,run_id,run_name,device_id,item,cycle,baseline_start_sec,baseline_end_sec,analyte_start_sec,analyte_end_sec,baseline_h,delta_h,baseline_t,delta_t,1,105,106,24,25,34,36,55,SMILES,SpAbs_A,SpMax_A,SpDiam_A,SpMAD_A,LogEE_A,VE1_A,VE2_A,VE3_A,VR1_A,nAtom,nBridgehead,ATS1dv,ATS4dv,ATS7dv,ATS4d,ATS5d,ATS7d,ATS4s,ATS1Z,ATS4Z,AATS3dv,AATS4d,AATS5d,AATS7s,AATS3Z,AATS7Z,ATSC4c,ATSC2dv,ATSC5dv,ATSC7d,ATSC5s,ATSC8s,ATSC5Z,ATSC6Z,ATSC8Z,MATS4c,MATS5c,MATS3s,GATS2s,GATS5Z,FNSA1,C3SP2,GeomShapeIndex,MIC1,ZMIC2,ZMIC3,MOMI-Z,PBF
0,1775659213.683,2604081640,2604081640,NOA222-10002-3H5QU_fsp,Ocimene_080426,1,0,9.99,10.323,1009.989,0.0,0.0,27.732778,0.127004,0.583413,0.413874,0.331338,0.281003,0.281038,0.308008,0.262813,0.238051,CC(C)/C=C/C=C(\C)/C=C,11.178985606196557,2.0314421132823886,4.062884226564778,1.1178985606196559,3.1236371063524735,2.972851104694123,0.2972851104694123,1.0895214602505632,29.23336652954241,26,0,67.0,36.0,4.0,88.0,69.0,41.0,101.22222222222223,420.0,390.0,0.94,1.6,1.6428571428571428,2.0537634408602146,9.7,6.967741935483871,-0.0077906453078400145,-10.366863905325447,-5.597633136094672,-0.14201183431952652,-0.42800788954635133,-0.8284023668639062,11.094674556213018,2.958579881656804,36.98224852071004,-0.0537883528429202,0.03664040134831129,-0.09605321507760531,0.7077526132404182,0.8705357142857144,1.0,1,0.7572853201445644,19.620256312722866,18.110387221372374,17.574311228974064,89.73415755259441,0.15655219591815714
1,1775657911.653,2604081618,2604081618,NOA222-10002-3H5QU_fsp,Ocimene_080426,1,0,9.99,10.323,1009.989,0.0,0.0,27.732667,0.138572,0.53211,0.434074,0.334196,0.290782,0.289314,0.313109,0.263302,0.284833,CC(C)/C=C/C=C(\C)/C=C,11.178985606196557,2.0314421132823886,4.062884226564778,1.1178985606196559,3.1236371063524735,2.972851104694123,0.2972851104694123,1.0895214602505632,29.23336652954241,26,0,67.0,36.0,4.0,88.0,69.0,41.0,101.22222222222223,420.0,390.0,0.94,1.6,1.6428571428571428,2.0537634408602146,9.7,6.967741935483871,-0.0077906453078400145,-10.366863905325447,-5.597633136094672,-0.14201183431952652,-0.42800788954635133,-0.8284023668639062,11.094674556213018,2.958579881656804,36.98224852071004,-0.0537883528429202,0.03664040134831129,-0.09605321507760531,0.7077526132404182,0.8705357142857144,1.0,1,0.7572853201445644,19.620256312722866,18.110387221372374,17.574311228974064,89.73415755259441,0.15655219591815714
2,1775656593.639,2604081556,2604081556,NOA222-10002-3H5QU_fsp,Ocimene_080426,1,0,9.99,10.323,1009.989,0.0,0.0,27.717333,0.164507,0.494081,0.473268,0.332771,0.285086,0.301563,0.321381,0.255588,0.283442,CC(C)/C=C/C=C(\C)/C=C,11.178985606196557,2.0314421132823886,4.062884226564778,1.1178985606196559,3.1236371063524735,2.972851104694123,0.2972851104694123,1.0895214602505632,29.23336652954241,26,0,67.0,36.0,4.0,88.0,69.0,41.0,101.22222222222223,420.0,390.0,0.94,1.6,1.6428571428571428,2.0537634408602146,9.7,6.967741935483871,-0.0077906453078400145,-10.366863905325447,-5.597633136094672,-0.14201183431952652,-0.42800788954635133,-0.8284023668639062,11.094674556213018,2.958579881656804,36.98224852071004,-0.0537883528429202,0.03664040134831129,-0.09605321507760531,0.7077526132404182,0.8705357142857144,1.0,1,0.7572853201445644,19.620256312722866,18.110387221372374,17.574311228974064,89.73415755259441,0.15655219591815714
3,1775654283.618,2604081518,2604081518,NOA222-10002-3H5QU_fsp,Delta 3 Carene_080426,1,0,9.99,10.323,1009.989,0.0,0.0,28.238667,-0.019337,0.449125,0.467397,0.330214,0.301157,0.322543,0.331946,0.270023,0.304884,CC1=CCC2C(C1)C2(C)C,12.284425065440635,2.6106403829419254,4.712443631433494,1.2284425065440636,3.345999305618446,2.804251923537365,0.28042519235373653,1.0311368094794373,41.66736356327814,26,0,83.0,21.0,0.0,124.0,94.0,18.0,117.58333333333333,492.0,475.0,0.9850746268656716,1.55,1.540983606557377,1.0,10.402985074626866,1.0,0.010484978664649734,-20.467455621301774,-10.639053254437862,3.834319526627217,1.1632869000657464,0.0,35.20710059171597,-37.72189349112424,0.0,0.08249797716342933,0.006331252204099642,-0.33150846203861106,0.6622443533910529,0.699282786885246,0.9999999999999998,1,0.893959939547678,19.58616617363482,19.759332507258147,17.98976349330346,145.28181408846916,0.2031597489706432
4,1775653158.078,2604081459,2604081459,NOA222-10002-3H5QU_fsp,Delta 3 Carene_080426,1,0,9.99,10.323,1009.989,0.0,0.0,28.478333,0.029612,0.417917,0.445122,0.334211,0.330728,0.320887,0.361776,0.276138,0.30989,CC1=CCC2C(C1)C2(C)C,12.284425065440635,2.6106403829419254,4.712443631433494,1.2284425065440636,3.345999305618446,2.804251923537365,0.28042519235373653,1.0311368094794373,41.66736356327814,26,0,83.0,21.0,0.0,124.0,94.0,18.0,117.58333333333333,492.0,475.0,0.9850746268656716,1.55,1.540983606557377,1.0,10.402985074626866,1.0,0.010484978664649734,-20.467455621301774,-10.639053254437862,3.834319526627217,1.1632869000657464,0.0,35.20710059171597,-37.72189349112424,0.0,0.08249797716342933,0.006331252204099642,-0.33150846203861106,0.6622443533910529,0.699282786885246,0.9999999999999998,1,0.893959939547678,19.58616617363482,19.759332507258147,17.98976349330346,145.28181408846916,0.2031597489706432
5,1775652032.871,2604081440,2604081440,NOA222-10002-3H5QU_fsp,Delta 3 Carene_080426,1,0,9.99,10.323,1009.989,0.0,0.0,28.614,0.038394,0.385671,0.444666,0.325081,0.347647,0.33288,0.39504,0.275756,0.289977,CC1=CCC2C(C1)C2(C)C,12.284425065440635,2.6106403829419254,4.712443631433494,1.2284425065440636,3.345999305618446,2.804251923537365,0.28042519235373653,1.0311368094794373,41.66736356327814,26,0,83.0,21.0,0.0,124.0,94.0,18.0,117.58333333333333,492.0,475.0,0.9850746268656716,1.55,1.540983606557377,1.0,10.402985074626866,1.0,0.010484978664649734,-20.467455621301774,-10.639053254437862,3.834319526627217,1.1632869000657464,0.0,35.20710059171597,-37.72189349112424,0.0,0.08249797716342933,0.006331252204099642,-0.33150846203861106,0.6622443533910529,0.699282786885246,0.9999999999999998,1,0.893959939547678,19.58616617363482,19.759332507258147,17.98976349330346,145.28181408846916,0.2031597489706432
6,1775650827.411,2604081420,2604081420,NOA222-10002-3H5QU_fsp,Linalol_080426,1,0,9.99,10.323,1009.989,0.0,0.0,28.405,0.217029,0.316629,0.414122,0.310983,0.364879,0.36894,0.42211,0.287135,0.318845,CC(=CCCC(C)(C=C)O)C,11.828972355048645,2.175327747161075,4.350655494322149,1.0753611231862406,3.2364987166650705,2.8861640251245984,0.26237854773859987,1.1552384733034782,43.964739376337064,29,0,80.0,51.0,4.0,118.0,92.0,44.0,152.66666666666666,482.0,522.0,0.9354838709677419,1.5324675324675325,1.4838709677419355,2.8627450980392153,10.774193548387096,7.823529411764706,-0.019272182215681492,-17.286563614744356,26.694411414982156,0.1712247324613546,2.9690513938433125,1.5334258158277227,57.52199762187871,74.22235434007136,56.254458977407864,-0.028244323562213052,0.06234690961831086,-0.16096269735227564,0.6954256732278711,0.6980759391249508,0.9999999999999999,1,0.9924112188249876,22.23308897844457,18.70724099226425,18.510138854669243,171.6564945110906,0.2395543115586293
7,1775649627.612,2604081400,2604081400,NOA222-10002-3H5QU_fsp,Linalol_080426,1,0,9.99,10.323,1009.989,0.0,0.0,28.174667,0.227422,0.260262,0.35884,0.301203,0.380818,0.417551,0.455167,0.291514,0.31819,CC(=CCCC(C)(C=C)O)C,11.828972355048645,2.175327747161075,4.350655494322149,1.0753611231862406,3.2364987166650705,2.8861640251245984,0.26237854773859987,1.1552384733034782,43.964739376337064,29,0,80.0,51.0,4.0,118.0,92.0,44.0,152.66666666666666,482.0,522.0,0.9354838709677419,1.5324675324675325,1.4838709677419355,2.8627450980392153,10.774193548387096,7.823529411764706,-0.019272182215681492,-17.286563614744356,26.694411414982156,0.1712247324613546,2.9690513938433125,1.5334258158277227,57.52199762187871,74.22235434007136,56.254458977407864,-0.028244323562213052,0.06234690961831086,-0.16096269735227564,0.6954256732278711,0.6980759391249508,0.9999999999999999,1,0.9924112188249876,22.23308897844457,18.70724099226425,18.510138854669243,171.6564945110906,0.2395543115586293
8,1775648500.074,2604081341,2604081341,NOA222-10002-3H5QU_fsp,Linalol_080426,1,0,9.99,10.323,1009.989,0.0,0.0,27.651333,0.32206,0.217717,0.302994,0.283891,0.398673,0.459304,0.440551,0.311318,0.345391,CC(=CCCC(C)(C=C)O)C,11.828972355048645,2.175327747161075,4.350655494322149,1.0753611231862406,3.2364987166650705,2.8861640251245984,0.26237854773859987,1.1552384733034782,43.964739376337064,29,0,80.0,51.0,4.0,118.0,92.0,44.0,152.66666666666666,482.0,522.0,0.9354838709677419,1.5324675324675325,1.4838709677419355,2.8627450980392153,10.774193548387096,7.823529411764706,-0.019272182215681492,-17.286563614744356,26.694411414982156,0.1712247324613546,2.9690513938433125,1.5334258158277227,57.52199762187871,74.22235434007136,56.254458977407864,-0.028244323562213052,0.06234690961831086,-0.16096269735227564,0.6954256732278711,0.6980759391249508,0.9999999999999999,1,0.9924112188249876,22.23308897844457,18.70724099226425,18.510138854669243,171.6564945110906,0.2395543115586293
9,1775643498.414,2604081218,2604081218,NOA222-10002-3H5QU_fsp,A Pinene_080426,1,0,9.99,10.323,1009.989,0.0,0.0,27.646667,0.262416,0.16914,0.217334,0.243274,0.527367,0.41586,0.460884,0.293844,0.339356,CC1=CCC2CC1C2(C)C,12.18449028865282,2.554463279341993,5.108926558683985,1.2184490288652818,3.3021556410785124,2.940643155691276,0.2940643155691276,1.078628317865224,35.63599261683106,26,2,84.0,11.0,0.0,142.0,76.0,0.0,129.99999999999997,492.0,496.0,0.8695652173913043,1.6511627906976745,1.1875,2.272727272727273,11.072463768115941,6.0,-0.014036331566375907,-9.076923076923086,15.763313609467462,0.0,-1.4672912557527948,0.0,5.9171597633136015,99.85207100591715,0.0,-0.10384147250166517,-0.06918338822772999,-0.19006838336848675,0.6649733823198622,0.7617187500000002,1.0,1,0.8126315162318682,21.43401232748097,17.782037361138762,17.782037361138762,194.791117551099,0.24529426342402058
