fine_label,n_molecules
fruity,1901
green,1445
sweet,1426
floral,1099
herbal,754
woody,675
fatty,597
fresh,529
waxy,487
spicy,463
sulfurous,402
oily,388
tropical,386
citrus,378
nutty,366
rose,331
earthy,327
apple,308
roasted,305
meaty,299
balsamic,297
vegetable,287
ethereal,287
caramellic,234
mint,224
winey,221
pineapple,205
musty,200
odorless,200
pungent,198
creamy,190
cheesy,187
burnt,186
phenolic,179
onion,177
powdery,167
dry,166
honey,157
berry,156
fermented,147
aldehydic,143
leafy,139
buttery,139
metallic,133
melon,132
camphoreous,131
pear,130
banana,128
savory,128
alliaceous,126
animal,124
dairy,123
garlic,120
cocoa,118
cognac,112
vanilla,111
coffee,110
alcoholic,105
jasmin,103
sharp,103
tobacco,102
amber,101
mushroom,99
musk,98
orange,98
clean,96
peach,95
warm,95
coconut,91
grape,91
rummy,89
cooked,87
anisic,87
almond,87
ripe,87
milky,86
cherry,82
lemon,81
cooling,80
apricot,78
fishy,78
natural,77
pine,76
aromatic,75
grapefruit,74
hay,74
smoky,72
sour,72
lily,70
medicinal,70
chocolate,69
lactonic,67
cinnamon,66
violet,66
bitter,64
grassy,64
plum,61
geranium,61
coumarinic,60
orris,59
solvent,58
hyacinth,58
tea,56
potato,56
cortex,56
muguet,55
radish,55
leathery,54
fruit skin,52
hazelnut,52
juicy,51
soapy,50
strawberry,49
cedar,49
ketonic,48
terpenic,47
cabbage,46
cucumber,46
weedy,44
lavender,44
beefy,43
black currant,43
raspberry,43
celery,42
brandy,42
ozone,39
sweaty,38
vetiver,38
tomato,37
popcorn,36
sandalwood,36
gassy,35
hawthorn,34
clove,34
orangeflower,33
malty,33
bergamot,32
chamomile,31
