model,metric,n_all,rho_all,p_all,n_highN,rho_highN,p_highN,n_partial,rho_partial,p_partial
KNN,PR_AUC_mean,130,0.4254253217841545,4.521509507865955e-07,65,0.38745000781311134,0.0014293787313508304,130,0.22437720421559465,0.01027616154867819
KNN,F1_mean,130,0.38106831352299986,7.718679014266573e-06,65,0.3963280735040478,0.00108214714719695,130,0.14493863984914143,0.0999092088088688
KNN,MCC_mean,130,0.35145176760593855,4.130652054685327e-05,65,0.35232662751437666,0.003997641493647359,130,0.17082070390883936,0.05199782210908148
KNN,Sensitivity_mean,130,0.38399812897854496,6.479257042431476e-06,65,0.3922147227509609,0.0012322453335295548,130,0.14245861771088428,0.10591105153579249
LR,PR_AUC_mean,130,0.41625045040937525,8.411787936092031e-07,65,0.4394247423186441,0.000250071703526557,130,0.24435469410709632,0.00508236034441296
LR,F1_mean,130,0.44091908648512507,1.518952007908652e-07,65,0.4243874768267154,0.00042630839602973887,130,0.2307566495617212,0.00825721511065041
LR,MCC_mean,130,0.41714362216296397,7.924853419397274e-07,65,0.4121394956722577,0.0006465992398378056,130,0.2641194180235761,0.002393822498222977
LR,Sensitivity_mean,130,0.3452282513755784,5.7563567204048714e-05,65,0.40712529780841,0.0007633924618149363,130,0.18015864958379713,0.04025721711997347
RF,PR_AUC_mean,130,0.3933997513983297,3.6526164252870215e-06,65,0.4167859721859972,0.0005531042028677511,130,0.2152024458001127,0.013937540942364258
RF,F1_mean,130,0.4144452382229495,9.484232893361104e-07,65,0.38876139724554704,0.0013724727858133582,130,0.19867290586556668,0.02345264325312142
RF,MCC_mean,130,0.3775298049525822,9.51445202431523e-06,65,0.36106922373061434,0.003127371176963981,130,0.21259936864353224,0.015164633673057286
RF,Sensitivity_mean,130,0.3791149350936184,8.666044778267414e-06,65,0.34905196789608134,0.004375123234041663,130,0.1568496142012445,0.07472702970640165
SVM,PR_AUC_mean,130,0.4020505703329002,2.1218771473510555e-06,65,0.41890149770102625,0.000514755887867976,130,0.23269084297672993,0.007718713810836292
SVM,F1_mean,130,0.4135754972106979,1.004620818732132e-06,65,0.388979962150953,0.0013631892502149019,130,0.21604973393968915,0.013557268201089392
SVM,MCC_mean,130,0.402996905691905,1.9976138003723623e-06,65,0.38719196063112593,0.00144082307193912,130,0.259893720272723,0.0028254807013426047
SVM,Sensitivity_mean,130,0.37017853815766283,1.4579840456085302e-05,65,0.31029998673892717,0.011882741651010968,130,0.12310728824172558,0.1628963597132208
XGB,PR_AUC_mean,130,0.41650478428152327,8.270306931702726e-07,65,0.43341420741998077,0.00031042080975882233,130,0.22809782332118594,0.009051590002563059
XGB,F1_mean,130,0.36787238050500826,1.6633450031439765e-05,65,0.35768928441869335,0.003441514654953159,130,0.17062127671193897,0.05227655509821314
XGB,MCC_mean,130,0.3396269015603485,7.714358141135721e-05,65,0.3437151702413826,0.005058119217328721,130,0.19118018072146648,0.02934091764268318
XGB,Sensitivity_mean,130,0.37126500845504873,1.3697430796215925e-05,65,0.3380980521724499,0.005876968938515539,130,0.13034856164260322,0.1393643044472275
