Model,Config,Label,Bal.Acc_mean,Bal.Acc_std,Bal.Acc_count,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,Precision_mean,Precision_std,Precision_count,Sensitivity_mean,Sensitivity_std,Sensitivity_count,Specificity_mean,Specificity_std,Specificity_count
KNN,KNN_n_neighbors=5_metric=euclidean,fine_alcoholic,0.8263999999999999,0.04280537349445736,5,0.5302,0.09888225321057366,5,0.5218,0.12249775508147076,5,0.8779999999999999,0.044283179650969035,5,0.5469999999999999,0.07385797181076664,5,0.458,0.16629642209019413,5,0.6764,0.10198186113226218,5,0.9762000000000001,0.02397290136800297,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_aldehydic,0.633,0.07217686609987993,5,0.26739999999999997,0.13159331290001022,5,0.2692,0.13110949622357645,5,0.8092,0.031156058800817545,5,0.2514,0.07739702836672738,5,0.3254,0.19709718415035768,5,0.2878,0.15960482448848468,5,0.9778,0.019447364860052385,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_alliaceous,0.7528,0.07607036216556354,5,0.4262,0.029098109904253232,5,0.42539999999999994,0.03427535557802426,5,0.9349999999999999,0.03728270376461445,5,0.4344,0.04763192206913342,5,0.3936,0.10142632794299515,5,0.5306,0.17059689328941488,5,0.975,0.018587630295441124,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_almond,0.5664,0.036322169538726565,5,0.2192,0.13572656335441488,5,0.19,0.11053280056164325,5,0.7838,0.020228692493584482,5,0.1958,0.0776447036184697,5,0.4202,0.29931204452878274,5,0.14020000000000002,0.0728265061636215,5,0.9934,0.0074363969770313,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_amber,0.6881999999999999,0.04278668017035206,5,0.37520000000000003,0.059855659715686044,5,0.377,0.05528562200066127,5,0.8827999999999999,0.017005881335585078,5,0.2986,0.05374755808406554,5,0.4088,0.1505413564440018,5,0.3906,0.09202879984005008,5,0.9856,0.009864076236526149,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_animal,0.6498,0.03562583332358698,5,0.30700000000000005,0.041713307229228405,5,0.3154,0.03835752859609181,5,0.7465999999999999,0.05920135133592815,5,0.2032,0.02700370344971223,5,0.3478,0.1057861049476726,5,0.3176,0.08034488160424408,5,0.9822,0.012235195135346242,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_anisic,0.673,0.06930728677419133,5,0.3828,0.15142060625951806,5,0.3888,0.14923370932869023,5,0.7939999999999999,0.11852425912023246,5,0.34740000000000004,0.18411626761370112,5,0.4372,0.17463877003689646,5,0.354,0.13844132331063583,5,0.9922000000000001,0.0021679483388678633,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_apple,0.7727999999999999,0.06469698601944297,5,0.4372,0.07484450547635411,5,0.4638,0.0646312617856096,5,0.8858,0.025820534463871978,5,0.41340000000000005,0.05202691611079788,5,0.38039999999999996,0.036528071397214514,5,0.611,0.13887584383181975,5,0.9342,0.015073154945133355,5
KNN,KNN_n_neighbors=11_metric=euclidean,fine_apricot,0.6582,0.11517464998861512,5,0.1508,0.09962278855763876,5,0.1328,0.08305540319569824,5,0.7333999999999999,0.08641354060562502,5,0.07139999999999999,0.023891421054428725,5,0.0846,0.05509355679206054,5,0.3792,0.2808339366956921,5,0.9373999999999999,0.06167090075554272,5
KNN,KNN_n_neighbors=21_metric=euclidean,fine_aromatic,0.5604,0.028979302959181025,5,0.0886,0.024825390228554317,5,0.1,0.02514955267991859,5,0.675,0.059941638282582824,5,0.061399999999999996,0.038095931541307665,5,0.0804,0.019539703170723958,5,0.1494,0.079254652860258,5,0.9718,0.02219684662288764,5
