Model,Config,Label,Bal.Acc_mean,Bal.Acc_std,Bal.Acc_count,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,Precision_mean,Precision_std,Precision_count,Sensitivity_mean,Sensitivity_std,Sensitivity_count,Specificity_mean,Specificity_std,Specificity_count
KNN,KNN_n_neighbors=11_metric=cosine,fine_alcoholic,0.8346,0.05313943921420325,5,0.5050000000000001,0.05031401395237709,5,0.49400000000000005,0.05325410782277738,5,0.9086000000000001,0.04834563061952964,5,0.5327999999999999,0.07139817924849345,5,0.3948,0.07904871915470864,5,0.6942,0.11284148173433386,5,0.9756,0.008820430828479959,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_aldehydic,0.633,0.07217686609987993,5,0.26739999999999997,0.13159331290001022,5,0.2692,0.13110949622357645,5,0.8092,0.031156058800817545,5,0.2514,0.07739702836672738,5,0.3254,0.19709718415035768,5,0.2878,0.15960482448848468,5,0.9778,0.019447364860052385,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_alliaceous,0.7518,0.10743463128805349,5,0.409,0.030878795313289013,5,0.3898,0.06377068291934783,5,0.9018,0.03409838705862786,5,0.41600000000000004,0.06003748828856851,5,0.4034,0.1861432244267838,5,0.5412,0.25982725030296566,5,0.9621999999999999,0.04606191485381388,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_almond,0.5664,0.036322169538726565,5,0.2192,0.13572656335441488,5,0.19,0.11053280056164325,5,0.7838,0.020228692493584482,5,0.1958,0.0776447036184697,5,0.4202,0.29931204452878274,5,0.14020000000000002,0.0728265061636215,5,0.9934,0.0074363969770313,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_amber,0.6742,0.02399374918598588,5,0.35960000000000003,0.04922194632478485,5,0.369,0.04670117771534247,5,0.8566,0.03329113996245848,5,0.2678,0.047913463661062944,5,0.389,0.08558913482446238,5,0.3608,0.04847886137276739,5,0.9879999999999999,0.004183300132670385,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_animal,0.634,0.057008771254956875,5,0.2954,0.020032473636573195,5,0.2924,0.02052559377947447,5,0.704,0.033948490393535896,5,0.19319999999999998,0.03535109616405125,5,0.37939999999999996,0.12746097441962384,5,0.2836,0.12730593073380359,5,0.9843999999999999,0.01402854233340016,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_anisic,0.6686,0.07893858372177698,5,0.3854,0.18247547780455323,5,0.3892,0.17930895125453164,5,0.7817999999999999,0.09874056916992122,5,0.33,0.18996841842790607,5,0.45499999999999996,0.21647517178651227,5,0.3442,0.15754903998438072,5,0.9934,0.0016733200530681645,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_apple,0.7727999999999999,0.06469698601944297,5,0.4372,0.07484450547635411,5,0.4638,0.0646312617856096,5,0.8858,0.025820534463871978,5,0.41340000000000005,0.05202691611079788,5,0.38039999999999996,0.036528071397214514,5,0.611,0.13887584383181975,5,0.9342,0.015073154945133355,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_apricot,0.6612,0.09189504883289415,5,0.1572,0.07566835534092173,5,0.1426,0.060521070710951565,5,0.734,0.08356135470419325,5,0.0692,0.02324220299369231,5,0.0922,0.042044024545706854,5,0.403,0.2072607053929905,5,0.9192,0.05878945483673071,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_aromatic,0.5778,0.07207773581349511,5,0.08399999999999999,0.058253755243760884,5,0.08,0.055104446281584216,5,0.6634,0.056993859318351096,5,0.045,0.017507141400011597,5,0.074,0.06755368235707065,5,0.2088,0.19737705033767222,5,0.9468,0.060209633780650085,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_balsamic,0.6934,0.03989110176467927,5,0.3786,0.058705195681472686,5,0.40440000000000004,0.06065723369887552,5,0.86,0.03333916615633931,5,0.40659999999999996,0.06022707032556041,5,0.4262,0.13409958985768744,5,0.43760000000000004,0.122314349117346,5,0.9491999999999999,0.050534146871199864,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_banana,0.7378,0.056113278285981505,5,0.3296,0.03837056163258496,5,0.325,0.049457052075512965,5,0.8462,0.03911777089763682,5,0.274,0.10630380990350251,5,0.252,0.07591113225344488,5,0.521,0.1328589477603974,5,0.9548,0.02310194796981412,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_beefy,0.7363999999999999,0.17359521882816936,5,0.21480000000000002,0.13696970467953853,5,0.1666,0.12194998974989707,5,0.8366,0.11175329972756957,5,0.1452,0.09879119393954097,5,0.12279999999999999,0.1255575565228951,5,0.5112,0.3735929603191152,5,0.961,0.033030289129827445,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_bergamot,0.6394,0.16113131290968866,5,0.275,0.22298206205881227,5,0.258,0.2062183309019836,5,0.7826000000000001,0.09242997349345065,5,0.31260000000000004,0.21836048177268708,5,0.317,0.24574275167337084,5,0.2822,0.32442826633941746,5,0.9970000000000001,0.0031622776601683777,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_berry,0.6288,0.039041004085448465,5,0.2062,0.0628545941041703,5,0.22139999999999999,0.07268975168481456,5,0.702,0.016970562748477115,5,0.137,0.016926310879810755,5,0.2088,0.1012803041069684,5,0.3298,0.16015992007990013,5,0.9278000000000001,0.09568280932330527,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_bitter,0.5762,0.04025170803829322,5,0.217,0.06910499258374896,5,0.18380000000000002,0.05676882947533796,5,0.6584,0.07819718665016027,5,0.11139999999999999,0.05078188653447211,5,0.4232,0.3498166662696333,5,0.15860000000000002,0.08622238688414975,5,0.9936,0.007127411872482187,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_black currant,0.6466000000000001,0.05305468876546159,5,0.2702,0.11705212514089611,5,0.2676,0.11602499730661492,5,0.8573999999999999,0.06258833757178729,5,0.22139999999999999,0.10052512123842477,5,0.2732,0.1718187999026882,5,0.3026,0.10296747059144457,5,0.9907999999999999,0.006058052492344408,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_brandy,0.6642,0.18191948768617394,5,0.11500000000000002,0.10514989300993131,5,0.08180000000000001,0.058092168146833705,5,0.7034,0.1671071512533201,5,0.0612,0.06118578266231462,5,0.0476,0.03256224807963971,5,0.37160000000000004,0.3859576401627515,5,0.9568,0.029243802762294775,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_burnt,0.6594,0.09485146282477674,5,0.25379999999999997,0.09086638542387389,5,0.2656,0.0885906315588731,5,0.817,0.02658006772000399,5,0.2242,0.028769775807259947,5,0.248,0.07463243262818113,5,0.3676,0.22317773186409076,5,0.9513999999999999,0.037280021459221255,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_buttery,0.6971999999999999,0.1046312572800308,5,0.33399999999999996,0.10733359213219316,5,0.339,0.09868383859579033,5,0.8416,0.042834565481629436,5,0.2524,0.09934938349078974,5,0.31720000000000004,0.08829326135102272,5,0.422,0.2254406795589474,5,0.9728,0.019829271292712752,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_cabbage,0.7036,0.1172467483557646,5,0.23420000000000002,0.11433809513893431,5,0.2122,0.11003953834872264,5,0.8172,0.05913712877710582,5,0.1058,0.039933695045662874,5,0.1518,0.08746827996479636,5,0.43520000000000003,0.25234638891809014,5,0.9724,0.02557928849675058,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_camphoreous,0.6974,0.05403054691561061,5,0.39239999999999997,0.05968500649241819,5,0.40280000000000005,0.06594846472814965,5,0.865,0.040835033978190875,5,0.33799999999999997,0.09209777413162601,5,0.4162,0.059784613405122915,5,0.41159999999999997,0.11311631182106321,5,0.9837999999999999,0.007155417527999333,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_caramellic,0.7074,0.07278255285437578,5,0.4356,0.06425573904329479,5,0.44239999999999996,0.08243360965043325,5,0.858,0.016807736313971613,5,0.4266,0.054619593553961926,5,0.516,0.11770514007467985,5,0.43979999999999997,0.16215640597891903,5,0.9751999999999998,0.019031552748002473,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_cedar,0.6994,0.10882462956518618,5,0.3022,0.09122061170590778,5,0.28700000000000003,0.09634573161277048,5,0.8290000000000001,0.0582022336341141,5,0.2762,0.1133476951684506,5,0.27080000000000004,0.14318065511793135,5,0.41740000000000005,0.2374106147584813,5,0.982,0.02190890230020666,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_celery,0.567,0.050154760491901464,5,0.16960000000000003,0.10075614125203486,5,0.1586,0.09431224734889951,5,0.6594,0.1028824572023822,5,0.1024,0.06337822970074188,5,0.2466,0.18495350767152266,5,0.13779999999999998,0.10330392054515646,5,0.9965999999999999,0.003130495168499703,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_chamomile,0.713,0.08344159634139314,5,0.33740000000000003,0.06990922685883459,5,0.3304,0.05484797170360997,5,0.7672,0.08097962706755324,5,0.18180000000000002,0.048782168873472594,5,0.2774,0.018406520583749652,5,0.43360000000000004,0.1709657860508938,5,0.9928000000000001,0.003768288736283312,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_cheesy,0.719,0.029690065678607068,5,0.43479999999999996,0.07000857090385433,5,0.4526,0.06117025420905167,5,0.8535999999999999,0.039189284249651714,5,0.40940000000000004,0.10389321440787168,5,0.46159999999999995,0.1305461604184512,5,0.46040000000000003,0.06312923253137169,5,0.977,0.010198039027185597,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_cherry,0.6786,0.04731067532809063,5,0.2172,0.06457708571931688,5,0.2098,0.05961291806311783,5,0.782,0.05564620382380095,5,0.13520000000000001,0.04345342334039978,5,0.14279999999999998,0.04314742170744388,5,0.3972,0.09296881197476926,5,0.9593999999999999,0.0037815340802378134,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_chocolate,0.6464000000000001,0.05547341705718154,5,0.2452,0.09649455943212551,5,0.248,0.10162184804460113,5,0.7992,0.049129420920666245,5,0.142,0.05744997824194539,5,0.2262,0.1082159877282465,5,0.31120000000000003,0.11407541365254828,5,0.9815999999999999,0.01145862120850497,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_cinnamon,0.7406,0.07367021107611943,5,0.358,0.09512097560475292,5,0.35140000000000005,0.08852570248238643,5,0.8310000000000001,0.053103672189407,5,0.3102,0.08871978358855484,5,0.27640000000000003,0.07183870822892072,5,0.499,0.14804222370661688,5,0.9822,0.0045497252664309235,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_citrus,0.6916,0.05779532853094619,5,0.3906,0.0410158505946177,5,0.42679999999999996,0.047599369743726645,5,0.8676,0.011907980517283364,5,0.3896,0.02742808779335519,5,0.4566,0.048345630619529616,5,0.42860000000000004,0.14199225330981968,5,0.9541999999999999,0.025917175772062786,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_clean,0.6088,0.07303218468593145,5,0.17099999999999999,0.10268154654074899,5,0.1396,0.10313971107192418,5,0.6948000000000001,0.06241954822008886,5,0.099,0.06211280061307815,5,0.325,0.4149240894428763,5,0.2918,0.20946885209978117,5,0.9254,0.07974208424665111,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_clove,0.7036,0.09597551771154977,5,0.3492,0.09962780736320558,5,0.3392,0.10182681375747744,5,0.8666,0.04267669153062367,5,0.2298,0.052241745759497735,5,0.326,0.07565381682373998,5,0.4144,0.19469925526308518,5,0.9932000000000001,0.005540758070878058,5
KNN,KNN_n_neighbors=11_metric=cosine,fine_cocoa,0.7369999999999999,0.05606246516163911,5,0.3854,0.025314027731674786,5,0.3906,0.01013903348450927,5,0.8257999999999999,0.05334041619635153,5,0.2988,0.05737333875590647,5,0.3318,0.03338712326631331,5,0.49939999999999996,0.1229910565854282,5,0.9743999999999999,0.010691117808723245,5
