Model,Config,Label,Bal.Acc_mean,Bal.Acc_std,Bal.Acc_count,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,Precision_mean,Precision_std,Precision_count,Sensitivity_mean,Sensitivity_std,Sensitivity_count,Specificity_mean,Specificity_std,Specificity_count
KNN,KNN_n_neighbors=21_metric=cosine,fine_alcoholic,0.783,0.0651344762779282,5,0.5176000000000001,0.0980525369381129,5,0.5206,0.0993846064539172,5,0.9292,0.0342154935665116,5,0.542,0.0645561770863176,5,0.493,0.1262358903006589,5,0.5801999999999999,0.133010149988638,5,0.986,0.0080932070281193,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_aldehydic,0.626,0.0696024424858783,5,0.2576,0.1032051355311352,5,0.2546,0.0803635489510014,5,0.8320000000000001,0.0302158898594762,5,0.2454,0.0854856713139693,5,0.3334,0.2397119104258276,5,0.2782,0.1585424233446682,5,0.9738,0.0235944908824072,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_alliaceous,0.7528,0.0760703621655635,5,0.4262,0.0290981099042532,5,0.4253999999999999,0.0342753555780242,5,0.935,0.0372827037646144,5,0.4344,0.0476319220691334,5,0.3936,0.1014263279429951,5,0.5306,0.1705968932894148,5,0.975,0.0185876302954411,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_almond,0.6054,0.073839691223623,5,0.2472,0.0950299952646531,5,0.2211999999999999,0.0564331462883295,5,0.8094000000000001,0.0424063674464106,5,0.173,0.072773621594641,5,0.3936,0.343332637539748,5,0.223,0.1602248420189578,5,0.9884,0.0128957357293021,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_amber,0.6614,0.0378985487848809,5,0.3412,0.0507809019218839,5,0.3432,0.0486384621467414,5,0.8946,0.0278711320186318,5,0.2852,0.0239729013680029,5,0.3944,0.1260924264180843,5,0.3372,0.086491039998372,5,0.9858,0.0129884564132925,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_animal,0.647,0.0515460958754395,5,0.3068,0.0530961392193443,5,0.3142,0.0530301800864375,5,0.7432,0.0578679531347014,5,0.198,0.0237170824512628,5,0.3538,0.0896141729861967,5,0.3094,0.1088200349200458,5,0.9842,0.0076615925237511,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_anisic,0.673,0.0693072867741913,5,0.3828,0.151420606259518,5,0.3888,0.1492337093286902,5,0.7939999999999999,0.1185242591202324,5,0.3474,0.1841162676137011,5,0.4372,0.1746387700368964,5,0.354,0.1384413233106358,5,0.9922,0.0021679483388678,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_apple,0.7354,0.0512620717490037,5,0.3952,0.0568084500756709,5,0.4282,0.0511145771771615,5,0.8848,0.0230260721791625,5,0.403,0.0587324441854755,5,0.3686,0.0522474879778922,5,0.5324,0.1135486679798578,5,0.9382,0.017796066981218,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_apricot,0.6698000000000001,0.1379391170045684,5,0.143,0.0996293129555754,5,0.1167999999999999,0.0699442635246093,5,0.77,0.1088324400167524,5,0.0663999999999999,0.0263020911716159,5,0.0712,0.0418652600612966,5,0.4105999999999999,0.3258877107225739,5,0.9294,0.0517426323257717,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_aromatic,0.5626,0.1124112983645327,5,0.0698,0.1216416869333864,5,0.0722,0.1051151749273148,5,0.6712,0.0709133273792733,5,0.046,0.0292061637330204,5,0.0504,0.0703086054476975,5,0.1458,0.2436415399721484,5,0.979,0.019824227601599,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_balsamic,0.7156,0.0442074654328881,5,0.38,0.0429359988820569,5,0.4024,0.0496970824093326,5,0.8725999999999999,0.0213143144388929,5,0.411,0.0600666296707248,5,0.3942,0.1479922295257423,5,0.4987999999999999,0.1447262933954987,5,0.9318,0.0595079826577913,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_banana,0.7262000000000001,0.107271617867915,5,0.3638,0.1342784420523264,5,0.3614,0.1412720779205855,5,0.8695999999999999,0.0291856128940271,5,0.286,0.10550118482747,5,0.3332,0.1315131172164967,5,0.4857999999999999,0.2347407080163131,5,0.9666,0.0344934776443315,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_beefy,0.6508,0.1015293061140476,5,0.2093999999999999,0.1328657216892302,5,0.1964,0.1302125185994035,5,0.8614,0.0842543767409147,5,0.2068,0.0733873286065108,5,0.172,0.1370802684561129,5,0.3194,0.2156960824864466,5,0.9826,0.0199949993748437,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_bergamot,0.666,0.1583319298183408,5,0.3452,0.2752393503843518,5,0.3292,0.2526167057025327,5,0.8606,0.0790177195317606,5,0.3678,0.3357509493657464,5,0.4034,0.3742429692058356,5,0.3358,0.3180058175568491,5,0.9968,0.0025884358211089,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_berry,0.6294000000000001,0.0484128082226181,5,0.166,0.0599458088610038,5,0.1826,0.0597603547512897,5,0.7368,0.0266964417104602,5,0.1156,0.0262830744015992,5,0.135,0.0524404424085075,5,0.3399999999999999,0.1269783446104098,5,0.9186,0.0483042441199528,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_bitter,0.5572,0.0322986067810981,5,0.1466,0.0846244645477889,5,0.125,0.0321403173599764,5,0.6794,0.0630777298259853,5,0.0915999999999999,0.0458181186868251,5,0.3006,0.3937998222447542,5,0.1252,0.0733498466256065,5,0.9886,0.0100895986045035,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_black currant,0.721,0.0397492138287035,5,0.2992,0.0437172734739942,5,0.2822,0.061601136353155,5,0.8705999999999999,0.080142373311501,5,0.1698,0.045400440526497,5,0.2195999999999999,0.0825578584993579,5,0.4589999999999999,0.0880482822092515,5,0.983,0.0095131487952202,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_brandy,0.6125999999999999,0.0212320512433443,5,0.1217999999999999,0.0281992907712233,5,0.1127999999999999,0.0330333165153001,5,0.7548,0.150255449152435,5,0.0477999999999999,0.0075299402388066,5,0.0748,0.0255088220033775,5,0.255,0.0516042633897626,5,0.9706,0.014976648490233,5
KNN,KNN_n_neighbors=21_metric=cosine,fine_burnt,0.6638,0.0701619555029647,5,0.229,0.0633166644731069,5,0.2454,0.0531535511513577,5,0.8320000000000001,0.036619666847201,5,0.2255999999999999,0.0431311952071815,5,0.1948,0.0534153535980058,5,0.3984,0.1674643245589937,5,0.9294,0.0381024933567345,5
