Model,Config,Label,Bal.Acc_mean,Bal.Acc_std,Bal.Acc_count,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,Precision_mean,Precision_std,Precision_count,Sensitivity_mean,Sensitivity_std,Sensitivity_count,Specificity_mean,Specificity_std,Specificity_count
RF,RF_n_estimators=300_max_features=log2,fine_alcoholic,0.8211999999999999,0.0581179834474665,5,0.591,0.1189789897418867,5,0.5900000000000001,0.1221535918424014,5,0.9492,0.025626158510397,5,0.6528,0.0619088038973456,5,0.5672,0.1875038666267978,5,0.6554,0.1182700300160611,5,0.9872,0.0086429161745327,5
RF,RF_n_estimators=300_max_features=log2,fine_aldehydic,0.7096,0.056945588064397,5,0.3764,0.0877000570125242,5,0.3922,0.0837239511728872,5,0.9134,0.0311014469116792,5,0.378,0.0668169140263152,5,0.3574,0.0803759914402304,5,0.4432,0.1148290033049142,5,0.976,0.0058736700622353,5
RF,RF_n_estimators=300_max_features=log2,fine_alliaceous,0.8112,0.0659446737803744,5,0.4362,0.0383040467835971,5,0.4206,0.0554283321055216,5,0.9632,0.0049699094559156,5,0.4586,0.0388432748361926,5,0.329,0.0952496719154454,5,0.6618,0.1504715920032747,5,0.9606,0.0194756257922563,5
RF,RF_n_estimators=300_max_features=log2,fine_almond,0.6768,0.0576081591443434,5,0.3632,0.0814045453276412,5,0.3652,0.0827629144001104,5,0.915,0.0313368792319847,5,0.3416,0.069211993180373,5,0.4013999999999999,0.1250191985256664,5,0.3648,0.1184808001323421,5,0.9888,0.0067601775124622,5
RF,RF_n_estimators=300_max_features=log2,fine_amber,0.7203999999999999,0.0511986327942455,5,0.4218,0.0477409677321271,5,0.4168,0.0517561590537783,5,0.9196,0.0163951212255353,5,0.3876,0.0637518627178845,5,0.4511999999999999,0.1900255246013019,5,0.457,0.116548273260482,5,0.9836,0.0145361618042728,5
RF,RF_n_estimators=300_max_features=log2,fine_animal,0.6548,0.0151558569536664,5,0.3656,0.0883957012529455,5,0.3686,0.0666205673947617,5,0.8074,0.0355640267686323,5,0.2686,0.0801953864009644,5,0.4604,0.194840447546191,5,0.3218,0.0304335341358836,5,0.9882,0.0078549347546622,5
RF,RF_n_estimators=300_max_features=log2,fine_anisic,0.6628000000000001,0.0942135871305195,5,0.376,0.1939265324807309,5,0.3708,0.1857974703810576,5,0.857,0.0737394060187631,5,0.375,0.185903200617956,5,0.4658,0.2617999236057948,5,0.3334,0.1909746056416925,5,0.9926,0.0060249481325568,5
RF,RF_n_estimators=300_max_features=log2,fine_apple,0.7436,0.0813652259875187,5,0.4509999999999999,0.0623578383204549,5,0.4744,0.051906646973196,5,0.9086,0.0214662525839979,5,0.504,0.0422551771975932,5,0.4646,0.0863585548744303,5,0.5328,0.1910960491480658,5,0.9548,0.030962881002904,5
RF,RF_n_estimators=300_max_features=log2,fine_apricot,0.6076,0.0410036583733695,5,0.181,0.0326573115856158,5,0.182,0.0445196585791041,5,0.8484,0.0497322832775653,5,0.1464,0.0413315859845711,5,0.1894,0.0861121361946154,5,0.237,0.0909670269933012,5,0.9784,0.0123004064973479,5
RF,RF_n_estimators=300_max_features=log2,fine_aromatic,0.5738000000000001,0.0403943065295098,5,0.1105999999999999,0.036156603822815,5,0.1112,0.0428158849026853,5,0.7196,0.0808752125190407,5,0.073,0.0293001706479672,5,0.1254,0.0688425740367107,5,0.2022,0.1444738730705313,5,0.9458,0.0818944442560055,5
