Model,Config,Label,Bal.Acc_mean,Bal.Acc_std,Bal.Acc_count,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,Precision_mean,Precision_std,Precision_count,Sensitivity_mean,Sensitivity_std,Sensitivity_count,Specificity_mean,Specificity_std,Specificity_count
SVM,SVM_C=1,fine_alcoholic,0.8068,0.0575169540222707,5,0.5269999999999999,0.0662080055582404,5,0.5244,0.0730499828884305,5,0.9466,0.0237444730411099,5,0.4756,0.0409059897814488,5,0.4762,0.123207954288674,5,0.6304000000000001,0.1214343444005854,5,0.983,0.0102469507659596,5
SVM,SVM_C=1,fine_aldehydic,0.6838,0.1105088231771562,5,0.3422,0.1277329244948224,5,0.3436,0.1278995699758212,5,0.898,0.0212955394390468,5,0.3316,0.0831763187451813,5,0.3662,0.1161709946587357,5,0.3888,0.2365516856841227,5,0.9786,0.0176011363269534,5
SVM,SVM_C=1,fine_alliaceous,0.7904,0.0308755566751435,5,0.414,0.0385292096986169,5,0.4072,0.0517658188383029,5,0.9556,0.0105498815159223,5,0.3988,0.0790740159597323,5,0.3108,0.0680565940963842,5,0.6188,0.0753405601253402,5,0.9618,0.0150066651858432,5
SVM,SVM_C=1,fine_almond,0.6022000000000001,0.0818242017987343,5,0.2166,0.1584402095429061,5,0.2162,0.1667863903320651,5,0.9026,0.0320904970357269,5,0.2522,0.0957063216302873,5,0.2628,0.1812669302437706,5,0.214,0.1705710995450284,5,0.9906,0.0094762861923857,5
SVM,SVM_C=1,fine_amber,0.6322,0.1146808615244933,5,0.2339999999999999,0.1387191407124481,5,0.237,0.1341174858100165,5,0.8960000000000001,0.0266458251889484,5,0.273,0.1533590558134732,5,0.239,0.0644709236788182,5,0.2802,0.2373387873905148,5,0.9846,0.0093166517590816,5
SVM,SVM_C=1,fine_animal,0.6612,0.0219248717214034,5,0.3784,0.0418664543519032,5,0.3846,0.0403707815133668,5,0.774,0.0555427763079952,5,0.2838,0.0854733876712512,5,0.4642,0.0674811084674814,5,0.3324,0.0446687810444834,5,0.99,0.0030822070014845,5
SVM,SVM_C=1,fine_anisic,0.667,0.0915751057875446,5,0.3568,0.1722112075330755,5,0.359,0.1685645277037847,5,0.8352,0.0761623266451334,5,0.3338,0.1839964673573924,5,0.4072,0.2048113766371389,5,0.3442,0.1838143084746124,5,0.99,0.0059160797830996,5
SVM,SVM_C=1,fine_apple,0.7518,0.0217531606898859,5,0.4446,0.0211612854051921,5,0.477,0.020976176963403,5,0.921,0.0159687194226712,5,0.4768,0.0299031770887308,5,0.426,0.0573061951275776,5,0.5554,0.0595214247141312,5,0.9482,0.0178241409330155,5
SVM,SVM_C=1,fine_apricot,0.6576000000000001,0.1352601197692801,5,0.1788,0.1391894392545641,5,0.1654,0.117029056221094,5,0.8328,0.0655568455616956,5,0.137,0.0598205650257501,5,0.1152,0.0720326314943442,5,0.3484,0.2945348875770067,5,0.967,0.0251097590589794,5
SVM,SVM_C=1,fine_aromatic,0.5724,0.0550436190670635,5,0.1167999999999999,0.0653926601385813,5,0.122,0.0648228354825674,5,0.6916,0.0694895675623327,5,0.073,0.0392492038135807,5,0.1202,0.0618684087398407,5,0.1646,0.1206515644324598,5,0.9804,0.011238327277669,5
