Model,Config,Label,Bal.Acc_mean,Bal.Acc_std,Bal.Acc_count,MCC_mean,MCC_std,MCC_count,F1_mean,F1_std,F1_count,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_count,PR_AUC_mean,PR_AUC_std,PR_AUC_count,Precision_mean,Precision_std,Precision_count,Sensitivity_mean,Sensitivity_std,Sensitivity_count,Specificity_mean,Specificity_std,Specificity_count
XGB,XGB_n_estimators=100_max_depth=6,fine_alcoholic,0.8048,0.0394613735189235,5,0.6138,0.046547824868623,5,0.6172,0.047420459719408,5,0.9408,0.0218906372680193,5,0.6496000000000001,0.0609040228556373,5,0.6354,0.1066855191673171,5,0.6178,0.0818119795628977,5,0.9918,0.0046583258795408,5
XGB,XGB_n_estimators=100_max_depth=6,fine_aldehydic,0.6914,0.0447303029276574,5,0.3646,0.066115807489586,5,0.3798,0.0651321733093561,5,0.8922000000000001,0.0321667530223366,5,0.3707999999999999,0.0677177967745555,5,0.3708,0.0762935121750205,5,0.404,0.0927227048785787,5,0.9784,0.0097108187090481,5
XGB,XGB_n_estimators=100_max_depth=6,fine_alliaceous,0.7535999999999999,0.040543803472294,5,0.4096,0.0143108350559986,5,0.4142,0.0208014422576897,5,0.9438,0.0136638208419167,5,0.4364,0.0279427987145167,5,0.3504,0.0621152155272764,5,0.5346,0.0906824128483577,5,0.973,0.0100747208398049,5
XGB,XGB_n_estimators=100_max_depth=6,fine_almond,0.638,0.0431045241245046,5,0.2954,0.0933771920760096,5,0.3057999999999999,0.0915652772616345,5,0.9072,0.0464725725562938,5,0.321,0.1231178297404563,5,0.329,0.100329457289472,5,0.287,0.0849764673306674,5,0.9894,0.003286335345031,5
XGB,XGB_n_estimators=100_max_depth=6,fine_amber,0.6884,0.078043577570483,5,0.3932,0.100347894845881,5,0.39,0.1124233071920587,5,0.8906000000000001,0.0308593583860714,5,0.3718,0.0883272324937218,5,0.4548,0.1336364471242782,5,0.388,0.15865686244219,5,0.989,0.0067823299831252,5
XGB,XGB_n_estimators=100_max_depth=6,fine_animal,0.6546000000000001,0.0228319950946035,5,0.3612,0.0923022209916966,5,0.3618,0.075915742767887,5,0.792,0.0393763888643943,5,0.2722,0.0823510777100093,5,0.4596,0.2018534121584274,5,0.3228,0.0465585652699908,5,0.9866,0.0105023806824929,5
XGB,XGB_n_estimators=100_max_depth=6,fine_anisic,0.6378,0.0487257632059263,5,0.386,0.1582482227388352,5,0.3687999999999999,0.1392504937154622,5,0.8135999999999999,0.0898209329722197,5,0.3359999999999999,0.1617760798140442,5,0.5596,0.2663574665745264,5,0.2796,0.0964847138151945,5,0.996,0.0025495097567964,5
XGB,XGB_n_estimators=100_max_depth=6,fine_apple,0.7636000000000001,0.0685806095044364,5,0.4412,0.0257138095194002,5,0.4609999999999999,0.0276586333718786,5,0.8997999999999999,0.0272341697137988,5,0.5035999999999999,0.0376404038235511,5,0.4152,0.0977813888222089,5,0.5886,0.1650539305802803,5,0.9386,0.0294838939083696,5
XGB,XGB_n_estimators=100_max_depth=6,fine_apricot,0.5269999999999999,0.0499649877414174,5,0.0467999999999999,0.0825451391663979,5,0.0538,0.0851892011935785,5,0.8218,0.0213002347404905,5,0.1018,0.0113885907820063,5,0.052,0.0742967024840268,5,0.0618,0.1082644909469397,5,0.9926,0.0083246621553069,5
XGB,XGB_n_estimators=100_max_depth=6,fine_aromatic,0.5227999999999999,0.014359665734271,5,0.0872,0.0603464994842285,5,0.0746,0.042169894474613,5,0.6804,0.0204156802482797,5,0.09,0.0410365690573663,5,0.1984,0.1848656268753064,5,0.0502,0.0293462092952394,5,0.996,0.0022360679774997,5
XGB,XGB_n_estimators=100_max_depth=6,fine_balsamic,0.6774,0.0472207581472385,5,0.3929999999999999,0.0767886710394183,5,0.4147999999999999,0.0811708075603538,5,0.8720000000000001,0.0218174242292714,5,0.472,0.0609631035955355,5,0.4878,0.112832619397052,5,0.3834,0.1017462530022604,5,0.971,0.0180554700852677,5
XGB,XGB_n_estimators=100_max_depth=6,fine_banana,0.6970000000000001,0.0564756584733635,5,0.3722,0.0586873069751884,5,0.3818,0.0544674214553984,5,0.883,0.0412674205639266,5,0.3814,0.0913115545810057,5,0.3783999999999999,0.0844677453232889,5,0.4138,0.1207774813448268,5,0.9804,0.010334408546211,5
XGB,XGB_n_estimators=100_max_depth=6,fine_beefy,0.6376,0.0369770198907375,5,0.3284,0.1734352905264669,5,0.3196,0.1438221123471631,5,0.8692,0.0295922287095784,5,0.261,0.1532922046289373,5,0.4194,0.3389244753628749,5,0.2804,0.069751702488183,5,0.9948,0.003563705936241,5
XGB,XGB_n_estimators=100_max_depth=6,fine_bergamot,0.6444,0.1575414231242056,5,0.2152,0.1788370766927261,5,0.2077999999999999,0.1554194325044329,5,0.8976000000000001,0.071647051579252,5,0.3034,0.2585165371886294,5,0.1748,0.1168789972578478,5,0.2972,0.31699164026832,5,0.9924,0.0034351128074634,5
XGB,XGB_n_estimators=100_max_depth=6,fine_berry,0.5806,0.0410706708004629,5,0.1838,0.0678137154268957,5,0.1944,0.0707269397047546,5,0.7694,0.0510225440369254,5,0.1876,0.0606407453780047,5,0.256,0.1135407415864455,5,0.1804,0.0908889432219343,5,0.9808,0.0115844723660596,5
XGB,XGB_n_estimators=100_max_depth=6,fine_bitter,0.6006,0.0627957004897628,5,0.2742,0.1097483485069365,5,0.258,0.1101044958210154,5,0.7582,0.0702189433130405,5,0.193,0.1085909756839858,5,0.4091999999999999,0.170649348079622,5,0.2056,0.1267272662058169,5,0.996,0.0021213203435596,5
XGB,XGB_n_estimators=100_max_depth=6,fine_black currant,0.655,0.0375433083251862,5,0.3398,0.1011518660233216,5,0.3366,0.1039124631601041,5,0.8710000000000001,0.0610696323879553,5,0.3077999999999999,0.1020769317720708,5,0.3924,0.1515265653276678,5,0.3157999999999999,0.0732099719983555,5,0.9948,0.0043817804600413,5
XGB,XGB_n_estimators=100_max_depth=6,fine_brandy,0.5556,0.0603473280270137,5,0.1169999999999999,0.1561297537306711,5,0.1187999999999999,0.1499556601132481,5,0.7864,0.1084541377726087,5,0.1532,0.1245238932896012,5,0.1404,0.2093855295859769,5,0.1192,0.1215429965074088,5,0.9924,0.0062289646009589,5
XGB,XGB_n_estimators=100_max_depth=6,fine_burnt,0.6542,0.0410694533686534,5,0.2642,0.0413847798109401,5,0.2898,0.0360582861489561,5,0.837,0.0194550764583437,5,0.2278,0.0136455120827325,5,0.2562,0.0386613502092205,5,0.3484,0.0931895916934933,5,0.9602,0.0133865604245451,5
XGB,XGB_n_estimators=100_max_depth=6,fine_buttery,0.6606,0.0700092850984782,5,0.3186,0.1050085710787457,5,0.335,0.1034577208331983,5,0.842,0.0470956473572664,5,0.332,0.1441665703275208,5,0.339,0.0789525173759519,5,0.3402,0.1438617391803672,5,0.9816,0.0049799598391954,5
XGB,XGB_n_estimators=100_max_depth=6,fine_cabbage,0.667,0.0994786409235671,5,0.2886,0.0790208833157413,5,0.2708,0.0781645699789873,5,0.9526,0.0462201254866318,5,0.3518,0.0969546285640866,5,0.302,0.121344550763518,5,0.343,0.2049207163758706,5,0.991,0.0067082039324993,5
XGB,XGB_n_estimators=100_max_depth=6,fine_camphoreous,0.755,0.0686075797561756,5,0.474,0.1168909748440828,5,0.4868,0.113486563081274,5,0.9038,0.0311801218727573,5,0.4574,0.1254842619614109,5,0.4546,0.1019303683894059,5,0.5274,0.1361903080252041,5,0.983,0.0046904157598234,5
XGB,XGB_n_estimators=100_max_depth=6,fine_caramellic,0.7178,0.058443990281294,5,0.4764,0.0652326605313626,5,0.4886,0.070588950976764,5,0.8948,0.0139355660093159,5,0.492,0.0829457654133108,5,0.5606,0.0866879461055572,5,0.4546,0.1243997588422099,5,0.9812,0.0092574294488264,5
XGB,XGB_n_estimators=100_max_depth=6,fine_cedar,0.617,0.0766648550510597,5,0.2355999999999999,0.0976437401987449,5,0.2362,0.094417689020649,5,0.9034,0.0547932477591902,5,0.2624,0.0800393653148249,5,0.256,0.0666070566832073,5,0.2408,0.1551554059644716,5,0.9938,0.0019235384061671,5
XGB,XGB_n_estimators=100_max_depth=6,fine_celery,0.5504,0.0329742323640748,5,0.1852,0.1364448606580695,5,0.1494,0.0936258511309777,5,0.7032,0.1344273037741961,5,0.1764,0.1114867705156087,5,0.39,0.3847076812334269,5,0.1036,0.0655499809305845,5,0.9978,0.0016431676725155,5
XGB,XGB_n_estimators=100_max_depth=6,fine_chamomile,0.6274,0.0917349442688009,5,0.3302,0.2125857474056057,5,0.3116,0.1959854586442576,5,0.8827999999999999,0.0729773937599857,5,0.331,0.2321949611856381,5,0.4634,0.3583612702288014,5,0.2578,0.1818727577181365,5,0.9974,0.0016733200530681,5
XGB,XGB_n_estimators=100_max_depth=6,fine_cheesy,0.7216,0.0430673890548289,5,0.477,0.0683556874005375,5,0.4894,0.0648212927979687,5,0.8864000000000001,0.0174011493873249,5,0.485,0.0844541295615554,5,0.5426,0.1095413164061852,5,0.4589999999999999,0.0901997782702374,5,0.984,0.0072801098892805,5
XGB,XGB_n_estimators=100_max_depth=6,fine_cherry,0.6002000000000001,0.0466336788169237,5,0.2755999999999999,0.1221936986918719,5,0.2672,0.1104205596797987,5,0.8802,0.0098336158151516,5,0.2251999999999999,0.0871131448175302,5,0.4,0.1937020908508733,5,0.2065999999999999,0.0918057732389417,5,0.9942,0.0030331501776206,5
XGB,XGB_n_estimators=100_max_depth=6,fine_chocolate,0.5993999999999999,0.0599399699699624,5,0.2314,0.136293066588143,5,0.2302,0.1313704685231806,5,0.8337999999999999,0.0271514272184723,5,0.2514,0.0235860128042024,5,0.2932,0.2042931716920563,5,0.2056,0.1242046697994886,5,0.993,0.0062849025449882,5
XGB,XGB_n_estimators=100_max_depth=6,fine_cinnamon,0.6902,0.0457569666826812,5,0.3658,0.1185040083710251,5,0.37,0.115665465891942,5,0.901,0.0405894074852048,5,0.349,0.1268838051131822,5,0.3678,0.1685666040471836,5,0.3906,0.0901792659096313,5,0.99,0.0046368092477478,5
XGB,XGB_n_estimators=100_max_depth=6,fine_citrus,0.7256,0.0122188379152847,5,0.4516,0.0260825612239289,5,0.4911999999999999,0.0196900990347941,5,0.867,0.0168374582404827,5,0.5056,0.0241412510032102,5,0.4976,0.0725141365528129,5,0.4938,0.0384148408821382,5,0.9572,0.0149231363995642,5
XGB,XGB_n_estimators=100_max_depth=6,fine_clean,0.5578,0.0349885695620726,5,0.1996,0.1456770400577936,5,0.1776,0.1088039521341021,5,0.7798,0.0515189285602874,5,0.1748,0.1201653028124175,5,0.38,0.3196787449925315,5,0.1234,0.0641155207418609,5,0.9926,0.0072318738927058,5
XGB,XGB_n_estimators=100_max_depth=6,fine_clove,0.7636000000000001,0.0835571660601291,5,0.4642,0.1283070535863091,5,0.4535999999999999,0.1340813186092678,5,0.9044,0.0745741241986789,5,0.4164,0.1246005617964862,5,0.4346,0.1747420956724509,5,0.5334,0.1687477407256168,5,0.9944,0.0040373258476372,5
XGB,XGB_n_estimators=100_max_depth=6,fine_cocoa,0.6890000000000001,0.0333016516106933,5,0.3842,0.0237107570524435,5,0.3946,0.0239854122332721,5,0.8614,0.0706738990009749,5,0.3712,0.0951798297960235,5,0.4124,0.0602727135609472,5,0.3922,0.071272014143,5,0.986,0.0056124860801609,5
XGB,XGB_n_estimators=100_max_depth=6,fine_coconut,0.7070000000000001,0.0529528091794949,5,0.4897999999999999,0.1055447772274876,5,0.4886,0.1054054078309077,5,0.8934000000000001,0.0271071946169278,5,0.5008,0.0749846650989387,5,0.5940000000000001,0.1153776408148476,5,0.4192,0.1056110789642829,5,0.9948,0.0019235384061671,5
