Label,Model,Config,PR_AUC_mean,PR_AUC_std,F1_mean,F1_std,Bal.Acc_mean,Bal.Acc_std,ROC_AUC_mean,ROC_AUC_std,Precision_mean,Sensitivity_mean,Specificity_mean
fine_alcoholic,RF,RF_n_estimators=100_max_features=log2,0.6614,0.06436847054265,0.5822,0.1066827071272565,0.8166,0.055882018574851,0.942,0.0239687296284137,0.5612,0.646,0.9872
fine_aldehydic,RF,RF_n_estimators=300_max_features=sqrt,0.387,0.0860958767886128,0.3848,0.0883215715439891,0.716,0.0732563990378998,0.9046,0.045654134533468,0.3512,0.4588,0.9732
fine_alliaceous,RF,RF_n_estimators=300_max_features=log2,0.4586,0.0388432748361926,0.4206,0.0554283321055216,0.8112,0.0659446737803744,0.9632,0.0049699094559156,0.329,0.6618,0.9606
fine_almond,RF,RF_n_estimators=300_max_features=log2,0.3416,0.069211993180373,0.3652,0.0827629144001104,0.6768,0.0576081591443434,0.915,0.0313368792319847,0.4013999999999999,0.3648,0.9888
fine_amber,RF,RF_n_estimators=300_max_features=log2,0.3876,0.0637518627178845,0.4168,0.0517561590537783,0.7203999999999999,0.0511986327942455,0.9196,0.0163951212255353,0.4511999999999999,0.457,0.9836
fine_animal,LR,LR_C=0.01,0.2912,0.0457515027075614,0.3702,0.0501866516117582,0.6626,0.0361220154476463,0.7668,0.0430139512251548,0.438,0.337,0.9878
fine_anisic,RF,RF_n_estimators=100_max_features=log2,0.3783999999999999,0.1841827896411605,0.3696,0.1702389497148053,0.6772,0.1058994806408416,0.8482,0.0751977393277218,0.4506,0.3652,0.9896
fine_apple,RF,RF_n_estimators=300_max_features=log2,0.504,0.0422551771975932,0.4744,0.051906646973196,0.7436,0.0813652259875187,0.9086,0.0214662525839979,0.4646,0.5328,0.9548
fine_apricot,RF,RF_n_estimators=300_max_features=log2,0.1464,0.0413315859845711,0.182,0.0445196585791041,0.6076,0.0410036583733695,0.8484,0.0497322832775653,0.1894,0.237,0.9784
fine_aromatic,XGB,XGB_n_estimators=300_max_depth=6,0.0955999999999999,0.0498327201746001,0.0696,0.0400786726327107,0.5222,0.0138275088139548,0.6778000000000001,0.0189657586191536,0.1476,0.0502,0.9946
fine_balsamic,RF,RF_n_estimators=300_max_features=log2,0.5022,0.0548014598345701,0.4538,0.0670089546254827,0.7232000000000001,0.053644198195145,0.897,0.0150831031289983,0.445,0.4876,0.9588
fine_banana,RF,RF_n_estimators=300_max_features=sqrt,0.4124,0.1300453766959825,0.3714,0.1142947942821544,0.7262000000000001,0.1098803895151451,0.9018,0.0410755401668681,0.384,0.4806,0.9718
fine_beefy,RF,RF_n_estimators=100_max_features=log2,0.2884,0.1635827007968752,0.1988,0.2199447657935964,0.6242,0.1347115436775928,0.9408,0.0270129598526336,0.2046,0.2582,0.9902
fine_bergamot,SVM,SVM_C=1,0.4162,0.2701864171271383,0.3534,0.1987594022933255,0.7144,0.1326397376354461,0.9474,0.044875383006722,0.3508,0.4373999999999999,0.9914
fine_berry,RF,RF_n_estimators=300_max_features=log2,0.2057999999999999,0.0581093796215378,0.2118,0.0572162564311926,0.6724,0.038971784665319,0.7936,0.0526858614810463,0.1514,0.4509999999999999,0.8939999999999999
fine_bitter,XGB,XGB_n_estimators=100_max_depth=3,0.2118,0.1058664252726047,0.2658,0.1020573368259235,0.6288,0.0680639405265372,0.7594000000000001,0.0506685306674665,0.3001999999999999,0.2653999999999999,0.992
fine_black currant,SVM,SVM_C=1,0.341,0.1325179233160556,0.4166,0.1021312880561094,0.7744,0.072569277245953,0.8865999999999999,0.0346741978998794,0.3794,0.558,0.9906
fine_brandy,LR,LR_C=1,0.1586,0.1663469266322645,0.1488,0.0575169540222706,0.6348,0.1083429739300154,0.8554,0.1040062498122108,0.1069999999999999,0.287,0.983
