label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
alcoholic,0.8528147418349981,0.06356027248702369,0.5771881233489571,0.029698323731331012,0.5720915032679739,0.027117882566160233,0.9487805282398947,0.03310229977794127,0.568278642497386,0.05791287500710511,0.48527793339558045,0.056046613991518564,0.723030303030303,0.13480536162606768,0.9825991806396935,0.007933198208346814
aldehydic,0.6888557379595077,0.12401535795514078,0.28013562893901933,0.1190664172302838,0.281399070013655,0.1041227799132978,0.9014458137931453,0.01824092028400135,0.30256668240502294,0.0984303900361031,0.2412221028762382,0.02438215378441615,0.41534781310643376,0.2720839852554646,0.9623636628125816,0.026051024161859896
alliaceous,0.7729475940545802,0.07902415817026878,0.4424041811214444,0.0907693045129117,0.4473264780841674,0.0796001153373784,0.9609852688424146,0.010621100197908646,0.44021060293752284,0.08098849139849378,0.3717707520763548,0.04294405679141274,0.5706206896551724,0.16297230517867656,0.9752744984539881,0.005904228786035095
almond,0.6316137729631812,0.0983236306314603,0.2709531765839862,0.17746222650851406,0.26915866952164585,0.1819044262557162,0.9036004553809143,0.04504102112866788,0.2712457275074908,0.14680027163802153,0.32251082251082247,0.18821214466085173,0.2750326797385621,0.20115508641290114,0.9881948661878004,0.009630172470518136
amber,0.7332391584207777,0.07222884818928842,0.36951130862307313,0.06422909229929367,0.369227694655775,0.06546525894106639,0.9131607320442139,0.02451300133535186,0.3055313292225561,0.06924595139450654,0.31516516516516513,0.08071726294789149,0.4910552897395002,0.15781304383746075,0.975423027102055,0.015369795714716866
animal,0.6205818506855706,0.0510695052098536,0.24055407076158786,0.09171072380240917,0.25794681561151817,0.09039128926338762,0.8072148812977314,0.035766034419065985,0.2035462413855425,0.034597857457599704,0.26078184591914566,0.0855257307370418,0.2595077461269365,0.10268688390977139,0.9816559552442046,0.0032796432155068494
anisic,0.6151405950606679,0.060275152095135516,0.28097361194614556,0.12843729229953646,0.272977392977393,0.12099847656026508,0.8233953760811848,0.08159407674627361,0.2523302731715348,0.12144678662328273,0.3879256965944272,0.2360943750299229,0.23908668730650148,0.12183094952121518,0.9911945028148341,0.005716788438213451
apple,0.7267332089210737,0.06448894537743469,0.43855543205646785,0.10180372572534327,0.4670059568396646,0.102919721412408,0.9233560295826344,0.018078194014659845,0.47164195428265376,0.09627575739659953,0.4676199523936922,0.11141053734073955,0.4937690595804689,0.14221660561182115,0.9596973582616786,0.02533074211398998
apricot,0.6559750645836486,0.06854991245670633,0.1999365914854582,0.05080509122622108,0.19636246359653722,0.03672435090797421,0.8688867800114888,0.04480889143256317,0.13318533944829286,0.03104697259089535,0.14384274640088587,0.030262875286157103,0.3460150375939849,0.14935825224362193,0.9659350915733121,0.014958443124275387
aromatic,0.5997896411292232,0.09233285967255109,0.11250293628892254,0.09795488453024492,0.11306466302367939,0.08085910498623096,0.7801892333791628,0.039086089492617285,0.07518892200034946,0.032555388877479066,0.0766776652633974,0.049606032749677405,0.23691876750700275,0.19724725660742276,0.9626605147514438,0.014973984337435551
balsamic,0.6747598729323607,0.04171746211788758,0.3085253207605705,0.03258333015633474,0.3453988371231459,0.02752281889976554,0.871128984107138,0.01223636459199585,0.3429116106658735,0.05252437037269457,0.32053113553113544,0.0739548215840213,0.41060688901038817,0.11145123200096867,0.9389128568543332,0.030320217175095608
banana,0.6788067963674488,0.029312369674940567,0.3622268251718521,0.08018018146227626,0.3691915227629513,0.07189654050742664,0.9221694601118076,0.01591950354800533,0.3248131381045491,0.09053651652246693,0.40099206349206346,0.17604082107656496,0.3752380952380952,0.06338880492302373,0.9823754974968022,0.011286077605032887
