label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
alcoholic,0.8367127744787402,0.06871331381760294,0.5426932142841892,0.03704907856058272,0.5357497707760273,0.03999746033376992,0.9503925976357653,0.02837107100134307,0.588573523513136,0.05079195306377675,0.4548855218855219,0.07959548993748419,0.6931168831168831,0.14758178301025696,0.9803086658405972,0.010774175806807946
aldehydic,0.6606679772681482,0.08549038747753347,0.3089392623865619,0.15046598984449322,0.3167740779943268,0.1553765378422184,0.9099139511713338,0.02848260245201005,0.3263744516051988,0.1128192195886519,0.3361457785260794,0.16187046559558532,0.3407239886550231,0.17919249496008488,0.9806119658812733,0.012046337642643118
alliaceous,0.7343996863297778,0.07522661415422821,0.437177412329695,0.11870341207639518,0.449062601535407,0.11657958792742684,0.9637947471342923,0.012982633209497697,0.4414943768245786,0.13331739635470835,0.42410052910052903,0.09751469523221712,0.4857011494252873,0.1521745827871811,0.9830982232342684,0.004440317362718523
almond,0.6318582401086623,0.06164183590746269,0.3483152178357375,0.12748646134822073,0.3379241451785825,0.12987658554469284,0.917213848892154,0.041490124203957285,0.33077140540708133,0.11207227398723241,0.48636363636363633,0.15986823086426338,0.2690196078431372,0.12268149702236833,0.9946968723741871,0.002613820189167304
amber,0.7099495554974432,0.13391094757106164,0.3250337881008464,0.15633861889273867,0.32020276246853097,0.14896011546158738,0.9277653714535067,0.025478264182128424,0.31350452187402306,0.11714444306137876,0.28074225245653817,0.0989300703808977,0.44266347687400315,0.2784898879479216,0.9772356341208832,0.014416841661183764
animal,0.6539031868561191,0.050241701915530464,0.24807338358152142,0.07534974821991276,0.26082362082362076,0.07773249906338905,0.8238716815204249,0.02603505654694697,0.17237269264582097,0.058693320250067536,0.2241921768707483,0.07441563331656653,0.34219140429785105,0.11193519416356791,0.9656149694143872,0.022368171835695123
anisic,0.597752057423395,0.016000251015350308,0.2187231464162303,0.051989700193573615,0.22267849668603074,0.04447434591075518,0.8339035331302316,0.06269298249295517,0.22898750376494945,0.1157084870224822,0.27287878787878783,0.11683811574694623,0.20824303405572753,0.03689797825748825,0.9872610807910626,0.009774304216294013
apple,0.7495343635598288,0.042090867387630515,0.45664667048390006,0.07879281863079358,0.4892082480370008,0.07456859227248538,0.9247293230879755,0.021491282029191056,0.47724224547931504,0.09687362896477253,0.451529933481153,0.09119772469773736,0.544814472060638,0.08396449591767101,0.9542542550590195,0.016381922189479804
apricot,0.6197908267254533,0.0709734345438404,0.14067246348255472,0.07472986880012518,0.14084464555052786,0.06375688892407048,0.8660919949411433,0.04209069334088505,0.10240542767620642,0.03959141291810022,0.09763240528858377,0.049490991612291424,0.2840601503759398,0.1472120801308572,0.9555215030749669,0.01684209416722702
aromatic,0.6635263348285758,0.07987989818554847,0.18579986674397914,0.09456506737751222,0.17588235294117643,0.08171320143957178,0.7842007822838425,0.04354842701687839,0.12255440971597027,0.07513175731346904,0.11621368984538458,0.05550709281467049,0.3703081232492996,0.16073355370483547,0.9567445464078519,0.008527607002596933
balsamic,0.6985268042259661,0.024560897815824285,0.32739410484499726,0.03521478921088396,0.3668776141430904,0.033714682334827335,0.8655899125979774,0.01613749978238595,0.34634391332978703,0.025047180054115516,0.3072278118273711,0.04502303898979266,0.4657736468015309,0.05885609916099514,0.9312799616504013,0.01717528673435342
