label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
alcoholic,0.8424017107871847,0.06763082160973927,0.566061893281457,0.09016986556429664,0.5627517410126106,0.09034633601118494,0.9571853037092357,0.026101266730888115,0.5769001352030978,0.04881826410062088,0.4810645703502846,0.10307615799860191,0.7022077922077922,0.1395270062077301,0.9825956293665776,0.008327933843104558
aldehydic,0.6914558955692437,0.048205682273472814,0.34126234429851066,0.04056300945373257,0.35517517479250027,0.04410952150102207,0.9012481868536397,0.019356943815247815,0.30901158140427964,0.08407011762316742,0.32961207330749515,0.03876024597003859,0.40839976115838184,0.1050113475401229,0.9745120299801057,0.008717315634734603
alliaceous,0.7871785503714944,0.10847085352782744,0.43346365803647835,0.10048976433954827,0.4251303131873151,0.08964370061247201,0.963510847009936,0.014229363350169555,0.43168678281438344,0.10362418354582585,0.3513196909058874,0.05107027967589816,0.6047241379310344,0.22748415220238283,0.9696329628119544,0.013137360372102055
almond,0.6040609732969009,0.058314407623547754,0.3117725847804693,0.12315814888891465,0.2799550224887556,0.12939431469582513,0.9146373607339232,0.040912890709433,0.3100584057571553,0.19692099987687997,0.5422222222222222,0.29756211095591995,0.21281045751633987,0.11737586753663543,0.9953114890774619,0.004101029655675618
amber,0.7056510852805431,0.10756734559023577,0.3117359385786542,0.167562041756331,0.3084351851507877,0.16594305620649,0.927064291187443,0.01489437501813441,0.2935996303712455,0.09764848244018942,0.2631240981240981,0.17170178684399695,0.4406166932482722,0.22936618803213032,0.9706854773128141,0.022202901971252298
animal,0.5961313740858005,0.05719783112052595,0.20024263481314458,0.10695815054908854,0.21242593930216297,0.11114248259882413,0.8158942401152711,0.03429738478816479,0.18835942185382393,0.05288911299126158,0.23939393939393935,0.10947171647545627,0.21100699650174906,0.1194332666204148,0.981255751669852,0.013513277568498084
anisic,0.6392870847254271,0.062444930276272605,0.27962680851776,0.0758416337239045,0.2817572964669739,0.06593979786001312,0.8439320964444539,0.054210252405007514,0.26928133125454096,0.12005680175077112,0.31302291204730226,0.1255954148486601,0.292453560371517,0.13382314330961173,0.9861206090793372,0.010595809022052925
apple,0.7582785953640326,0.0443938853547582,0.46432537162507953,0.07483433851453046,0.49256672296289244,0.07356271566268051,0.9239659136307076,0.017548924398114837,0.45431329061006875,0.10513512420320903,0.4549606710688313,0.11160727287438311,0.5660386920500617,0.10161592046032371,0.9505184986780035,0.02571015823815766
apricot,0.6530528298681378,0.07712169193629069,0.17948460454185525,0.06570899796490233,0.1690504390081137,0.05142572405078226,0.8684176022999626,0.05244548907805144,0.10766341568151991,0.03518966368404517,0.12531911263089818,0.03858872432592735,0.34676691729323306,0.16513091980911934,0.9593387424430426,0.018488263458642188
aromatic,0.5703639755604806,0.0501796174731336,0.11914813935656905,0.0866230506152539,0.12925809822361542,0.08421400590278065,0.7905096718082405,0.01879238135573294,0.09459646098636136,0.04678410649936866,0.11903119868637106,0.09300544649089526,0.15910364145658262,0.10485997297275662,0.9816243096643784,0.008775094946127281
