label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
alcoholic,0.8159501538061322,0.03167427073889591,0.5463314170402315,0.048438462170164856,0.5495030031558586,0.050182028112985555,0.9584222169739262,0.01683154266149241,0.5635248707256805,0.11079260923285966,0.48312943528235885,0.07051811757904407,0.6472727272727272,0.06535965085735736,0.9846275803395372,0.004492645262487669
aldehydic,0.6606763416152495,0.05974258980969109,0.2561172324924944,0.05481063014612658,0.2687775610948599,0.05685534260905794,0.8719051650519798,0.01921757463803431,0.25071781812094246,0.06387955762081834,0.23291048659901117,0.023441640920096114,0.3567793700552321,0.1334578556026836,0.9645733131752667,0.01435519826246904
alliaceous,0.6850378767365151,0.12133375481948411,0.3596497234214464,0.19052630499236545,0.3572726583824839,0.19419040137082635,0.9645339659486352,0.011723941387771171,0.452968768520751,0.14644442913643946,0.3966700619641796,0.19562342817182005,0.38690804597701145,0.2549302251055134,0.9831677074960187,0.01740023502421893
almond,0.6092943000795471,0.0894094596051743,0.2144552915500479,0.1025599052558237,0.20645480996544824,0.11327332049175501,0.9011509274041695,0.04232557302186669,0.24619668435057557,0.10047643584067155,0.2788611111111111,0.14017351736021966,0.23150326797385617,0.18746802595218928,0.987085332185238,0.00954359240977724
amber,0.7523968103187766,0.04483633919536086,0.3740216468198419,0.06717837265067622,0.372372799310834,0.06476075409316696,0.9256467537949213,0.021616598946915516,0.30909407097782593,0.09683587207746147,0.2880311714429361,0.057748013647062515,0.5324561403508772,0.09027940548287582,0.972337480286676,0.006241782120924948
animal,0.6387591606311883,0.08097532374218291,0.23129264355569693,0.10861885518720041,0.24179395889057567,0.11410140081666872,0.8115538754068684,0.038993489894880155,0.20044321517325936,0.08923901224636846,0.22111279525072627,0.051080925116904936,0.3030484757621189,0.17307422972299644,0.9744698455002577,0.013065740473614413
anisic,0.6325222135440179,0.08055246367328932,0.20783900737409683,0.07128674484460346,0.21301092519119083,0.05889271394191552,0.8356689732313329,0.06630409515841168,0.1813001403180104,0.07161154489386544,0.18536348648396428,0.042968477033498924,0.2885061919504644,0.17668368976926654,0.9765382351375715,0.01622303781454854
apple,0.7145368536017568,0.04945203758154368,0.41091470469740166,0.05557942198754551,0.44455828904095823,0.05416769874909465,0.9152602484406309,0.01372249160731193,0.4506516731528431,0.10414271288542352,0.4337501744713518,0.0501364567998907,0.47061861008284855,0.10924726795075025,0.9584550971206648,0.013778387759371413
apricot,0.6240057873568092,0.08339033262998419,0.1597143078939876,0.06967361061563643,0.16023222851135327,0.055639227539476366,0.8576693434673089,0.03891701075666977,0.09207808787278773,0.027604618134739658,0.12208192903845075,0.04916331142364889,0.28215538847117794,0.18363680627153478,0.9658561862424406,0.020641162780247305
aromatic,0.5932878025056861,0.08258691515157204,0.10492480324491353,0.08851254199130201,0.10533190415374323,0.07678021894472704,0.7860173312337843,0.04385721227861798,0.1285667548183985,0.10066182785491164,0.07336741272911484,0.04908616896794314,0.22296918767506999,0.18386150068009785,0.9636064173363021,0.022932249699347457
balsamic,0.6676016062219495,0.03495528842771933,0.2908745991051136,0.04746367604928172,0.33513928614292593,0.04378385002445233,0.8694458365635904,0.007016733476163328,0.3635678139611459,0.02074459330248464,0.2925108188542291,0.030856399527958437,0.39589939857845813,0.07531584304263947,0.9393038138654408,0.00837736304357421
banana,0.702236212201845,0.04061856196619242,0.34287064187406935,0.06640223374588011,0.34862417622099845,0.06597804730919414,0.9127395594987993,0.01686857730257006,0.2758757249535453,0.08467611190125889,0.3223186918445539,0.13915851622587097,0.43257142857142855,0.0919094496707249,0.9719009958322612,0.01580165749749478
beefy,0.6732871061398945,0.06795491961288687,0.17558726926092635,0.023415252626945257,0.1505957899061347,0.03101545982272868,0.9271576822654545,0.03452509849680292,0.1149833222079647,0.042046596084428005,0.10578728461081399,0.04557732380157144,0.37979797979797975,0.15358105082188608,0.9667762324818092,0.019138594625088174
bergamot,0.6461876506061142,0.06951683001495956,0.38300095184036154,0.20971354822063215,0.36933359038622193,0.1941406640404985,0.9471398119758877,0.04052462699647447,0.38661320920432496,0.1425472305729287,0.5144444444444444,0.3156807263480847,0.29500000000000004,0.13738631664034084,0.9973753012122284,0.0027421230750251813
berry,0.5878547616665204,0.06700092558914225,0.11891922580170963,0.07080763641824608,0.14252347707222618,0.059943939532878986,0.7657378077494238,0.036277333649534706,0.09808164524819082,0.028350606443694346,0.10971211051944992,0.04137768001521941,0.2344274386870735,0.15833901087675167,0.9412820846459672,0.026324425775275453
bitter,0.5757888874338063,0.028060804262466384,0.2102378558396464,0.09189738914043542,0.18813700918964074,0.06910095577689622,0.759654371625308,0.07644471706507235,0.13081808924781535,0.06159272944363954,0.3486580086580086,0.23266366567899358,0.16008158508158504,0.06470552404856364,0.9914961897860273,0.012322409736659594
black currant,0.6520643463063341,0.08603456169409965,0.3075585352522513,0.08933895246933059,0.2474358974358974,0.0929800647262693,0.9189984665395604,0.09543185004242581,0.25374307820044606,0.12348364377161915,0.5178852107644677,0.44605809584972084,0.31571428571428567,0.18029014157017098,0.9884144068983826,0.014206524446262261
brandy,0.6590635997526793,0.05774181866438369,0.17995184685215382,0.06931567745037903,0.16245082815734987,0.07405162416673587,0.9193165477180362,0.03991607624821248,0.12371014851483908,0.049118803903801585,0.11607269808508196,0.07648844127110159,0.3457142857142857,0.1274465785554384,0.9724129137910728,0.01600366387878553
burnt,0.6918309897455995,0.06720515992063225,0.2801196988455462,0.0749092294029978,0.2975083450079918,0.06648488490912251,0.8789335743700954,0.01664091507088072,0.2149993532352247,0.014658546977926295,0.22898056533767272,0.037556819817738236,0.44143616569565164,0.1519587692402273,0.9422258137955474,0.021523552525170884
buttery,0.6642654328034562,0.07366848863434264,0.2630275689319799,0.08239716315377363,0.27614455212604583,0.0755757779319331,0.8595271525206656,0.03135855809287062,0.2052877559858361,0.025766667986621077,0.23598669924609555,0.04303972711243807,0.36116452991452985,0.156819796526138,0.9673663356923822,0.011748717297088377
