label,Bal.Acc_mean,Bal.Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
alcoholic,0.8350255218725271,0.05348984664520854,0.5915494784659946,0.07725326482932271,0.5930368114216569,0.07841281731907178,0.9524844044498944,0.03793360112102339,0.6093714932508418,0.11849492836309053,0.5352707856598016,0.10011986618417104,0.6835497835497836,0.10973406917484575,0.9865012601952706,0.005843542560235236
aldehydic,0.7002790072085731,0.09233226731938346,0.3311327503580281,0.0839362194060212,0.33930715720618265,0.07323162110619802,0.9045606239469999,0.01812718058663228,0.31076527598293185,0.1276242096395011,0.30341802782819116,0.048710446140223324,0.4317763845350052,0.20289595953482287,0.968781629882141,0.020515163063795302
alliaceous,0.7617007468501644,0.06691436380076109,0.41788745819166373,0.08039225640563799,0.42138570306362916,0.07466755363293393,0.9665300497485012,0.0071979729215713014,0.46398662689692605,0.10540589887484579,0.35105488856788447,0.07807483991095497,0.5509310344827586,0.13869612041988424,0.9724704592175701,0.009010949602679806
almond,0.6340799071557001,0.11059980902031638,0.2922180616676845,0.15092335667425077,0.29019402367566993,0.1513950296040239,0.9016424192372838,0.04988968291146643,0.3128258908533445,0.1205241782114014,0.35303030303030297,0.09754799153224163,0.2761437908496732,0.22377270519260792,0.9920160234617269,0.003169434143403647
amber,0.7215397388465613,0.06817147176005652,0.36148870313486586,0.09449195778874478,0.36758514965893874,0.08828558019596676,0.9237565681491473,0.025128956311858224,0.3615683794693703,0.10428104060698921,0.30877561148528887,0.07715694211732281,0.46461988304093566,0.13669551552622594,0.978459594652187,0.004126733535066521
animal,0.6340314964446823,0.062256130398059537,0.2788912942206757,0.0645583255761858,0.2841676291041082,0.07107945958263456,0.8156836366248493,0.03613943265073596,0.2773450958603439,0.09128532891671465,0.3288240473998988,0.0690474186993298,0.28415792103948023,0.13345749219574102,0.9839050718498843,0.01003605832744584
anisic,0.6554547877103526,0.0624679670944622,0.39985135158662904,0.15883052205728554,0.3914466484115853,0.14866977945205467,0.8415286193845152,0.07429420980266989,0.3787799108727815,0.1850221632487231,0.5343073593073593,0.23276689854589677,0.3162151702786377,0.12402982107086673,0.9946944051420676,0.0029854367634491235
apple,0.7582069995146085,0.06525079061444167,0.4547689728706089,0.06710471443237981,0.481782831366438,0.06340865082480816,0.92548718371764,0.01799901328863815,0.4820263977472873,0.11655710657384627,0.4386600956630928,0.07179700366333916,0.5664351974264058,0.14390667945587268,0.9499788016028109,0.01799577914440713
apricot,0.6749511785319449,0.06065783575724131,0.2139587356580118,0.058606234341529284,0.20546542556418118,0.048550066073848167,0.8466763100109208,0.055836680571129484,0.14700268226569152,0.027658473396157783,0.14348518991612838,0.037581116733721796,0.3881704260651629,0.13009068822708728,0.9617319309987268,0.012866738025891765
aromatic,0.5808774923456876,0.08120380359758256,0.10449511775430553,0.09819363469531492,0.10890798394123377,0.09013916930076031,0.77505110483439,0.05149377536031258,0.08303579099362203,0.04607586543310558,0.08418245422743173,0.07858326650854326,0.19126050420168064,0.1799797162342826,0.9704944804896947,0.022461842893625353
balsamic,0.7235738940683498,0.04416147785028068,0.4117994999746978,0.05446640508996034,0.4448637449474937,0.05225994468297054,0.8993220907737042,0.010214157479619424,0.45767907861638674,0.03625687770815708,0.416748973161347,0.062078318553528,0.4928922908693275,0.09873626074574962,0.954255497267372,0.016684881507742062
banana,0.6918384901239132,0.0523253950957526,0.38885538705416894,0.06041495593401381,0.394583850931677,0.05342984079906072,0.9247157274074997,0.01641398980111309,0.40463571237697105,0.07735826136562263,0.4275417049410857,0.1336693953931257,0.39885714285714285,0.11113596094000787,0.9848198373906835,0.007873459368299033
beefy,0.7010615678228387,0.08068573139031217,0.2413086326258711,0.07029512498866916,0.21496921024897545,0.09435115252988457,0.930616513325931,0.022837497991865695,0.1357669365316892,0.05805752276131113,0.18491847826086955,0.12934611343403982,0.4305916305916305,0.1829871489688822,0.9715315050540468,0.024057498304218806
bergamot,0.6851772634045289,0.05489923388333538,0.36681922193933747,0.12191430353552302,0.36981774264382955,0.12080033974889848,0.9580499355610546,0.02502083953735615,0.36717839860451906,0.15761068924490898,0.3698717948717949,0.1405805914612505,0.375,0.10897247358851683,0.9953545268090576,0.0029179403443762323
berry,0.6182207295832363,0.058723927352329924,0.18230988972098877,0.07103338305156101,0.20121066352437653,0.07207992519285321,0.7833719446661093,0.03157887652014752,0.2174128784462109,0.07715388388848875,0.1716570294045186,0.05248394564141882,0.2808728256192759,0.13725783696609672,0.9555686335471965,0.02379378671247403
bitter,0.6037769226072945,0.06349638863898167,0.282411836319519,0.11920783298018221,0.2648535891502643,0.12963106943746172,0.7426026017534962,0.04042762202827428,0.2129065468583969,0.08423194418077089,0.427012987012987,0.1475309813351153,0.2118298368298368,0.12769220875870932,0.9957240083847523,0.003167975106651677
black currant,0.6663068138783219,0.0933918276217755,0.32404895973500747,0.19200861974858852,0.30977500760109455,0.18648386340457837,0.915251977125281,0.07973675544572052,0.3465426459870523,0.16150512855793778,0.36465838509316767,0.285062583780167,0.3409523809523809,0.18764563505112905,0.9916612468042632,0.008029462191434356
brandy,0.6781663441634536,0.11442145585661513,0.19989334912842463,0.09129092904965838,0.1763525259574425,0.0828908917723449,0.9149987137480384,0.05215167822785929,0.16562290626052428,0.07174110586038857,0.13505238036017786,0.06471987501772268,0.38095238095238093,0.2465406922298428,0.9753803073745262,0.021493799736052994
burnt,0.7123040495355646,0.04404399102265836,0.30656206733514013,0.05395701384724196,0.3215426330974527,0.04777922998347061,0.8815652192178882,0.024441584193023114,0.24813277073756038,0.013739477884424357,0.24500744471639693,0.04944975652071884,0.48439980014031414,0.0901427574936951,0.9402082989308151,0.01675719429642903
