label,fold,support,TP,TN,FP,FN,Bal_Acc,MCC,F1,ROC_AUC,PR_AUC,Precision,Sensitivity,Specificity
alcoholic,0,22,12,952,9,10,0.7680446504588023,0.5484196290485928,0.5581395348837209,0.9059691609119289,0.5435486532877524,0.5714285714285714,0.5454545454545454,0.9906347554630593
aldehydic,0,30,7,942,11,23,0.6108954179783141,0.2845448739795864,0.2916666666666667,0.8779993004547046,0.28593922835986596,0.3888888888888889,0.23333333333333334,0.9884575026232949
alliaceous,0,31,17,921,31,14,0.7579120357820548,0.4182871298836508,0.43037974683544306,0.9457847655191108,0.3581395261973462,0.3541666666666667,0.5483870967741935,0.967436974789916
almond,0,16,3,964,3,13,0.5921988107549121,0.2995750470767471,0.2727272727272727,0.9151370217166495,0.3197686415174332,0.5,0.1875,0.9968976215098242
amber,0,18,7,951,14,11,0.6871905584340817,0.3471495937791473,0.358974358974359,0.8919976971790443,0.24913797657437514,0.3333333333333333,0.3888888888888889,0.9854922279792746
animal,0,23,5,951,9,18,0.604008152173913,0.26538171999999394,0.2702702702702703,0.800090579710145,0.1804615648099427,0.35714285714285715,0.21739130434782608,0.990625
anisic,0,16,7,943,24,9,0.7063404860392968,0.2988053383204362,0.2978723404255319,0.8232936918304032,0.18762226236935076,0.22580645161290322,0.4375,0.9751809720785936
apple,0,62,31,878,43,31,0.7266558089033659,0.4176617539954565,0.45588235294117646,0.8884102133025114,0.448622055713657,0.4189189189189189,0.5,0.9533116178067318
apricot,0,14,8,863,106,6,0.7310187232787853,0.17097821058004606,0.125,0.8485183547103051,0.068452542337953,0.07017543859649122,0.5714285714285714,0.890608875128999
aromatic,0,10,1,891,82,9,0.5078622816032888,0.005675115566063036,0.021505376344086023,0.7010277492291881,0.03016618004898868,0.012048192771084338,0.1,0.9157245632065776
balsamic,0,60,35,841,82,25,0.7472462983026363,0.3655816534010458,0.3954802259887006,0.8740881184543157,0.42310659763334607,0.29914529914529914,0.5833333333333334,0.9111592632719393
banana,0,26,12,924,33,14,0.713527851458886,0.3278834473755604,0.3380281690140845,0.9104573587332209,0.2640893875268,0.26666666666666666,0.46153846153846156,0.9655172413793104
beefy,0,9,2,962,12,7,0.6049509468400639,0.16872956368714637,0.17391304347826086,0.9291581108829569,0.10192360377436728,0.14285714285714285,0.2222222222222222,0.9876796714579056
bergamot,0,5,0,978,0,5,0.5,,0.0,0.8255623721881391,0.02335941499891486,0.0,0.0,1.0
berry,0,29,18,692,262,11,0.6730282657413431,0.12973691260647535,0.11650485436893204,0.7421383647798743,0.07178909976905545,0.06428571428571428,0.6206896551724138,0.7253668763102725
bitter,0,12,1,961,10,11,0.536517336079643,0.07624297727133915,0.08695652173913043,0.6543940954342602,0.052250370580962976,0.09090909090909091,0.08333333333333333,0.9897013388259527
black currant,0,13,0,970,0,13,0.5,,0.0,0.7884218873909595,0.08556175520087353,0.0,0.0,1.0
brandy,0,7,2,948,28,5,0.6285128805620609,0.1256445065507099,0.10810810810810811,0.7772248243559718,0.08084292058850605,0.06666666666666667,0.2857142857142857,0.9713114754098361
burnt,0,43,15,885,55,28,0.6451632855022267,0.23088755808226377,0.26548672566371684,0.8381741712023751,0.2009463759338828,0.21428571428571427,0.3488372093023256,0.9414893617021277
buttery,0,28,23,732,223,5,0.793960359012715,0.22578660257011343,0.1678832116788321,0.8575168287210172,0.2683994015854446,0.09349593495934959,0.8214285714285714,0.7664921465968586
cabbage,0,9,5,932,42,4,0.7562172028291125,0.22874529033798316,0.17857142857142858,0.9495779146703172,0.10227083398432155,0.10638297872340426,0.5555555555555556,0.9568788501026694
camphoreous,0,27,14,904,52,13,0.732062606539594,0.3031023853816866,0.3010752688172043,0.871842553850922,0.31710895617276724,0.21212121212121213,0.5185185185185185,0.9456066945606695
caramellic,0,46,23,911,26,23,0.7361259338313768,0.4583011186523817,0.4842105263157895,0.9039719734583082,0.5217682353313176,0.46938775510204084,0.5,0.9722518676627535
cedar,0,10,4,953,20,6,0.6897225077081193,0.24671204193399837,0.23529411764705882,0.8930113052415211,0.1712689323017303,0.16666666666666666,0.4,0.9794450154162384
celery,0,6,0,977,0,6,0.5,,0.0,0.568747867621972,0.01073446166029177,0.0,0.0,1.0
chamomile,0,7,0,976,0,7,0.5,,0.0,0.8880269320843092,0.07381796977450382,0.0,0.0,1.0
cheesy,0,37,10,931,15,27,0.6272070167419005,0.3075634576933312,0.3225806451612903,0.882235300839952,0.27900363785895604,0.4,0.2702702702702703,0.9841437632135307
cherry,0,18,1,965,0,17,0.5277777777777778,0.23365316069368677,0.10526315789473684,0.9169257340241797,0.20673928062141456,1.0,0.05555555555555555,1.0
chocolate,0,16,6,932,35,10,0.6694027921406411,0.21444030116388155,0.21052631578947367,0.8159901758014477,0.13150680925287378,0.14634146341463414,0.375,0.9638055842812823
cinnamon,0,13,0,969,1,13,0.49948453608247423,-0.0036942821806977993,0.0,0.932355273592387,0.16463760763552882,0.0,0.0,0.9989690721649485
citrus,0,74,40,857,52,34,0.7416674099842417,0.4378376650641236,0.4819277108433735,0.8640323491808639,0.40855804770727433,0.43478260869565216,0.5405405405405406,0.9427942794279428
clean,0,22,8,856,105,14,0.6271875886860279,0.11796384385045754,0.11851851851851852,0.7355027906536751,0.12283575479953696,0.07079646017699115,0.36363636363636365,0.890738813735692
clove,0,6,0,966,11,6,0.49437052200614123,-0.008336649705921668,0.0,0.9222108495394064,0.04962980837565084,0.0,0.0,0.9887410440122825
cocoa,0,23,9,930,30,14,0.6800271739130435,0.27883628857485593,0.2903225806451613,0.8423460144927536,0.1703584657623164,0.23076923076923078,0.391304347826087,0.96875
coconut,0,15,4,966,2,11,0.6323002754820937,0.4164387606261293,0.38095238095238093,0.8752754820936638,0.355362087410955,0.6666666666666666,0.26666666666666666,0.9979338842975206
coffee,0,23,15,904,56,8,0.7969202898550725,0.3467710332645412,0.3191489361702128,0.9082880434782608,0.21407182226580654,0.2112676056338028,0.6521739130434783,0.9416666666666667
cognac,0,20,10,919,44,10,0.7271547248182761,0.28149790997974466,0.2702702702702703,0.9203530633437175,0.22868316800752125,0.18518518518518517,0.5,0.9543094496365524
cooked,0,17,13,855,111,4,0.8248995250274023,0.2551435956009778,0.18439716312056736,0.8628059919620022,0.31404838985890104,0.10483870967741936,0.7647058823529411,0.8850931677018633
cooling,0,14,5,889,80,9,0.6372917588087866,0.11575845974511208,0.10101010101010101,0.6934247383163792,0.03851336477730646,0.058823529411764705,0.35714285714285715,0.9174406604747162
cortex,0,13,0,970,0,13,0.5,,0.0,0.7540840602696273,0.03428348640739194,0.0,0.0,1.0
coumarinic,0,12,4,951,20,8,0.6563680054926193,0.222517005012113,0.2222222222222222,0.9351184346035016,0.2710451603148372,0.16666666666666666,0.3333333333333333,0.9794026776519053
creamy,0,40,4,941,2,36,0.5489395546129374,0.2482864067122707,0.17391304347826086,0.6937168610816542,0.23874280974119824,0.6666666666666666,0.1,0.9978791092258749
cucumber,0,11,1,970,2,10,0.5444257388701833,0.16944176437568254,0.14285714285714285,0.8907594463150018,0.17312725377635033,0.3333333333333333,0.09090909090909091,0.9979423868312757
dairy,0,24,3,956,3,21,0.5609358706986445,0.2414877105214445,0.2,0.8698731317344457,0.29494462610066763,0.5,0.125,0.9968717413972888
dry,0,34,3,919,30,31,0.5283115353623009,0.05744433550370687,0.08955223880597014,0.6868530341535982,0.07204472231422815,0.09090909090909091,0.08823529411764706,0.9683877766069547
earthy,0,73,14,873,37,59,0.5755607406292338,0.17865504464157958,0.22580645161290322,0.7169802799939786,0.17082123548947306,0.27450980392156865,0.1917808219178082,0.9593406593406594
ethereal,0,56,35,896,31,21,0.7957793959007551,0.5478670203533782,0.5737704918032787,0.9447141316073355,0.5440184038362222,0.5303030303030303,0.625,0.9665587918015103
fatty,0,125,71,795,63,54,0.7472867132867133,0.480201137122112,0.5482625482625483,0.8324009324009323,0.4908831069522649,0.5298507462686567,0.568,0.9265734265734266
fermented,0,34,6,943,6,28,0.5850740717783425,0.2831389008148983,0.2608695652173913,0.8375069732845719,0.28111119393636247,0.5,0.17647058823529413,0.9936775553213909
fishy,0,16,8,920,47,8,0.7256980351602895,0.24852819718223076,0.22535211267605634,0.8972337125129265,0.16247883863526372,0.14545454545454545,0.5,0.9513960703205792
floral,0,222,161,616,145,61,0.7673432302210226,0.4828507995383213,0.6098484848484849,0.8553231286477014,0.641050052383623,0.5261437908496732,0.7252252252252253,0.80946123521682
fresh,0,109,78,601,273,31,0.7016196754350975,0.26425290776613797,0.3391304347826087,0.7763000440870825,0.2866883105612727,0.2222222222222222,0.7155963302752294,0.6876430205949656
fruit skin,0,10,0,894,79,10,0.45940390544707094,-0.029969045443579215,0.0,0.6706063720452209,0.016626644775576568,0.0,0.0,0.9188078108941419
fruity,0,378,282,491,114,96,0.7788009969828151,0.5530714772035075,0.7286821705426356,0.8601600419782238,0.8168905422141287,0.7121212121212122,0.746031746031746,0.8115702479338843
garlic,0,23,19,936,24,4,0.9005434782608696,0.5920808851341429,0.5757575757575758,0.9881340579710145,0.7635261150873293,0.4418604651162791,0.8260869565217391,0.975
gassy,0,7,0,976,0,7,0.5,,0.0,0.9388173302107727,0.06110753135046202,0.0,0.0,1.0
geranium,0,11,3,909,63,8,0.603956228956229,0.0873883123000706,0.07792207792207792,0.7961092405536849,0.1344691274834086,0.045454545454545456,0.2727272727272727,0.9351851851851852
grape,0,20,7,856,107,13,0.6194444444444445,0.10533235107432831,0.1044776119402985,0.765368639667705,0.07194196787823463,0.06140350877192982,0.35,0.8888888888888888
grapefruit,0,12,2,951,20,10,0.5730346721592859,0.1084391946495849,0.11764705882352941,0.7979745966357707,0.0630241149825128,0.09090909090909091,0.16666666666666666,0.9794026776519053
grassy,0,13,4,957,13,9,0.6471451229183188,0.25788161845646845,0.26666666666666666,0.7149088025376685,0.23619354699029507,0.23529411764705882,0.3076923076923077,0.98659793814433
