label,n_folds_evaluated,support_mean,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,Bal_Acc_mean,Bal_Acc_std,MCC_mean,MCC_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std
fruity,5,380.2,275.2,12.6396,488.4,20.6746,126.6,24.9528,105.0,15.0599,0.7593,0.0104,0.515,0.022,0.7039,0.0135,0.8465,0.0074,0.7886,0.0196,0.6877,0.0336,0.7241,0.0376,0.7945,0.0384
odorless,5,40.0,29.0,2.9665,943.4,9.2434,11.8,6.2097,11.0,2.9665,0.8563,0.0349,0.7117,0.037,0.719,0.0371,0.9261,0.0342,0.7722,0.0474,0.7299,0.0939,0.725,0.0742,0.9877,0.0064
sulfurous,5,80.4,70.0,2.2804,876.2,11.7712,38.6,7.7356,10.4,2.498,0.9143,0.0128,0.7255,0.0221,0.7415,0.0229,0.9764,0.003,0.746,0.0256,0.6481,0.0428,0.8707,0.0305,0.9578,0.0085
green,5,289.0,201.8,23.8613,491.4,60.8658,214.8,68.8285,87.2,26.1182,0.698,0.0156,0.3706,0.0317,0.5728,0.0219,0.7766,0.0129,0.603,0.0342,0.4934,0.0463,0.699,0.0889,0.6969,0.0927
onion,5,35.4,20.4,1.8547,942.4,10.632,17.4,2.8705,15.0,3.4059,0.7808,0.0397,0.5429,0.0634,0.5586,0.06,0.971,0.009,0.6,0.0733,0.5417,0.0572,0.5798,0.078,0.9819,0.003
floral,5,219.8,150.0,10.5641,651.6,20.6746,123.8,21.4793,69.8,13.7317,0.7619,0.0187,0.4876,0.0233,0.6075,0.0177,0.8476,0.0147,0.5947,0.0324,0.551,0.0316,0.6833,0.057,0.8405,0.0269
woody,5,135.0,81.6,8.8227,782.8,17.837,77.4,27.427,53.4,8.6163,0.7574,0.019,0.4867,0.0251,0.5563,0.021,0.8612,0.0137,0.5873,0.0357,0.5277,0.0663,0.6043,0.0642,0.9104,0.0308
garlic,5,24.0,14.8,3.3106,954.0,12.775,17.2,5.0359,9.2,3.544,0.8002,0.0719,0.5214,0.0987,0.5258,0.0933,0.9741,0.0128,0.5594,0.1359,0.4678,0.0917,0.6182,0.1459,0.9823,0.0053
fatty,5,119.4,67.0,8.0747,822.4,16.0449,53.4,7.9398,52.4,7.8128,0.75,0.0312,0.498,0.0473,0.5573,0.0451,0.8509,0.0144,0.5421,0.0612,0.5569,0.0333,0.561,0.0661,0.939,0.0094
sweet,5,285.2,190.6,19.0431,477.6,41.8167,232.4,47.3819,94.6,18.1395,0.6707,0.0146,0.3151,0.0287,0.5382,0.0183,0.7361,0.0145,0.5273,0.0273,0.4549,0.0322,0.6681,0.0646,0.6732,0.0643
