label,PA,n_valid_pairs,n_molecules
almond,0.0,1,4
amber,0.0,1,3
anisic,0.0,1,3
aromatic,0.0,1,2
black currant,0.0,1,2
bitter,0.0,1,2
balsamic,0.0,1,2
celery,0.0,1,4
cherry,0.0,1,8
chocolate,0.0,1,5
camphoreous,0.0,1,5
clean,0.0,1,16
hyacinth,0.0,1,2
cortex,0.0,1,7
cooling,0.0,1,1
cooked,0.0,1,13
fruit skin,0.0,1,8
gassy,0.0,1,4
geranium,0.0,1,2
hazelnut,0.0,1,1
juicy,0.0,1,7
phenolic,0.0,1,8
ozone,0.0,1,3
orangeflower,0.0,1,1
medicinal,0.0,1,3
metallic,0.0,1,24
muguet,0.0,1,2
lily,0.0,1,4
leathery,0.0,1,2
lavender,0.0,1,3
lactonic,0.0,1,5
ketonic,0.0,1,4
popcorn,0.0,1,4
powdery,0.0,1,2
raspberry,0.0,1,2
solvent,0.0,1,20
natural,0.0,1,10
terpenic,0.0,1,2
sweaty,0.0,1,10
strawberry,0.0,1,7
soapy,0.0,1,23
vanilla,0.0,1,1
weedy,0.0,1,6
warm,0.0,1,5
savory,0.08,1,24
pine,0.1,1,57
odorless,0.1111111111111111,1,17
ripe,0.1111111111111111,1,34
dry,0.1111111111111111,1,17
spicy,0.11764705882352941,1,16
winey,0.11764705882352941,1,80
aldehydic,0.1276595744680851,1,44
coumarinic,0.14285714285714285,1,13
cheesy,0.16901408450704225,1,65
animal,0.18181818181818182,1,10
fermented,0.18181818181818182,1,30
caramellic,0.1875,1,29
grassy,0.1935483870967742,1,28
coffee,0.2,1,9
fresh,0.2184873949579832,1,106
roasted,0.2222222222222222,1,24
musty,0.2222222222222222,1,32
brandy,0.23529411764705882,1,15
nutty,0.23809523809523808,1,37
apricot,0.25,1,28
cocoa,0.25,1,14
milky,0.2608695652173913,1,20
rummy,0.26666666666666666,1,26
burnt,0.26666666666666666,1,13
sharp,0.2727272727272727,1,19
alliaceous,0.27586206896551724,1,25
dairy,0.2777777777777778,1,31
grape,0.2857142857142857,1,18
musk,0.2857142857142857,1,6
woody,0.2857142857142857,1,30
oily,0.2900763358778626,1,112
leafy,0.29411764705882354,1,29
cognac,0.30434782608695654,1,39
honey,0.3076923076923077,1,11
earthy,0.3111111111111111,1,38
potato,0.3333333333333333,1,10
alcoholic,0.34285714285714286,1,29
herbal,0.3541666666666667,1,79
banana,0.3548387096774194,1,51
vegetable,0.35789473684210527,1,78
tropical,0.3584905660377358,1,87
orris,0.375,1,13
buttery,0.3829787234042553,1,38
ethereal,0.39080459770114945,1,70
beefy,0.4,1,4
sweet,0.40304182509505704,1,210
pungent,0.4117647058823529,1,54
meaty,0.43137254901960786,1,40
lemon,0.4444444444444444,1,7
mint,0.4444444444444444,1,14
berry,0.4444444444444444,1,28
hay,0.4444444444444444,1,7
plum,0.46153846153846156,1,10
melon,0.46153846153846156,1,40
sour,0.4666666666666667,1,23
tomato,0.47619047619047616,1,16
peach,0.48484848484848486,1,25
violet,0.5,1,21
cabbage,0.5,1,21
coconut,0.5,1,36
tobacco,0.5,1,3
apple,0.5212765957446809,1,139
floral,0.5333333333333333,1,88
sulfurous,0.5357142857142857,1,82
pear,0.5454545454545454,1,40
fatty,0.5460526315789473,1,221
garlic,0.5538461538461539,1,47
radish,0.5555555555555556,1,13
mushroom,0.56,1,18
malty,0.5714285714285714,1,5
waxy,0.5739130434782609,1,164
orange,0.5833333333333334,1,34
creamy,0.5964912280701754,1,40
jasmin,0.6,1,7
citrus,0.603448275862069,1,81
fishy,0.6153846153846154,1,27
onion,0.627906976744186,1,59
cucumber,0.6341463414634146,1,28
pineapple,0.6481481481481481,1,73
rose,0.6666666666666666,1,40
tea,0.6666666666666666,1,2
green,0.6722338204592901,1,318
fruity,0.6852459016393443,1,401
grapefruit,0.75,1,5
chamomile,0.8,1,3
bergamot,,0,0
cedar,,0,0
cinnamon,,0,0
clove,,0,0
hawthorn,,0,0
sandalwood,,0,0
smoky,,0,0
vetiver,,0,0
