Label;Precentage ;Balanced Accuracy;MCC;F1;ROC AUC;PR AUC (AP);Sensitivity;Specificity
Floral;26.2%;0.75;0.526;0.638;0.857;0.817;0.595;0.905
Fruity;45.8%;0.799;0.6;0.778;0.872;0.871;0.762;0.835
Woody;21.2%;0.691;0.468;0.53;0.845;0.8;0.427;0.955
Sweet;38.7%;0.681;0.366;0.603;0.753;0.749;0.587;0.775
Green;45.2%;0.709;0.426;0.665;0.796;0.796;0.623;0.794
Chemical;43.1%;0.728;0.466;0.678;0.8;0.787;0.639;0.817
Spicy;21.6%;0.629;0.354;0.41;0.794;0.74;0.302;0.956
Gourmand;24.2%;0.671;0.45;0.502;0.845;0.807;0.377;0.964
Powdery/Amber;20.6%;0.628;0.317;0.403;0.792;0.717;0.323;0.933
Earthy;20.2%;0.683;0.47;0.516;0.802;0.776;0.401;0.964
Animal/Musk;15.5%;0.665;0.449;0.472;0.805;0.753;0.354;0.975
Macro Average;-;0.694;0.445;0.563;0.815;0.783;0.49;0.898
