Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"EState_VSA2",2.030262974824622,0,6.269305357462398
"NdssC",2.962014418026327,0,7.530022312303199
"MACCS_126",2.509076867986997,0,7.575771178665068
"nBondsD",3.515962225374532,0,8.14750619906237
"VSA_EState1",2.1863527386242367,0,6.874562081191351
"NdO",2.0403885003945006,0,6.653272804614412
"nRot",1.0285838332267698,0,5.860621437973839
"SlogP_VSA3",3.1563658383013156,0,8.205827590980343
"MACCS_159",2.347680954843825,0,7.583017738617786
"ATS0dv",2.2814121139841017,0,7.198413584040583
"MACCS_164",2.1867653674917746,0,6.8151163270374955
"NssO",3.5216552142813726,0,8.675995217395482
"GeomDiameter",2.0630411804899267,0,6.834526669635575
"nS",1.929707254002599,0,7.347481903068867
"nO",1.5292219250864465,0,5.874453118582133
"MACCS_064",1.7149661650776058,0,6.3780841285242165
"MACCS_081",2.1773329294728234,0,7.33212260374803
"PEOE_VSA1",1.0729865677698467,0,5.46687747909826
"SMR_VSA1",2.369466469584815,0,7.1129358935368145
"MACCS_123",1.0948430030974077,0,6.083996320207994
"morgan_183",1.3321497332160879,0,6.324709803478769
"MACCS_121",1.9030572317528933,0,6.94227827730316
"MACCS_157",3.6658109775526007,0,9.135015939358512
"JGI7",3.770115818475789,0,8.636946121858227
"MACCS_088",1.4268867422731724,0,6.291892775780264
