Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"EState_VSA2",85.72963035029741,75.50204895053714,96.85511296805251
"NdssC",89.9203697206232,80.57542977991194,100
"MACCS_126",92.37545668022283,83.8713157594261,100
"nBondsD",99.09998068381114,90.48606781294401,100
"VSA_EState1",99.09998068381114,90.48606781294401,100
"NdO",99.09998068381114,90.48606781294401,100
"nRot",100,91.85270395709054,100
"SlogP_VSA3",100,91.85270395709054,100
"MACCS_159",100,91.85270395709054,100
"ATS0dv",100,91.85270395709054,100
"MACCS_164",100,91.85270395709054,100
"NssO",100,91.85270395709054,100
"GeomDiameter",100,91.85270395709054,100
"nS",100,91.85270395709054,100
"nO",100,91.85270395709054,100
"MACCS_064",100,91.85270395709054,100
"MACCS_081",100,91.85270395709054,100
"PEOE_VSA1",100,91.85270395709054,100
"SMR_VSA1",100,91.85270395709054,100
"MACCS_123",100,91.85270395709054,100
"morgan_183",100,91.85270395709054,100
"MACCS_121",100,91.85270395709054,100
"MACCS_157",100,91.85270395709054,100
"JGI7",100,91.85270395709054,100
"MACCS_088",100,91.85270395709054,100
