Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,SMR_VSA1,5.491356139820681e-59,5.496852992813495e-62
Feature 1,nO,2.9539824188445053e-55,5.913878716405416e-58
Feature 2,MACCS_088,4.0530625051530604e-55,1.2171358874333514e-57
Feature 3,nBondsD,4.331261636093301e-48,1.734238893330651e-50
Feature 4,MACCS_126,7.216918516948132e-48,3.6120713298038697e-50
Feature 5,MACCS_123,3.0238889166500295e-44,1.816149499489507e-46
Feature 6,morgan_183,1.930062941216373e-43,1.3523964553067677e-45
Feature 7,NssO,1.6612740039807278e-42,1.3303495527373196e-44
Feature 8,MACCS_159,3.2722285626340436e-41,2.94795366003067e-43
Feature 9,ATS0dv,6.103550441579392e-41,6.109660101681073e-43
Feature 10,MACCS_164,2.1721444306908138e-40,2.3917506243842795e-42
Feature 11,nRot,2.8955382097884185e-40,3.478123975721824e-42
Feature 12,MACCS_081,1.6708711728213403e-39,2.1743068314992416e-41
Feature 13,GeomDiameter,1.8050136496165227e-39,2.529548658121253e-41
Feature 14,MACCS_157,2.4792129133552028e-39,3.722541911944749e-41
Feature 15,SlogP_VSA3,3.282103852511502e-39,5.256622786805209e-41
Feature 16,nS,3.107003807589066e-38,5.28719366656798e-40
Feature 17,EState_VSA2,9.503936757211436e-36,1.7124210373353938e-37
Feature 18,VSA_EState1,3.5624319390818303e-32,6.775396080335814e-34
Feature 19,NdssC,6.738642608129616e-32,1.3490775992251484e-33
Feature 20,PEOE_VSA1,1.0381657796009961e-30,2.1823304676297214e-32
Feature 21,JGI7,2.676737545331253e-29,5.894717317045802e-31
Feature 22,NdO,3.807906802245316e-29,8.766952597761989e-31
Feature 23,MACCS_064,4.56516008398695e-29,1.0967351553121802e-30
Feature 24,MACCS_121,5.830058582385215e-29,1.4589736192155192e-30
Feature 25,nHeavyAtom,2.7076976652127987e-28,7.04706099054382e-30
Feature 26,NsSH,5.0124069027057544e-27,1.3547045682988525e-28
Feature 27,morgan_295,5.042055251455868e-27,1.4131886590667097e-28
Feature 28,TIC1,5.244063139991748e-27,1.522300611208816e-28
Feature 29,EState_VSA10,6.574162525582855e-27,1.974222980655512e-28
Feature 30,MOMI-X,3.2819339263129016e-26,1.0184179350920917e-27
Feature 31,MACCS_154,8.973180463236204e-26,2.8742920402758614e-27
Feature 32,naHRing,3.729715670015724e-25,1.2320382093145034e-26
Feature 33,ATS3dv,1.7902635250799217e-24,6.092988974245979e-26
Feature 34,MACCS_161,2.271758181339436e-24,7.959112747435462e-26
Feature 35,ATS0v,2.396115429087062e-24,8.63465019490833e-26
Feature 36,GGI7,3.0785111508868172e-24,1.1401893151432658e-25
Feature 37,PEOE_VSA4,3.7905687249125575e-24,1.441857973440212e-25
Feature 38,nAtom,8.292641101209996e-24,3.237367396868767e-25
Feature 39,TopoPSA(NO),2.715765342766795e-23,1.0873935306373556e-24
Feature 40,MACCS_137,5.0918457180832686e-23,2.0897464909050454e-24
Feature 41,ATS1dv,1.1114618392571096e-22,4.6728125374172775e-24
Feature 42,MACCS_059,2.850765814347752e-22,1.2270563565260595e-23
Feature 43,morgan_138,6.051112846467127e-22,2.6651548072527885e-23
Feature 44,nC,2.0320687146571014e-21,9.153462678635592e-23
Feature 45,CIC0,2.8604620476340573e-21,1.3171296715832495e-22
Feature 46,MACCS_109,3.2436204798948316e-21,1.5260276532037748e-22
Feature 47,ATSC0v,4.63194237239241e-21,2.225557896645002e-22
Feature 48,IC3,7.644705827628234e-21,3.7496555110488835e-22
Feature 49,EState_VSA9,8.36752495129979e-21,4.1879504260759715e-22
Feature 50,MACCS_099,1.341000634733757e-20,6.845949186328489e-22
Feature 51,morgan_80,1.9682068006051203e-20,1.0244920283430056e-21
Feature 52,morgan_381,5.531281516204784e-20,2.9345137173058412e-21
Feature 53,MACCS_156,6.91581964796217e-20,3.738280890790362e-21
Feature 54,piPC1,8.829778686697188e-20,4.861239517200654e-21
Feature 55,MACCS_065,1.5940699201623794e-19,8.935727280189513e-21
Feature 56,bpol,3.993682276888483e-19,2.2786775754018372e-20
Feature 57,morgan_229,4.60331621849725e-19,2.672596002731136e-20
Feature 58,GGI6,1.3537997309291253e-18,7.995413826308147e-20
Feature 59,ATSC0i,1.3519836467384706e-18,8.120021902333157e-20
Feature 60,ATS0p,1.8226290335171487e-18,1.1129166270725334e-19
Feature 61,NssS,3.794282194972676e-18,2.3548097706537126e-19
Feature 62,PEOE_VSA5,1.456502219383049e-17,9.185149131244452e-19
Feature 63,morgan_4,1.5778746122353996e-17,1.0108506024330888e-18
Feature 64,GGI8,2.4132966197726156e-17,1.5702130158680682e-18
Feature 65,morgan_2,3.2260818172596034e-17,2.1313453447360743e-18
Feature 66,morgan_147,3.422344301448305e-17,2.2952659479182822e-18
Feature 67,fMF,1.1853062378940815e-16,8.068150568248001e-18
Feature 68,VSA_EState2,2.0478740907813078e-16,1.4144475702093116e-17
Feature 69,AATSC0dv,4.35866420140821e-16,3.054119060045793e-17
Feature 70,n5aRing,4.325280980282259e-16,3.074023519519924e-17
Feature 71,PBF,9.787078764480458e-16,7.053750460886816e-17
Feature 72,MACCS_108,1.2158772211394982e-15,8.884788502821158e-17
Feature 73,SaasC,2.669412098690057e-15,1.9773422953259682e-16
Feature 74,morgan_182,3.9095103076441985e-15,2.935067798531681e-16
Feature 75,MACCS_050,6.390603881264377e-15,4.861720670431358e-16
Feature 76,MACCS_146,1.1089467241456368e-14,8.547437213134538e-16
Feature 77,IC2,1.3735626473198068e-14,1.072451316225675e-15
Feature 78,NaaN,2.6251121945434158e-14,2.075914548237536e-15
Feature 79,SMR_VSA3,2.6183304873062467e-14,2.0967611509959933e-15
Feature 80,MACCS_036,2.7468022844050376e-14,2.227136987355436e-15
Feature 81,MACCS_155,3.06944605248376e-14,2.519465228264948e-15
Feature 82,NdsCH,4.434718507982269e-14,3.684500862487771e-15
Feature 83,MACCS_076,5.885805354069283e-14,4.949025522941139e-15
Feature 84,JGI6,6.852718529856904e-14,5.8306413917701386e-15
Feature 85,JGI8,1.0337054884872397e-13,8.898765966957218e-15
Feature 86,GGI5,2.9242535241195965e-13,2.5466472131972462e-14
Feature 87,morgan_116,2.900975440618517e-13,2.5554138015458407e-14
Feature 88,ATSC0d,3.249567937418171e-13,2.895010474776949e-14
Feature 89,morgan_13,3.8306405086902634e-13,3.4510274853065434e-14
Feature 90,ZMIC1,4.129827081160776e-13,3.7619045484047106e-14
Feature 91,GhoseFilter,4.806097912130126e-13,4.426036115274991e-14
Feature 92,MACCS_120,5.059204270099511e-13,4.7097697409334794e-14
Feature 93,ATSC7Z,1.6825142604789735e-12,1.5831465514016368e-13
Feature 94,PEOE_VSA6,2.2015243491906847e-12,2.093541673404555e-13
Feature 95,morgan_435,4.035342911768979e-12,3.87780700230052e-13
Feature 96,AATS0dv,5.2825133824949505e-12,5.12916714816827e-13
Feature 97,MACCS_047,6.4350224549258226e-12,6.312634640467774e-13
Feature 98,nN,6.589885415022467e-12,6.530517077950192e-13
Feature 99,SlogP_VSA2,9.430256819833786e-12,9.439696516350134e-13
