Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,SMR_VSA1,1.9822941417663992e-177,1.9862666751166327e-180
Feature 1,nO,9.515714991417056e-163,1.9069569121076266e-165
Feature 2,MACCS_126,3.0310952217205665e-135,9.111508682526753e-138
Feature 3,nBondsD,5.44399180267601e-129,2.1819606423551142e-131
Feature 4,morgan_183,6.621967536805883e-129,3.317619006415773e-131
Feature 5,NssO,2.1258133214028164e-126,1.2780440810036972e-128
Feature 6,EState_VSA2,6.668083843165909e-122,4.677012715647431e-124
Feature 7,MACCS_159,1.4583329345701027e-121,1.1690043563688198e-123
Feature 8,nRot,2.7373149017767634e-121,2.4685204525040953e-123
Feature 9,MACCS_123,1.4827086431620973e-120,1.4856800031684342e-122
Feature 10,GeomDiameter,1.2809268382284696e-113,1.411843208468253e-115
Feature 11,VSA_EState1,1.928610868558623e-107,2.3189709842388255e-109
Feature 12,ATS0dv,3.665925594977864e-105,4.7752537810332906e-107
Feature 13,SlogP_VSA3,9.421578682364347e-102,1.3216643442194476e-103
Feature 14,NdssC,7.554795107037479e-101,1.1354902465487193e-102
Feature 15,MACCS_157,9.578016937268174e-98,1.5355538175981041e-99
Feature 16,MACCS_088,1.3904700643758377e-95,2.368536181802529e-97
Feature 17,PEOE_VSA1,1.9447842657169523e-93,3.5076269321548244e-95
Feature 18,MACCS_164,2.205343710122705e-93,4.1985501495322035e-95
Feature 19,morgan_295,4.440367179882881e-85,8.898531422610984e-87
Feature 20,NdO,7.862395350933872e-83,1.6544118473908949e-84
Feature 21,MOMI-X,7.497351023890921e-81,1.652722670597197e-82
Feature 22,nS,3.1071392799646945e-79,7.160741827573945e-81
Feature 23,EState_VSA10,7.467060341474997e-77,1.7956858536613217e-78
Feature 24,JGI7,1.1864027167474533e-76,2.9719506932551437e-78
Feature 25,MACCS_121,1.471852425244899e-76,3.834485276189115e-78
Feature 26,GGI7,2.374405985634369e-74,6.423743648509815e-76
Feature 27,nHeavyAtom,2.9307728161757244e-74,8.222609103499026e-76
Feature 28,TIC1,4.030202715942723e-72,1.171100989602595e-73
Feature 29,MACCS_161,6.335695464509209e-71,1.9045176747021671e-72
Feature 30,NsSH,6.4595181692539114e-71,2.0064635595878885e-72
Feature 31,EState_VSA9,2.852728530112463e-69,9.14702534705399e-71
Feature 32,naHRing,2.3778332430734344e-68,7.862574851846026e-70
Feature 33,MACCS_154,7.007977912109714e-68,2.387487465047397e-69
Feature 34,ATS0v,1.0603110897562806e-66,3.71852586587874e-68
Feature 35,TopoPSA(NO),1.1944227814787262e-66,4.308539091506427e-68
Feature 36,morgan_381,1.9852682039207717e-63,7.360212780066989e-65
Feature 37,MACCS_081,2.2602307985147373e-63,8.606089212781565e-65
Feature 38,nAtom,4.539876002893294e-63,1.7740998408100046e-64
Feature 39,PBF,1.390671105472792e-62,5.573832086063295e-64
Feature 40,morgan_138,5.2751726274476705e-62,2.1671550874284015e-63
Feature 41,morgan_80,4.281313007645779e-61,1.8017549731575422e-62
Feature 42,ATS0p,3.790981598719502e-60,1.633388865179745e-61
Feature 43,MACCS_109,2.4660054053854348e-59,1.0872168119935785e-60
Feature 44,ATSC0v,3.5255526341896847e-59,1.5896780414682947e-60
Feature 45,bpol,5.625952821928514e-58,2.5931245471814796e-59
Feature 46,PEOE_VSA4,1.2062627037208553e-57,5.680796300088196e-59
Feature 47,ATS1dv,3.81023281686663e-57,1.832576905907798e-58
Feature 48,CIC0,2.2260998982555853e-56,1.0929748999451272e-57
