Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"MACCS_066",0.4728693312647413,0,4.7026826750152475
"MACCS_161",1.3760680791609325,0,5.497753276441672
"morgan_42",0,0,2.9447091382166133
"morgan_295",0,0,2.839880320754909
"morgan_147",0,0,2.9637326983462766
"JGT10",0.26816909775414954,0,3.541847696588898
"morgan_352",0,0,1.9084239825346512
"morgan_25",2.0774444436299664,0,5.2497910092821
"TopoPSA",0.8635366833462731,0,4.3478583876894685
"morgan_367",0,0,2.3703094398501463
"MACCS_049",0,0,2.33952220032267
"JGI6",0,0,1.6604539381409555
"morgan_289",0.5233129759168739,0,3.247425883331022
"morgan_165",0,0,2.9760352383435995
"JGI7",0,0,2.569155142257177
"morgan_71",0.9127119068099278,0,3.7808032258443744
"morgan_239",0,0,1.0964956746784231
"morgan_176",0,0,2.11286065427962
"morgan_315",0.8882708965220034,0,3.8258953300223544
"MACCS_108",0,0,2.2339029611357226
"piPC3",0,0,1.7321414650678626
"morgan_263",0,0,2.680416667600481
"IC2",1.5061768606192734,0,4.571918306875239
"morgan_414",0.48682196433822666,0,3.210006968645947
"morgan_216",0,0,1.8378140402068015
