Feature 0,piPC3
Feature 1,TopoPSA
Feature 2,JGT10
Feature 3,JGI7
Feature 4,morgan_414
Feature 5,MACCS_161
Feature 6,morgan_289
Feature 7,morgan_147
Feature 8,IC2
Feature 9,morgan_42
Feature 10,morgan_71
Feature 11,morgan_367
Feature 12,morgan_165
Feature 13,morgan_263,
Feature 14,morgan_295
Feature 15,MACCS_049,,,
Feature 16,MACCS_108,
Feature 17,morgan_176,
Feature 18,JGI6
Feature 19,morgan_352
Feature 20,morgan_25,
Feature 21,morgan_216
Feature 22,MACCS_066,,,,,,,,,,,,
Feature 23,morgan_315
Feature 24,morgan_239
