Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,MZ,0,0
Feature 1,AATS0Z,0,0
Feature 2,IC0,0,0
Feature 3,MIC0,4.738728140079e-311,1.8992898357e-313
Feature 4,CIC0,3.4191236444527474e-207,1.7129877978220175e-209
Feature 5,AATSC0Z,3.9929953283031737e-206,2.4005983937694434e-208
Feature 6,Mv,7.476733439734754e-199,5.244201811437202e-201
Feature 7,AATS0dv,1.3337836751597478e-195,1.0691652706691366e-197
Feature 8,MACCS_108,3.3130755125494726e-191,2.987743448190907e-193
Feature 9,AATSC0dv,1.5242219515829944e-187,1.5272765045921787e-189
Feature 10,VSA_EState7,2.3517092029327015e-187,2.5920642517294307e-189
Feature 11,AATS0v,1.8946252440085478e-184,2.2781065058219013e-186
Feature 12,nHetero,1.12039424162354e-182,1.4594313768643307e-184
Feature 13,TopoPSA,6.1879787370007795e-174,8.68053129438987e-176
Feature 14,ATSC2dv,1.2541437270417618e-165,1.8849855616860148e-167
Feature 15,nHBAcc,1.2418136606000365e-164,1.9908836242084754e-166
Feature 16,morgan_401,5.135692596015044e-161,8.748173760747069e-163
Feature 17,MACCS_116,8.834678103756421e-157,1.5934289165091741e-158
Feature 18,MIC1,1.3698609719596937e-152,2.6079517502238656e-154
Feature 19,SLogP,1.664779947104331e-150,3.336232358926515e-152
Feature 20,NdsCH,1.8978514427826233e-148,3.993474979803115e-150
Feature 21,MIC2,1.657079286022579e-144,3.6528801896289317e-146
Feature 22,SlogP_VSA5,7.017044193847368e-144,1.6171544735319584e-145
Feature 23,ATSC2d,2.2441144987424163e-140,5.3966681332482956e-142
Feature 24,MACCS_118,1.4980426919461545e-137,3.752611953772932e-139
Feature 25,MACCS_147,8.276790964168278e-137,2.156278207097948e-138
Feature 26,SdssC,2.5881078940845367e-135,7.001895104236723e-137
Feature 27,morgan_182,2.8353866910794254e-134,7.954992720463318e-136
Feature 28,CIC1,5.973167187901938e-134,1.735689864220002e-135
Feature 29,SMR_VSA5,1.7292302879551574e-132,5.198087037941355e-134
Feature 30,morgan_479,9.833829048881819e-130,3.054596197548461e-131
Feature 31,morgan_38,7.466693684358215e-127,2.394130239473576e-128
Feature 32,MACCS_162,8.674514120790418e-126,2.8683263124858094e-127
Feature 33,MACCS_099,4.56857503523685e-122,1.556428368717965e-123
Feature 34,nAromAtom,6.615305744395006e-121,2.3199970045473468e-122
Feature 35,AATSC0i,3.264233016293725e-120,1.1774788435528466e-121
Feature 36,MACCS_050,1.2221951895834316e-118,4.5311845705998964e-120
Feature 37,MACCS_115,2.6951570624360885e-116,1.0262121079415968e-117
Feature 38,NaasC,9.03740058171793e-112,3.5316495259218365e-113
Feature 39,morgan_46,1.2987688045506461e-111,5.205486190583752e-113
Feature 40,MACCS_076,1.349891577980069e-109,5.545646763244773e-111
Feature 41,morgan_505,1.0310116989774472e-107,4.338926989684647e-109
Feature 42,naHRing,2.5159192217041837e-100,1.0840132919166323e-101
Feature 43,MACCS_129,9.2376774149555e-97,4.072723509599619e-98
Feature 44,fMF,2.0222836403334184e-96,9.118513408317017e-98
Feature 45,SaasC,1.776616670129183e-92,8.188814311216675e-94
Feature 46,BalabanJ,4.258411908957655e-91,2.0054645262626233e-92
Feature 47,ATSC4dv,6.740047602401064e-87,3.241706261675862e-88
Feature 48,EState_VSA8,1.7857572824439817e-85,8.767746176328166e-87
Feature 49,SMR_VSA3,1.614252181152013e-83,8.087435777314695e-85
Feature 50,NaaCH,2.4131085854322534e-83,1.233151681934318e-84
Feature 51,EState_VSA5,2.2408063231846815e-82,1.1675543968497339e-83
Feature 52,nS,2.1653969088603013e-81,1.1499602822604805e-82
Feature 53,VSA_EState8,3.8483416240921136e-81,2.082269015039821e-82
Feature 54,AATS0d,5.891851700907894e-81,3.2470124604201816e-82
Feature 55,C2SP3,6.6031750822635265e-80,3.7051884229134015e-81
Feature 56,n6aRing,4.6163661194346164e-79,2.6366018918614545e-80
Feature 57,morgan_356,1.911955515729501e-78,1.1111565121474053e-79
Feature 58,PEOE_VSA6,1.5490090352559937e-77,9.157468244499361e-79
Feature 59,MACCS_146,1.883151165339393e-77,1.13215500922208e-78
Feature 60,MACCS_128,3.888177408907604e-76,2.376541302037714e-77
Feature 61,MACCS_121,2.358429106557074e-75,1.4651563587829517e-76
Feature 62,EState_VSA4,1.6922263138717881e-74,1.0682390558509284e-75
Feature 63,morgan_416,3.563644717265739e-74,2.285303225501075e-75
Feature 64,nHRing,2.0024033747443624e-72,1.3041705346531418e-73
Feature 65,SlogP_VSA2,2.141829801138309e-72,1.4164405498509858e-73
Feature 66,GeomDiameter,7.174575535162155e-72,4.816598806170986e-73
Feature 67,morgan_337,7.282582860380263e-72,4.96208050607072e-73
Feature 68,CIC2,9.80158865357815e-72,6.776649469908742e-73
Feature 69,TopoPSA(NO),2.660507864290062e-71,1.866087680363771e-72
Feature 70,NssCH2,4.20162535123933e-71,2.9891322639077395e-72
Feature 71,morgan_492,5.106756830601039e-71,3.684233384802353e-72
Feature 72,nAtom,1.0870970484011245e-68,7.951711877082375e-70
Feature 73,nRot,1.0588184622160718e-67,7.850958537473879e-69
Feature 74,SlogP_VSA1,6.824456553532153e-67,5.128599614377871e-68
Feature 75,MACCS_088,9.719240696810896e-67,7.401425781138559e-68
Feature 76,morgan_381,3.939813975193289e-66,3.0397362333655634e-67
Feature 77,SMR_VSA1,1.0092619295176265e-65,7.888019088414314e-67
Feature 78,nBondsD,7.112526100230554e-63,5.630155931044226e-64
Feature 79,n5aRing,3.5845126500397095e-62,2.873356833699166e-63
Feature 80,MACCS_137,1.198835918270043e-61,9.730030999987323e-63
Feature 81,morgan_214,1.1849167958979349e-61,9.735789304973013e-63
Feature 82,EState_VSA6,1.198810492051942e-61,9.970067218468054e-63
Feature 83,morgan_101,5.36607813495548e-61,4.516538710784171e-62
Feature 84,ATSC7p,4.7862708042615763e-60,4.076483149922184e-61
Feature 85,nO,1.1069574542117016e-59,9.538911930080795e-61
Feature 86,MACCS_113,2.0526241357633563e-59,1.7893617215572344e-60
Feature 87,PEOE_VSA7,2.118880662333294e-59,1.86835168622575e-60
Feature 88,FCSP3,3.7099636590625215e-59,3.3084846258172786e-60
Feature 89,MACCS_065,5.163958546808629e-59,4.6568764450178016e-60
Feature 90,MACCS_165,1.0993103276012587e-57,1.0023771524219894e-58
Feature 91,morgan_178,1.6248185440358143e-57,1.4978287179488469e-58
Feature 92,PEOE_VSA9,4.0066354473894475e-57,3.7336382425573e-58
Feature 93,NaaN,1.2826218773683183e-56,1.2080807261785764e-57
Feature 94,nC,2.210836840671197e-56,2.104504006650939e-57
Feature 95,morgan_0,1.5542259205381952e-55,1.4950469776720114e-56
Feature 96,ATSC7i,1.123027343307203e-54,1.0915195621322515e-55
Feature 97,n5HRing,1.7990502333975045e-54,1.766602433596748e-55
Feature 98,ATSC3v,2.0983930054043137e-54,2.0815722197898505e-55
Feature 99,MACCS_074,2.794406860963605e-54,2.8000068747130313e-55
