Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"MACCS_121",0,0,2.392064254840096
"SMR_VSA1",0,0,1.2808021254507074
"ATSC6dv",0,0,1.8185195190203145
"MOMI-X",0,0,1.9407463013784931
"nBondsD",2.135279894927193,0,6.599951603322015
"ATSC4Z",0,0,2.4821288130037042
"fMF",1.2860234605156713,0,5.200096036030676
"MACCS_137",1.3354937220391923,0,4.860385015906781
"MACCS_123",0.8287245367948708,0,3.9389925193243656
"PBF",0,0,1.7838170318533506
"ATSC5p",0.01936002230307306,0,3.3363730650474017
"SlogP_VSA10",0,0,0.7807607432523676
"morgan_389",0,0,2.2976650235154708
"MACCS_084",0,0,1.7946996090384495
"ATSC7dv",0.4082888506765977,0,3.815444183265208
"naHRing",0,0,2.306496886811029
"MACCS_088",0,0,1.3783483527634652
"MACCS_109",0,0,0.31830027543253464
"morgan_103",0,0,2.661053002519102
"morgan_186",0,0,2.008699928807052
"morgan_223",0,0,2.7857202079187884
"morgan_283",0,0,1.9450852870993407
"MACCS_064",0,0,2.8190653556307157
"GGI7",0,0,2.944103893690162
"morgan_247",0,0,2.5151680923190516
