Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"MACCS_121",85.75771772199212,78.64938110355605,93.46737446406999
"SMR_VSA1",98.4294409325345,90.74429059296368,100
"ATSC6dv",98.4294409325345,90.74429059296368,100
"MOMI-X",98.4294409325345,90.74429059296368,100
"nBondsD",98.4294409325345,90.74429059296368,100
"ATSC4Z",100,94.70067377264748,100
"fMF",100,94.70067377264748,100
"MACCS_137",100,95.63913134831232,100
"MACCS_123",100,96.53264147405739,100
"PBF",100,95.34169879259724,100
"ATSC5p",100,96.25130244004887,100
"SlogP_VSA10",100,97.36499444778622,100
"morgan_389",100,97.69289994861332,100
"MACCS_084",100,98.64436655858478,100
"ATSC7dv",100,95.46566070479912,100
"naHRing",100,95.46566070479912,100
"MACCS_088",100,97.91391507516278,100
"MACCS_109",100,96.2580904266841,100
"morgan_103",100,96.2580904266841,100
"morgan_186",100,97.85375405524101,100
"morgan_223",100,98.77135510959664,100
"morgan_283",100,98.77135510959664,100
"MACCS_064",100,98.01178194471262,100
"GGI7",100,98.49040815960835,100
"morgan_247",100,98.10257845411002,100
