Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,naHRing,1.620096221077519e-230,1.624971134480962e-233
Feature 1,MACCS_137,7.700085319058988e-183,1.5446510168623845e-185
Feature 2,NaaN,6.421484929217943e-175,1.9322422053815275e-177
Feature 3,MACCS_121,5.324184055474752e-175,2.1360818677932807e-177
Feature 4,MACCS_065,1.4516182658396471e-151,7.279931122565933e-154
Feature 5,MOMI-X,2.803570370492822e-150,1.6872038337970844e-152
Feature 6,GGI7,6.749872081703367e-150,4.739127840714501e-152
Feature 7,nAtom,1.41595869286532e-142,1.1361754807344594e-144
Feature 8,MACCS_123,6.195306434172038e-138,5.592553451108158e-140
Feature 9,ATSC0v,1.176164540954831e-135,1.1797036519105628e-137
Feature 10,nHRing,1.7782317613232728e-135,1.9619407597348044e-137
Feature 11,bpol,3.070743387995637e-135,3.695980005611599e-137
Feature 12,nRot,8.145232635216129e-130,1.0620664419038081e-131
Feature 13,SMR_VSA1,1.6682924024909657e-128,2.342637275313292e-130
Feature 14,SMR_VSA3,1.8349382152192265e-128,2.7606893910018453e-130
Feature 15,nO,2.5412586827941835e-128,4.078248638385851e-130
Feature 16,GeomDiameter,2.15746110642987e-124,3.67872004105394e-126
Feature 17,ATS0v,4.338493436844161e-124,7.832786545957363e-126
Feature 18,CIC1,8.45004630873945e-124,1.61033981811484e-125
Feature 19,n6aHRing,1.2193620660847864e-122,2.446062319126954e-124
Feature 20,ZMIC1,1.673113098298704e-121,3.524109835935083e-123
Feature 21,fMF,4.043460521666032e-120,8.922380288530863e-122
Feature 22,GGI8,8.248997114147016e-119,1.9029782710670146e-120
Feature 23,nHeavyAtom,2.8363656167037542e-118,6.827760762376139e-120
Feature 24,CIC0,1.0711606370675185e-113,2.6859594710820425e-115
Feature 25,ATSC0i,8.820923701725468e-113,2.3003411860066414e-114
Feature 26,GGI6,3.662183777420768e-105,9.917649146475499e-107
Feature 27,n5aRing,4.028445851309639e-104,1.131358915112035e-105
Feature 28,morgan_378,5.983119668023251e-104,1.7403256807690502e-105
Feature 29,CIC2,2.9064055108591002e-102,8.745452891251054e-104
Feature 30,MACCS_159,2.6764458813298314e-101,8.321948076351532e-103
Feature 31,n5HRing,1.1289400971649128e-100,3.623478747169229e-102
Feature 32,MACCS_156,4.595482749954384e-99,1.5210725250601272e-100
Feature 33,nC,8.638085078118111e-99,2.945786285416407e-100
Feature 34,PEOE_VSA1,4.7535292860667284e-98,1.668741474546996e-99
Feature 35,PEOE_VSA6,9.542461022648607e-98,3.445622836663489e-99
Feature 36,MACCS_083,4.511371646654962e-96,1.6742301998619217e-97
Feature 37,NssCH2,1.701815471207441e-94,6.486357864180818e-96
Feature 38,MACCS_157,2.9879357222403835e-93,1.1688013356807918e-94
Feature 39,TIC1,6.960815403465738e-92,2.7927042742089216e-93
Feature 40,MACCS_126,5.951725950004742e-90,2.4475502903730635e-91
Feature 41,morgan_295,6.180575619837226e-90,2.603652718487096e-91
Feature 42,SlogP_VSA5,7.668798409582328e-90,3.307505833621265e-91
Feature 43,morgan_183,3.0603114362376656e-86,1.3505887983395916e-87
Feature 44,SMR_VSA5,5.5998227916944696e-86,2.5275027645561797e-87
Feature 45,C2SP3,1.4417780966027357e-85,6.652135651326564e-87
Feature 46,NdO,1.892752317072054e-82,8.922704002245389e-84
Feature 47,MACCS_120,2.7687908738655225e-82,1.3330186754818966e-83
Feature 48,MACCS_161,3.210154538368248e-82,1.577708850351496e-83
Feature 49,nBondsD,6.070924049578669e-82,3.0445958122260125e-83
Feature 50,SaasC,7.597651015884472e-82,3.8864614023080046e-83
Feature 51,MACCS_165,4.020674262027672e-81,2.097041741478826e-82
Feature 52,NssO,8.879206208538666e-81,4.7201397096544564e-82
Feature 53,JGI9,2.352451755802467e-80,1.2741463872952177e-81
Feature 54,PBF,6.377089918242106e-80,3.5179533149780927e-81
Feature 55,MOMI-Z,7.986539407918086e-80,4.485919827917882e-81
Feature 56,MACCS_162,1.8483814759989485e-79,1.0567476843725183e-80
Feature 57,morgan_330,3.1396829254897244e-79,1.826495583534644e-80
Feature 58,ATS0p,1.619735338099077e-76,9.585194077015603e-78
Feature 59,SlogP_VSA3,3.470104544196839e-76,2.0883277096470447e-77
Feature 60,EState_VSA10,6.425306575449877e-76,3.931230703133826e-77
Feature 61,morgan_80,1.298364986545088e-75,8.074085172095832e-77
