Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,IC3,1.182485844636339e-170,1.1848555557478346e-173
Feature 1,piPC7,4.3328745714866665e-159,8.683115373720774e-162
Feature 2,MIC0,2.5948506216413307e-157,7.800152169262517e-160
Feature 3,C3SP2,1.4770931737954495e-155,5.920213121424647e-158
Feature 4,piPC8,7.107852449388448e-155,3.561048321336898e-157
Feature 5,JGI7,5.4508980589494555e-152,3.277093021412498e-154
Feature 6,SMR_VSA7,3.1668661475618712e-143,2.2212488008951e-145
Feature 7,AATSC0Z,1.3861349260381005e-141,1.1111302012329462e-143
Feature 8,nS,7.038636716588111e-134,6.347467980891083e-136
Feature 9,MACCS_088,3.674104948606133e-127,3.6814678843748824e-129
Feature 10,piPC1,5.801906591006423e-127,6.394887024155376e-129
Feature 11,piPC9,7.809070564771411e-123,9.389664005737169e-125
Feature 12,morgan_175,2.017180247493182e-120,2.6275895007426215e-122
Feature 13,morgan_64,6.927785166617458e-115,9.71833590507459e-117
Feature 14,TopoPSA,3.5861746694568166e-114,5.390042088361948e-116
Feature 15,C2SP2,3.7125213280613166e-114,5.951938000899906e-116
Feature 16,piPC2,1.6735066589017437e-112,2.8506626454238117e-114
Feature 17,morgan_337,1.7203235673404584e-107,3.10278799720724e-109
Feature 18,NaaCH,3.0389709846638004e-103,5.785616103067355e-105
Feature 19,nC,1.3426603101247753e-101,2.690702024298147e-103
Feature 20,morgan_214,1.2130369166643568e-100,2.5524824899750995e-102
Feature 21,piPC3,9.904733490041448e-100,2.1834081841774737e-101
Feature 22,GhoseFilter,5.6815583210279454e-98,1.309377168172773e-99
Feature 23,AATS0Z,1.1966631916592836e-97,2.8777471542908623e-99
Feature 24,CIC0,3.1555349061681e-96,7.904646558537325e-98
Feature 25,JGI6,1.275708298284359e-94,3.3234885526446225e-96
Feature 26,nBondsKD,4.0237292654190155e-89,1.0885840698027397e-90
Feature 27,piPC10,2.0262383635613576e-86,5.684837092156113e-88
Feature 28,n6aRing,8.735412083254528e-83,2.5383461965368867e-84
Feature 29,JGI8,5.680201280323549e-79,1.7074753347665978e-80
Feature 30,SLogP,5.87945628063223e-77,1.8262840150260434e-78
Feature 31,MACCS_163,3.4577225831480234e-76,1.1086886038149974e-77
Feature 32,morgan_42,3.3407202061338595e-75,1.1046469619480698e-76
Feature 33,morgan_218,6.94359312291065e-74,2.3655527673242696e-75
Feature 34,NssS,4.887403017508e-73,1.7140190943164329e-74
Feature 35,IC0,1.3421127227819835e-70,4.841288378772686e-72
Feature 36,FilterItLogS,1.187115619764505e-68,4.401130053235139e-70
Feature 37,TIC1,9.274372047570548e-68,3.5313240261290664e-69
Feature 38,MACCS_164,7.220388247650642e-66,2.821594605795341e-67
Feature 39,GeomDiameter,7.777582171461954e-66,3.117267403391565e-67
Feature 40,IC2,1.4410505690626596e-65,5.920147628413732e-67
Feature 41,EState_VSA7,9.297101213033309e-64,3.912607724923837e-65
Feature 42,MACCS_081,2.7480786226002e-63,1.184041891501088e-64
Feature 43,PEOE_VSA6,1.7213161033268545e-61,7.588968792222605e-63
Feature 44,nAcid,3.0670722808445988e-58,1.3829484232265226e-59
Feature 45,morgan_505,4.4619808272198346e-57,2.056624429379884e-58
Feature 46,JGI9,8.812178851785607e-56,4.150024108556348e-57
Feature 47,BertzCT,1.1174379036384475e-55,5.374450839142835e-57
Feature 48,nAromAtom,4.1201894363215706e-54,2.0229387011999695e-55
Feature 49,ATSC7v,1.611407184073343e-53,8.073182284936588e-55
Feature 50,PEOE_VSA7,2.558854054045975e-53,1.307630829221891e-54
Feature 51,JGI5,7.137171803597251e-53,3.718766871613798e-54
Feature 52,morgan_479,1.292442412578861e-52,6.863672130929822e-54
Feature 53,ATSC7p,3.868633814372695e-52,2.093248757275807e-53
Feature 54,nHetero,5.974990763523603e-52,3.2928305811001822e-53
Feature 55,SdssC,1.5224499705294378e-50,8.542805445856565e-52
Feature 56,ATSC7Z,4.357961864523187e-50,2.4890162953689546e-51
Feature 57,PEOE_VSA4,2.399913484514222e-48,1.3947392996174838e-49
Feature 58,SMR_VSA3,2.9497552681871696e-48,1.7438432948200703e-49
Feature 59,MACCS_050,7.056005588433035e-48,4.242087528116053e-49
Feature 60,MACCS_162,1.2790765355777868e-47,7.81800287277004e-49
Feature 61,nHeavyAtom,3.452518908013296e-46,2.1448514258198831e-47
Feature 62,MZ,1.0018887087699251e-45,6.324547961172875e-47
Feature 63,nHRing,2.2969290181378485e-45,1.4729805326735701e-46
Feature 64,n6Ring,3.328477700248422e-45,2.1678461975565874e-46
Feature 65,MACCS_157,1.1114721885344229e-44,7.35041727888496e-46
Feature 66,morgan_38,5.089901340314358e-44,3.417068034078778e-45
Feature 67,MACCS_121,9.319927626781232e-44,6.350251288788816e-45
Feature 68,naHRing,7.765565850924877e-43,5.368978393926017e-44
Feature 69,ATSC7i,1.705698243424286e-42,1.1963815334639279e-43
Feature 70,morgan_389,3.22443947053743e-42,2.293939903889354e-43
Feature 71,MACCS_076,8.104357257689303e-42,5.8468308873109204e-43
Feature 72,MACCS_126,3.655062641636404e-41,2.67354281402262e-42
Feature 73,morgan_21,3.615175473313555e-40,2.680591032316664e-41
Feature 74,AATSC0i,1.1747453849878653e-39,8.828246881171333e-41
Feature 75,VSA_EState4,1.580693111996706e-39,1.2037342335846659e-40
Feature 76,CIC4,6.452472130156776e-39,4.9783602607422015e-40
Feature 77,MACCS_137,2.5013989895534073e-38,1.9550012142802182e-39
Feature 78,MACCS_131,6.803682179985252e-38,5.385680282753857e-39
Feature 79,morgan_116,2.2040815913468737e-37,1.766798870819137e-38
Feature 80,NaaN,3.399652728673106e-37,2.7592371845944045e-38
Feature 81,EState_VSA1,3.674453653378719e-37,3.019090176122795e-38
Feature 82,nAtom,3.764529657330358e-37,3.130821258100398e-38
Feature 83,MACCS_165,5.443451857006239e-36,4.581662885656554e-37
Feature 84,nN,3.028068250497504e-35,2.579016045012904e-36
Feature 85,MACCS_054,5.356761627517428e-35,4.6160470938526935e-36
Feature 86,MACCS_140,1.13608366695319e-34,9.903735373239232e-36
Feature 87,ATS0v,1.4745318020456086e-34,1.3001883625251857e-35
Feature 88,ATS1dv,1.9670254938316744e-34,1.7541610115332567e-35
Feature 89,nBase,2.5745839519490486e-34,2.3217690949440318e-35
Feature 90,MACCS_036,4.758570477793674e-34,4.338977088970183e-35
Feature 91,GGI5,9.146384904159823e-34,8.431537186199436e-35
Feature 92,MACCS_065,1.0173422826884485e-33,9.480243716435442e-35
Feature 93,ATSC6d,1.1598792386654063e-33,1.0924714271998818e-34
Feature 94,FCSP3,1.6284690631222862e-32,1.5501459017697113e-33
Feature 95,nHBAcc,1.8990805148467448e-32,1.8267708359247245e-33
Feature 96,MACCS_067,1.1176053914865884e-31,1.0862497292003914e-32
Feature 97,MACCS_047,2.318110642169106e-31,2.2763010313885007e-32
Feature 98,ATSC3v,2.6778816691789546e-31,2.656415683854875e-32
Feature 99,MACCS_166,8.029082498331451e-31,8.045172844019489e-32
