Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,MACCS_126,1.1981467214821072e-115,1.1993460675496567e-118
Feature 1,MACCS_123,1.5450702249255216e-110,3.093233683534578e-113
Feature 2,BalabanJ,2.854644462613157e-106,8.572505893733205e-109
Feature 3,AATSC0i,8.323993110789156e-106,3.3329301744901524e-108
Feature 4,ATSC1v,1.8543947162465102e-104,9.28125483606862e-107
Feature 5,morgan_147,1.5647364785972227e-99,9.397816688271607e-102
Feature 6,fMF,4.2357465362039126e-95,2.9679905659086475e-97
Feature 7,MACCS_154,9.842296539110946e-95,7.881718950238996e-97
Feature 8,AATS0v,3.8836076517118756e-88,3.4987456321728608e-90
Feature 9,Mv,1.74773524489712e-78,1.7494847296267468e-80
Feature 10,MZ,5.052581564372008e-73,5.563403123933141e-75
Feature 11,AATS0Z,1.286159860103751e-72,1.5449367688933944e-74
Feature 12,nRing,1.24217264315354e-70,1.6164408769765787e-72
Feature 13,MACCS_165,7.756812477220886e-69,1.0870407875985226e-70
Feature 14,morgan_356,3.197552821005335e-68,4.801130361869872e-70
Feature 15,MACCS_114,1.2206930050134345e-66,1.9550638718933884e-68
Feature 16,morgan_183,1.837132608562516e-66,3.1262516862425195e-68
Feature 17,MACCS_155,3.3591350097258913e-66,6.052495513019624e-68
Feature 18,MACCS_164,4.681693402173664e-64,8.904121585715678e-66
Feature 19,morgan_294,8.152829756746855e-64,1.6321981494988698e-65
Feature 20,MACCS_121,2.3094748640659563e-62,4.854751966505013e-64
Feature 21,morgan_381,1.59243639065983e-60,3.506866926378004e-62
Feature 22,nN,3.631780492355926e-60,8.361456589007637e-62
Feature 23,SMR_VSA3,8.293137374655713e-58,1.9923453152326037e-59
Feature 24,nHRing,1.2321534850124544e-57,3.083467179710847e-59
Feature 25,AATS0d,1.4149481138507705e-57,3.682547643655659e-59
Feature 26,MACCS_109,4.2694942751946495e-57,1.1539173716742297e-58
Feature 27,MACCS_161,6.726587452845305e-54,1.885329816613299e-55
Feature 28,MACCS_137,2.112963210174419e-53,6.133727036542358e-55
Feature 29,NaasC,2.127180543263711e-50,6.387929559350483e-52
Feature 30,MACCS_159,4.760378000877699e-50,1.4771943746467333e-51
Feature 31,MACCS_157,2.2934396580147766e-49,7.346353258906191e-51
Feature 32,MACCS_065,6.662471915433722e-49,2.20081654864177e-50
Feature 33,morgan_362,2.5368220485879435e-48,8.633828793993e-50
Feature 34,nHBDon,1.234139934004093e-46,4.3238135825969226e-48
Feature 35,AATSC0d,2.9651000407010856e-46,1.0685045191715623e-47
Feature 36,MACCS_156,1.834800576139059e-45,6.795557689403922e-47
Feature 37,NaaN,4.6044463345141066e-45,1.7514410481635239e-46
Feature 38,NsOH,2.2926645850659712e-43,8.950342223981269e-45
Feature 39,AATSC0Z,1.5938430095396132e-42,6.381753791950404e-44
Feature 40,morgan_282,5.1521222253027775e-42,2.11448459697111e-43
Feature 41,naHRing,1.576027025408937e-41,6.625939446163699e-43
Feature 42,SaasC,3.125735116463481e-40,1.3454115115908878e-41
Feature 43,MACCS_160,7.874222997597289e-40,3.4681262451879947e-41
Feature 44,SlogP_VSA3,8.647345884338213e-40,3.8952008488009964e-41
Feature 45,SlogP_VSA1,1.8443849919530115e-39,8.492663626610463e-41
Feature 46,MACCS_162,7.763489577185444e-38,3.65249259387103e-39
Feature 47,MACCS_120,9.949865689726867e-38,4.780716247316212e-39
Feature 48,MACCS_115,1.126328600439512e-37,5.524534676830439e-39
Feature 49,MIC0,1.9901830927277553e-36,9.960876339978755e-38
Feature 50,nAromAtom,2.7969522023416733e-36,1.4278734966909443e-37
Feature 51,n6HRing,3.528868549519407e-36,1.8368484942443358e-37
Feature 52,MACCS_098,4.6035604582965787e-35,2.442329372269456e-36
Feature 53,n6Ring,7.765296690112143e-35,4.197457670330888e-36
Feature 54,MACCS_139,8.121092894205158e-35,4.4710721639768136e-36
Feature 55,MACCS_144,1.213619898989859e-34,6.803074508852063e-36
Feature 56,MACCS_111,3.247850642983327e-34,1.8531279944949912e-35
Feature 57,MACCS_132,1.1011647420521528e-33,6.393148652555041e-35
Feature 58,MACCS_142,1.6838951119544635e-33,9.944926086617953e-35
Feature 59,ATSC2p,2.388518104900839e-33,1.4345454083488522e-34
Feature 60,NdO,2.6097108977734775e-33,1.593517164806628e-34
Feature 61,n6aHRing,4.760198094126267e-32,2.9542770954537392e-33
Feature 62,MACCS_131,2.551333887030174e-31,1.6089492981271366e-32
Feature 63,fragCpx,3.039284169352524e-31,1.9470889573429585e-32
Feature 64,MACCS_150,3.5968673370997403e-31,2.3403040731880194e-32
