Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"piPC2",1.554881175385554,0,4.958161298483695
"ATSC1d",1.8755065126015336,0,5.298389974839387
"ATS3dv",2.3151658072868067,0,5.978766248624108
"piPC7",2.9054876513901777,0,6.230629972691217
"TSRW10",2.299104876437643,0,5.8007886389066305
"ATS0v",1.3190439923728052,0,4.887326151308271
"BertzCT",0.06676940012128113,0,3.3859807096107226
"AATSC0d",2.0537718269745575,0,5.361582150259102
"piPC9",2.422720648797205,0,5.719070474958177
"Xc-3d",5.092740645715544,1.390042685377915,8.716845367941534
"nS",2.0528157990063147,0,5.780937264575455
"piPC8",2.100213767175683,0,5.687984272660067
"ATS1dv",2.704260714929245,0,6.26443929993124
"fragCpx",0.8021566228074765,0,4.122114748254255
"Xpc-4d",2.2360816142769515,0,5.82629617191419
"piPC1",3.275416232371758,0,7.172771050405191
"ATSC0d",0.6843041396180529,0,3.902796282769357
"TIC1",2.714288838085294,0,5.9717504370230055
"GGI5",2.4578394208640426,0,6.297708248926609
"nC",2.005885674310782,0,5.708752100263816
"piPC3",1.96312884900843,0,5.8733174352133055
"nHeavyAtom",3.4324387408976134,0,7.134506315904747
"GGI4",1.1088466658270386,0,4.621010038300934
"ATS0dv",2.3288943011071304,0,6.12754025948609
"MACCS_088",2.2816183790613778,0,5.566981960927899
