Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"piPC2",84.0593930680175,76.39354103899028,91.99572815575495
"ATSC1d",89.62746268312638,82.34788862158075,96.63274328806524
"ATS3dv",93.15453463219791,86.66052687497884,99.80796854834378
"piPC7",93.15453463219791,86.66052687497884,99.80796854834378
"TSRW10",93.15453463219791,86.66052687497884,99.80796854834378
"ATS0v",93.81060204505229,88.33880929282446,98.43146948828606
"BertzCT",93.81060204505229,88.33880929282446,98.43146948828606
"AATSC0d",96.0878691407902,91.35562851943666,100
"piPC9",96.0878691407902,91.35562851943666,100
"Xc-3d",96.0878691407902,91.35562851943666,100
"nS",97.39939373588098,93.00612142846514,100
"piPC8",97.39939373588098,93.00612142846514,100
"ATS1dv",97.39939373588098,93.00612142846514,100
"fragCpx",97.39939373588098,93.00612142846514,100
"Xpc-4d",97.39939373588098,93.00612142846514,100
"piPC1",97.7671220964676,93.80778491360512,100
"ATSC0d",97.7671220964676,93.80778491360512,100
"TIC1",97.7671220964676,93.80778491360512,100
"GGI5",97.7671220964676,93.80778491360512,100
"nC",97.7671220964676,93.80778491360512,100
"piPC3",97.7671220964676,93.80778491360512,100
"nHeavyAtom",97.77231244689084,94.32512398384996,100
"GGI4",98.0539338771053,94.53445187679228,100
"ATS0dv",98.20381668740038,94.86332137030819,100
"MACCS_088",98.20381668740038,94.86332137030819,100
