Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,ATSC0d,1.9284478498895503e-141,1.9303782281176678e-144
Feature 1,BertzCT,1.1140413726771042e-128,2.230313058412621e-131
Feature 2,piPC2,5.217180050621052e-128,1.566720735922238e-130
Feature 3,piPC7,4.5224071857188414e-123,1.810773647935472e-125
Feature 4,piPC1,1.577948914851331e-112,7.897642216473128e-115
Feature 5,TIC1,1.0284135469549136e-108,6.176657939669151e-111
Feature 6,piPC8,3.6765303670324e-106,2.576147404327007e-108
Feature 7,ATS1dv,8.152501692136013e-104,6.528529883592403e-106
Feature 8,Xpc-4d,1.2266624812798941e-102,1.105101334486391e-104
Feature 9,nC,8.544564111956575e-102,8.553117229185762e-104
Feature 10,ATS3dv,3.993591202057738e-101,4.3973476699334453e-103
Feature 11,GGI4,1.5732745114187755e-99,1.889819232935466e-101
Feature 12,piPC3,1.442106756639781e-98,1.876615399030746e-100
Feature 13,nHeavyAtom,1.787565486903192e-98,2.5050967784429113e-100
Feature 14,ATS0v,3.044864194745651e-94,4.571868160278755e-96
Feature 15,Xc-3d,1.3304277437066453e-90,2.130815205135768e-92
Feature 16,piPC9,4.984650748356943e-90,8.48238866086767e-92
Feature 17,nS,1.8597013138012773e-89,3.3508131780203197e-91
Feature 18,MACCS_088,3.2711749106797955e-89,6.221453784075686e-91
Feature 19,ATS0dv,4.5050851472098115e-86,9.019189483903527e-88
Feature 20,TSRW10,4.170041837053908e-83,8.765853711524732e-85
Feature 21,GGI5,2.2214008725002545e-81,4.8919738933939535e-83
Feature 22,ATSC1d,7.834528433084215e-80,1.8037452848942638e-81
Feature 23,AATSC0d,7.657566787759942e-80,1.839655684747133e-81
Feature 24,fragCpx,4.696222860115404e-79,1.1752309459748257e-80
Feature 25,nRing,1.4113153306180098e-77,3.673092952559385e-79
Feature 26,MACCS_163,1.1739285488382646e-74,3.1727798617250393e-76
Feature 27,ATSC0i,2.8106275547139616e-74,7.877634787987079e-76
Feature 28,piPC10,3.5826626100236055e-73,1.0400121690759215e-74
Feature 29,ATSC0v,1.3425955093397495e-70,4.031818346365614e-72
Feature 30,MACCS_165,4.02024423307795e-67,1.247523235489654e-68
Feature 31,n6Ring,4.3490014337925137e-67,1.3930735323459504e-68
Feature 32,PEOE_VSA7,1.081877569113843e-66,3.5737697478235052e-68
Feature 33,Xc-5d,6.91018140948367e-66,2.351813492717165e-67
Feature 34,NssS,1.8166240632369756e-65,6.364548770099514e-67
Feature 35,AATS0d,3.847243676767706e-63,1.3863941177541282e-64
Feature 36,nAtom,2.4465504218433306e-61,9.061297858679003e-63
Feature 37,C3SP2,1.2255545798615316e-59,4.661769172646466e-61
Feature 38,ATS0p,1.477866352505631e-58,5.769448222994956e-60
Feature 39,Xpc-4dv,3.492627705046966e-58,1.3984495315503366e-59
Feature 40,morgan_116,3.5269124293770654e-58,1.4474815776222192e-59
Feature 41,Xc-5dv,2.0154631827065382e-57,8.473418786153613e-59
Feature 42,IC3,2.3782590612089652e-57,1.0236750713912463e-58
Feature 43,CIC0,2.5213144872722398e-57,1.1104888632630485e-58
Feature 44,nARing,2.7869450395679666e-56,1.255380648454039e-57
