Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,ATSC0d,7.20766819804491e-252,7.258477540830725e-255
Feature 1,piPC2,1.6508384517617696e-226,3.324951564474863e-229
Feature 2,BertzCT,5.004532338421825e-212,1.5119433046591615e-214
Feature 3,piPC7,6.023306453296985e-204,2.426306728417718e-206
Feature 4,Xpc-4d,1.3441136779932644e-200,6.767943997951986e-203
Feature 5,piPC1,1.634022464763708e-194,9.873247521230864e-197
Feature 6,Xc-3d,2.0866831923877743e-186,1.4709750600920867e-188
Feature 7,GGI4,4.754237573748053e-186,3.8302014692834264e-188
Feature 8,piPC3,2.9893265754269743e-182,2.709359433921729e-184
Feature 9,piPC8,2.318982443543937e-181,2.335329751806583e-183
Feature 10,TIC1,8.380940778128393e-180,9.284023017060657e-182
Feature 11,ATS3dv,1.3049348822466929e-166,1.5769605827754598e-168
Feature 12,ATS1dv,5.577673808604038e-166,7.302090585282225e-168
Feature 13,ATSC1d,1.947278317419333e-158,2.745407496865122e-160
Feature 14,nC,3.588367410656681e-155,5.42049457803124e-157
Feature 15,AATSC0d,6.457476249272319e-155,1.0404795567810383e-156
Feature 16,piPC9,4.535654153358317e-154,7.7649668285087e-156
Feature 17,GGI5,6.636375553020174e-152,1.202968378190968e-153
Feature 18,PEOE_VSA7,5.6071405714431835e-148,1.0728667760062487e-149
Feature 19,nHeavyAtom,4.124722905144914e-145,8.30759900331302e-147
Feature 20,nRing,1.1784197807268764e-143,2.4921264244979256e-145
Feature 21,TSRW10,9.058364658484396e-141,2.0068884439743878e-142
Feature 22,ATS0v,1.279461929006995e-140,2.963506985615396e-142
Feature 23,MACCS_163,6.8411243018059514e-136,1.6534439400135232e-137
Feature 24,ATS0dv,9.54244503433752e-131,2.4024282563790335e-132
Feature 25,Xc-5d,1.4703897279233992e-128,3.849963033837702e-130
Feature 26,piPC10,7.678153230727312e-128,2.0877153799560667e-129
Feature 27,fragCpx,1.668018836939781e-125,4.7033763780779325e-127
Feature 28,n6Ring,8.461356740538593e-125,2.4710910924030128e-126
Feature 29,MACCS_165,6.910334816922396e-118,2.0877144462001197e-119
Feature 30,AATS0d,1.2151227587755574e-117,3.793434594364781e-119
Feature 31,nS,1.2160269319466706e-117,3.918717202647881e-119
Feature 32,Xpc-4dv,1.1434281098299407e-116,3.799912147471102e-118
Feature 33,MACCS_112,1.6491727925583084e-115,5.646714496171449e-117
Feature 34,NssssC,7.4899685290629e-114,2.6399687665377795e-115
Feature 35,ATSC0i,2.0618771154088433e-113,7.475083197856834e-115
Feature 36,MACCS_088,3.3429916939816776e-112,1.2456263109498699e-113
Feature 37,Xc-5dv,1.0623870963157862e-110,4.0655296737159995e-112
Feature 38,MACCS_066,1.4427029148302418e-107,5.666204801448079e-109
Feature 39,Xc-4d,1.7304422126560174e-106,6.970562790155156e-108
Feature 40,ATSC0v,9.316628720117856e-106,3.846744990179578e-107
Feature 41,nARing,6.860413914162228e-105,2.9016856434523016e-106
Feature 42,IC3,7.444474764177995e-105,3.2236899784456573e-106
Feature 43,ATSC3d,9.613865242070338e-103,4.259920147543755e-104
Feature 44,Xc-3dv,2.511341508265398e-102,1.1380701699087907e-103
Feature 45,C4SP3,3.8528944780812305e-102,1.7848252365733796e-103
Feature 46,C3SP2,8.288772761567957e-100,3.9231854964118223e-101
Feature 47,morgan_414,1.9257008366422696e-96,9.308523681654476e-98
Feature 48,GGI6,3.6245085513327015e-94,1.7885288923998225e-95
Feature 49,Xc-6d,5.4179240912408095e-93,2.728058454804033e-94
Feature 50,nBondsKD,4.053123321464588e-92,2.081664545767311e-93
Feature 51,CIC0,4.7031861527944314e-91,2.462897079006147e-92
Feature 52,SlogP_VSA4,1.3710608924283818e-90,7.317847663515029e-92
Feature 53,ATS0p,7.311186607110123e-89,3.975871870936019e-90
Feature 54,Xp-6dv,4.61958758660725e-88,2.558683960356483e-89
Feature 55,SMR_VSA7,5.877218079102609e-87,3.314443226885661e-88
Feature 56,nAtom,1.6485723596741194e-86,9.463104179398268e-88
Feature 57,Xc-6dv,4.0057308615222594e-86,2.3397018123694973e-87
Feature 58,NssS,4.1314221287452256e-85,2.4547221107348266e-86
Feature 59,Xp-2dv,2.3288947929349395e-83,1.4071871860634077e-84
Feature 60,morgan_36,6.463397126938368e-82,3.9704655059742236e-83
Feature 61,Xch-6d,2.496924891162314e-80,1.5590064778656944e-81
Feature 62,Xc-4dv,2.591882368144224e-80,1.644396668611139e-81
Feature 63,Xp-3dv,3.167975880338208e-78,2.041797143420396e-79
Feature 64,C2SP2,2.0461185331767473e-77,1.339352514164034e-78
Feature 65,ATS1Z,1.0746145313569227e-76,7.142453078505227e-78
