Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"morgan_165",0.5067158672699046,0,3.491329877048134
"morgan_79",1.6567602684689007,0,4.5327861141163766
"morgan_119",2.10965289483163,0,5.38554114829822
"ATSC4d",0,0,1.5367415842891852
"morgan_441",0,0,1.9007238441382721
"IC3",0,0,2.8185753724675977
"morgan_430",0,0,0.46605494456661845
"morgan_213",0.6024196977672198,0,3.6869367939818853
"ZMIC1",0,0,2.63767886121062
"nHBDon",0,0,1.4085951156626249
"morgan_28",0,0,1.0366794063343228
"piPC10",0,0,2.7543345457113793
"TopoPSA",0.17673220105679835,0,2.833291220196913
"fMF",0,0,2.1779004162855986
"Xp-7dv",0,0,1.8629263028265095
"ATSC4Z",0,0,1.8483766239676636
"JGI5",0,0,2.8698065831085717
"MZ",0.029553203242366044,0,2.944931840964861
"morgan_356",2.1339229324963958,0,5.631529689129483
"PEOE_VSA2",0,0,2.5354523081926557
"AATS0dv",0,0,2.101861654270865
"morgan_363",0.27361006834917156,0,3.366412627300197
"morgan_332",0,0,2.0770847975799605
"morgan_316",0.5225653640027655,0,3.766778228032021
"EState_VSA4",0,0,1.53535272829152
