Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"morgan_165",70.78311268647106,63.18674725901039,79.38706418609374
"morgan_79",71.51567793267353,62.42868776381487,81.56698897353435
"morgan_119",77.58814130817923,68.10914911539612,87.36892704720587
"ATSC4d",86.1515339603827,75.2809518277889,97.58977790654568
"morgan_441",86.1515339603827,75.2809518277889,97.58977790654568
"IC3",86.47896726963901,76.68533833314429,96.6082676765549
"morgan_430",87.96251744743616,78.11009104804961,98.11065659102523
"morgan_213",88.38937898094163,78.89560657904741,98.06243462541016
"ZMIC1",89.24818293016341,80.17457204195254,98.89196503173832
"nHBDon",92.24933035281356,84.73768826589156,100
"morgan_28",95.5575677241737,87.66404688385218,100
"piPC10",95.5575677241737,87.66404688385218,100
"TopoPSA",98.69318202325967,92.68573493416446,100
"fMF",100,97.74772862024984,100
"Xp-7dv",100,98.17015695413063,100
"ATSC4Z",100,96.71496768751153,100
"JGI5",100,95.85699594486486,100
"MZ",100,95.85699594486486,100
"morgan_356",100,95.85699594486486,100
"PEOE_VSA2",100,98.40680101134578,100
"AATS0dv",100,98.85149748673904,100
"morgan_363",100,97.49140374357258,100
"morgan_332",100,98.88092560140859,100
"morgan_316",100,98.70492223059797,100
"EState_VSA4",100,98.23409019453304,100
