Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"IC0",1.1873891087757635,0,5.921890906118376
"C2SP3",0.9007779445885173,0,5.70183478471925
"PEOE_VSA6",0.4230926709430826,0,5.667464277924046
"morgan_375",1.0509076020199126,0,5.673439062675712
"MIC1",1.8288521905281814,0,6.45262800048095
"MIC0",1.5149447249897592,0,6.236434017482687
"VSA_EState7",0.7233519858059169,0,5.594583908817349
"SLogP",1.1873891087757635,0,6.3040938535406985
"SlogP_VSA5",1.050907602019927,0,6.3080467114513175
"nS",0,0,4.418780203590722
"AATS0Z",0.504981574996567,0,5.1314525647428475
"morgan_80",0,0,3.9570220250924355
"CIC1",0.5322778763477576,0,5.33836618073759
"GeomDiameter",0,0,3.9465694749874034
"TopoPSA",0,0,4.048125495677203
"NssCH2",0.45038897229427316,0,4.984790276933239
"CIC0",1.9789818479595913,0,7.040372931299643
"EState_VSA5",0,0,3.6790432097814127
"MZ",0.5595741776989336,0,5.383719707575441
"FilterItLogS",0.7779445885082543,0,5.750127021963157
"SMR_VSA5",1.023611300668751,0,5.132561484432
"morgan_119",0,0,4.722932706219681
"CIC2",0,0,3.7804055995171457
"MACCS_088",0.6687593831035794,0,5.434297628828378
"AATSC0Z",0.641463081752418,0,5.483097807808824
