Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"IC0",76.9892179609663,66.96999592962666,87.23489278387724
"C2SP3",93.01214685410127,84.3319469032845,100
"PEOE_VSA6",94.69086938719803,86.9586240734619,100
"morgan_375",94.69086938719803,86.9586240734619,100
"MIC1",95.12761020881672,87.72868843886263,100
"MIC0",95.42786952367955,89.56306202617475,100
"VSA_EState7",96.8745734952914,90.97364870513513,100
"SLogP",97.47509212501708,91.3842381650291,100
"SlogP_VSA5",97.6115736317729,92.2500693817496,100
"nS",99.63149993175927,94.174786695603,100
"AATS0Z",99.63149993175927,94.174786695603,100
"morgan_80",99.63149993175927,94.174786695603,100
"CIC1",99.63149993175927,94.174786695603,100
"GeomDiameter",100,95.21193055058815,100
"TopoPSA",100,95.78478766051684,100
"NssCH2",100,95.78478766051684,100
"CIC0",100,96.58396028521081,100
"EState_VSA5",100,96.58396028521081,100
"MZ",100,96.58396028521081,100
"FilterItLogS",100,96.54784025031562,100
"SMR_VSA5",100,95.58342095789232,100
"morgan_119",100,95.58342095789232,100
"CIC2",100,95.23396918009645,100
"MACCS_088",100,94.75393900270294,100
"AATSC0Z",100,95.98257924753737,100
