Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,MIC0,2.7305182420884165e-222,2.7497666083468444e-225
Feature 1,AATSC0Z,4.4016564920795854e-210,8.865370578206618e-213
Feature 2,AATS0Z,9.259291543802216e-194,2.7973690464659265e-196
Feature 3,VSA_EState7,1.110231598677798e-184,4.4722320188430937e-187
Feature 4,IC0,6.002343444797248e-151,3.0223280185283224e-153
Feature 5,SlogP_VSA5,1.309457690419471e-150,7.912131059936382e-153
Feature 6,EState_VSA5,2.362417862229716e-144,1.665349953233435e-146
Feature 7,SLogP,4.022792677223955e-142,3.240920585880326e-144
Feature 8,C2SP3,3.5818375528519174e-140,3.2463784466935805e-142
Feature 9,nS,1.3372571208482095e-137,1.346683908205649e-139
Feature 10,NssCH2,2.014398892538379e-137,2.2314589947555053e-139
Feature 11,MZ,2.4778216561237513e-136,2.994346412234141e-138
Feature 12,MACCS_088,5.1679375871786103e-135,6.765678613627586e-137
Feature 13,PEOE_VSA6,1.1995463864165238e-133,1.6912033645348775e-135
Feature 14,CIC0,4.949313762758242e-131,7.476304777580426e-133
Feature 15,TopoPSA,4.130771717781025e-130,6.655825527139617e-132
Feature 16,MIC1,2.456090207958192e-127,4.204786861559846e-129
Feature 17,FilterItLogS,3.7704507784944694e-120,6.834653979144054e-122
Feature 18,SMR_VSA5,2.193156211053139e-108,4.196371400806611e-110
Feature 19,CIC1,1.4722673809699035e-107,2.9652918045718097e-109
Feature 20,morgan_375,3.3159226985470936e-98,7.012525344359412e-100
Feature 21,morgan_119,1.7005665097492397e-95,3.76761965906176e-97
Feature 22,GeomDiameter,8.516292778140839e-94,1.9725552255512517e-95
Feature 23,nC,8.345565962081655e-94,2.017055217421548e-95
Feature 24,AATSC0i,1.4210065659393047e-93,3.577559330159377e-95
Feature 25,morgan_420,2.5555068432328935e-93,6.691155883590658e-95
Feature 26,CIC2,1.112185271072956e-89,3.024068712887191e-91
Feature 27,MACCS_129,2.187416479913266e-84,6.167941735908505e-86
Feature 28,nHetero,8.352116086198055e-84,2.43918798086348e-85
Feature 29,NssS,1.595454852797923e-81,4.8201052954620034e-83
Feature 30,morgan_80,2.7664362531751244e-80,8.636407235491324e-82
Feature 31,nAtom,2.462665736264881e-78,7.936082936603847e-80
Feature 32,MACCS_128,6.597739173247144e-77,2.1926021421667247e-78
Feature 33,MACCS_081,2.669529452309994e-76,9.140382817577018e-78
Feature 34,MIC2,4.454201167083828e-68,1.5699601293850351e-69
Feature 35,nHBAcc,1.6868470442568833e-67,6.115457562260604e-69
Feature 36,MACCS_118,6.568813422882755e-67,2.4475941253440274e-68
Feature 37,MACCS_147,6.395949911754262e-67,2.4475941253440274e-68
Feature 38,JGI1,9.72770356215418e-65,3.8205482268279253e-66
Feature 39,SlogP_VSA2,9.846062231705962e-58,3.9661882101534594e-59
Feature 40,bpol,1.1367171238180842e-57,4.693393965412029e-59
Feature 41,SMR_VSA3,8.827455052093317e-57,3.733666789405028e-58
Feature 42,nRot,4.132752828039222e-56,1.7896109930079208e-57
Feature 43,ATSC2p,4.447336379673172e-55,1.9706223636014056e-56
Feature 44,AATS0v,5.962698711817336e-55,2.70212932559698e-56
Feature 45,ATSC2v,9.100513019646371e-54,4.215746212525005e-55
Feature 46,piPC1,9.598457901352804e-54,4.543076750892062e-55
Feature 47,morgan_79,2.4571745473511697e-53,1.1877580893540398e-54
Feature 48,nN,1.925514021529095e-52,9.501529411372171e-54
Feature 49,Mv,2.184472066643763e-52,1.0999355823986722e-53
Feature 50,MACCS_121,5.225431324387781e-52,2.6837562693230297e-53
Feature 51,MACCS_156,1.4027963332409248e-48,7.345962671553685e-50
Feature 52,ZMIC1,2.5108328286891486e-48,1.34012225499018e-49
Feature 53,piPC8,5.2870184642897e-48,2.8751157811847307e-49
Feature 54,piPC10,1.0810197279019172e-47,5.987521151521192e-49
Feature 55,JGT10,1.7883069326330923e-47,1.0085114625121164e-48
Feature 56,MACCS_154,7.614535556843222e-47,4.370881437462877e-48
Feature 57,AATS0dv,5.499653643603277e-46,3.2122851090532734e-47
Feature 58,naHRing,8.233350444643138e-46,4.891920203765812e-47
Feature 59,ATSC2Z,1.26394898744743e-45,7.637154002703505e-47
Feature 60,MACCS_108,3.030874638383769e-45,1.8618665955831814e-46
Feature 61,nHBDon,3.03268302302746e-45,1.8935181009839125e-46
Feature 62,piPC9,3.070861092541548e-45,1.948280451461405e-46
Feature 63,PEOE_VSA4,3.778660436199104e-45,2.435390412051789e-46
Feature 64,AATSC0dv,9.920988992498901e-45,6.4941015560164e-46
Feature 65,EState_VSA1,1.6568727221411272e-44,1.1012447095802054e-45
Feature 66,MACCS_161,9.327696362978733e-44,6.293611846118581e-45
Feature 67,JGI3,6.345049854097648e-43,4.345049245504935e-44
Feature 68,Xp-7dv,8.15081851556492e-42,5.6637107509967714e-43
Feature 69,MACCS_124,1.1461854385157887e-41,8.07985706909418e-43
Feature 70,MACCS_065,3.4756355539689735e-41,2.4850969217703636e-42
Feature 71,JGI2,6.798334028237636e-41,4.929305639809766e-42
Feature 72,JGI9,4.423197135021832e-40,3.2516957790190707e-41
Feature 73,JGI8,2.17106030379871e-39,1.6179099947744665e-40
Feature 74,ATSC0v,5.153051279857547e-39,3.892032688714159e-40
Feature 75,MACCS_116,6.713898705208749e-39,5.138532745174873e-40
Feature 76,nBase,1.9120994318353673e-38,1.4826954305269212e-39
Feature 77,MACCS_036,2.0823092520949737e-38,1.6356507720383478e-39
Feature 78,nHeavyAtom,2.1154801490020376e-38,1.6830103904447226e-39
Feature 79,MACCS_164,2.4525294432315634e-38,1.975854536339628e-39
Feature 80,ATS0v,2.127451922182535e-37,1.7353837431700434e-38
Feature 81,morgan_416,6.715973201355097e-37,5.545919461340563e-38
Feature 82,MACCS_111,2.0033335858491268e-36,1.67448829431498e-37
Feature 83,IC1,3.539001149956932e-36,2.9937169848578275e-37
Feature 84,AATSC0d,4.442245646127288e-36,3.802526484600398e-37
Feature 85,NdsCH,1.9399587071956804e-35,1.6801253657485246e-36
Feature 86,morgan_163,1.9480893814814436e-35,1.7067852586997542e-36
Feature 87,NaaN,3.829877366456985e-35,3.394050435530863e-36
Feature 88,morgan_116,7.285802333121335e-35,6.53007459866867e-36
Feature 89,piPC7,1.8742610847892243e-34,1.6987260587213514e-35
Feature 90,CIC3,3.322592387497035e-34,3.044873184916719e-35
Feature 91,MACCS_115,2.4176022511714832e-33,2.2398731833612933e-34
Feature 92,MACCS_067,3.466345527024485e-33,3.246426324403596e-34
Feature 93,JGI10,1.2822075929231153e-32,1.21377153811453e-33
Feature 94,EState_VSA4,1.649404911680374e-32,1.5779805298049903e-33
Feature 95,morgan_401,2.025137640151878e-31,1.9578369935003052e-32
Feature 96,MACCS_120,4.540162478384632e-31,4.435002622389822e-32
Feature 97,GhoseFilter,6.247333848129699e-30,6.165545993118938e-31
Feature 98,MACCS_047,6.899876098291466e-29,6.879030551166718e-30
Feature 99,MACCS_044,7.094056126353146e-29,7.144064578401959e-30
