Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,VSA_EState7,1.9937774229676113e-92,1.995773196163775e-95
Feature 1,MIC0,1.2059448857679193e-88,2.4143040756114502e-91
Feature 2,AATSC0Z,2.509413870739449e-85,7.535777389607955e-88
Feature 3,AATS0Z,5.897066288793117e-83,2.361187703220467e-85
Feature 4,SlogP_VSA5,1.5239015337707087e-77,7.627134803657201e-80
Feature 5,EState_VSA5,4.927352088606968e-76,2.9593706237879685e-78
Feature 6,NssCH2,4.820941367784983e-75,3.378036994443932e-77
Feature 7,C2SP3,1.3844711006178885e-73,1.1086855660603711e-75
Feature 8,PEOE_VSA6,1.3024157566447043e-68,1.1733475285087427e-70
Feature 9,SLogP,1.9391389317982194e-67,1.9410800118100294e-69
Feature 10,CIC0,2.537850247013096e-66,2.794429701415822e-68
Feature 11,MACCS_088,5.235050163079712e-62,6.288348544239893e-64
Feature 12,FilterItLogS,7.175671332667188e-62,9.337710442910255e-64
Feature 13,MZ,1.174416804503337e-60,1.6458293556603322e-62
Feature 14,nS,1.8014891133860973e-60,2.7049386086878337e-62
Feature 15,IC0,1.255226795494503e-59,2.010373246037242e-61
Feature 16,morgan_375,8.924030001494418e-59,1.5186037039580092e-60
Feature 17,CIC1,3.0976822190678556e-56,5.5814094037258654e-58
Feature 18,morgan_119,5.5193520134499005e-56,1.0497266091646458e-57
Feature 19,SMR_VSA5,1.0807015986438264e-55,2.1635667640517046e-57
Feature 20,MIC1,7.683503386193188e-54,1.615150861962532e-55
Feature 21,GeomDiameter,5.807610730223892e-51,1.2789533139632193e-52
Feature 22,morgan_80,1.2373867003089953e-50,2.8488382489596492e-52
Feature 23,CIC2,2.3773378912063993e-48,5.711322261156515e-50
Feature 24,TopoPSA,5.260443155460345e-46,1.3164272160811675e-47
Feature 25,MACCS_129,2.0188704200314618e-45,5.254317409491292e-47
Feature 26,morgan_420,1.5967889218368354e-43,4.3156457346941496e-45
Feature 27,nC,9.855675943932349e-43,2.7623516159169747e-44
Feature 28,MACCS_128,6.92116765743726e-39,2.0091477684252307e-40
Feature 29,nRot,5.227749042418376e-38,1.5698946073328456e-39
Feature 30,nAtom,5.476701346579543e-38,1.6994768943339926e-39
Feature 31,MACCS_081,6.026892209869717e-36,1.930536043201511e-37
Feature 32,AATSC0i,1.2443539723330561e-35,4.110478587286372e-37
Feature 33,NssS,3.2138994267521632e-34,1.093819624720456e-35
Feature 34,ATSC2v,5.104278365100048e-34,1.7882857134985154e-35
Feature 35,JGI1,5.046426031593705e-33,1.8185319032770107e-34
Feature 36,MACCS_147,2.995521823844207e-32,1.1094525273497062e-33
Feature 37,MACCS_118,1.0913527078810646e-31,4.1512915815295755e-33
Feature 38,MIC2,1.040685199588478e-29,4.062735013408473e-31
Feature 39,ATSC2p,4.089214516257305e-29,1.6373231296325547e-30
Feature 40,MACCS_154,5.957863505762086e-29,2.4451692065690246e-30
Feature 41,nHetero,7.334670291825645e-29,3.083645167734505e-30
Feature 42,bpol,5.4085393557296095e-28,2.3279999228866188e-29
Feature 43,morgan_79,4.9514877961144646e-27,2.1808354657561205e-28
Feature 44,JGT10,8.651942282886071e-26,3.8972712985973294e-27
Feature 45,piPC1,8.794901680845663e-26,4.0497044776666716e-27
Feature 46,AATS0v,5.66974048762273e-25,2.66744547465734e-26
Feature 47,Mv,4.292652218854972e-24,2.0625356006510375e-25
Feature 48,nHBAcc,1.5517294941539687e-23,7.6110856069614075e-25
Feature 49,ZMIC1,8.242181920760858e-23,4.125216176556986e-24
Feature 50,morgan_416,1.0053905561975051e-22,5.132624461068345e-24
Feature 51,SMR_VSA3,1.3349243337687387e-22,6.94855509068813e-24
Feature 52,ATSC2Z,2.864999042656284e-22,1.5199694620699004e-23
Feature 53,MACCS_121,3.3594617146198715e-22,1.8159252511458766e-23
Feature 54,JGI2,6.781308797442941e-22,3.7334532918855033e-23
Feature 55,morgan_401,1.1562627501479788e-21,6.481552953782464e-23
Feature 56,MACCS_108,4.478532922027488e-21,2.5553190846403085e-22
Feature 57,MACCS_156,5.047855762067924e-21,2.9306870290284247e-22
Feature 58,JGI3,6.622022247837903e-21,3.910904030254617e-22
Feature 59,nN,6.982471184873546e-21,4.1936763873114394e-22
Feature 60,MACCS_161,7.055754736376617e-21,4.308318707897634e-22
Feature 61,CIC3,1.3422329256703525e-20,8.330174313469655e-22
Feature 62,piPC8,2.723588879509108e-20,1.7175785726634014e-21
Feature 63,MACCS_116,3.152923665421617e-20,2.0198910369067415e-21
Feature 64,MACCS_164,4.6099515320772737e-20,2.999467963814042e-21
Feature 65,SlogP_VSA2,6.629893966235449e-20,4.3801101278432396e-21
Feature 66,piPC9,1.1377911448948265e-19,7.630831502297635e-21
Feature 67,PEOE_VSA4,1.126689657224105e-19,7.669158827951867e-21
Feature 68,piPC10,3.1176559277291646e-19,2.1533359260591827e-20
Feature 69,AATS0dv,1.8859407420906562e-18,1.3214799994629224e-19
Feature 70,ATSC2i,2.8199753532132984e-18,2.0041866874689107e-19
Feature 71,naHRing,3.556458879810207e-18,2.563213607070419e-19
Feature 72,JGI9,5.224288841533393e-18,3.817548402722099e-19
Feature 73,AATSC0d,7.299917510774762e-18,5.407346304277601e-19
Feature 74,ATS0v,8.174532759621807e-18,6.137036606322678e-19
Feature 75,nHBDon,1.1193425530452116e-17,8.515518922065674e-19
Feature 76,nHeavyAtom,1.3795663234233426e-17,1.0633293984344082e-18
Feature 77,ATSC0v,1.9525140427082515e-17,1.5244854387511873e-18
Feature 78,MACCS_065,3.47691256280093e-17,2.7495104350477824e-18
Feature 79,JGI8,5.327688467075345e-17,4.266417190851127e-18
Feature 80,AATSC0dv,8.269420498359481e-17,6.704935539210391e-18
Feature 81,NdsCH,1.8823005590778558e-16,1.5450314899337754e-17
Feature 82,MACCS_036,4.519703086318036e-16,3.755108670314284e-17
Feature 83,MACCS_111,6.716068179913007e-16,5.647144415542468e-17
Feature 84,nBase,1.2767161098257423e-15,1.0862949883402212e-16
Feature 85,piPC7,2.2914960318179155e-15,1.9726592466100174e-16
Feature 86,MACCS_124,2.482057207998407e-15,2.161551322280895e-16
Feature 87,IC1,2.554921899563816e-15,2.2505818534696275e-16
Feature 88,JGI10,3.2715888575949566e-15,2.9146287119714827e-16
Feature 89,morgan_116,3.4335145608258467e-15,3.0932563611043664e-16
Feature 90,MACCS_120,4.478454164712501e-15,4.079472762651027e-16
Feature 91,EState_VSA4,4.748480628798679e-15,4.372975153648433e-16
Feature 92,morgan_163,5.304565856025358e-15,4.9381844305341175e-16
Feature 93,EState_VSA1,6.2373869668615294e-15,5.86901276161145e-16
Feature 94,MACCS_115,6.246705184266578e-15,5.940310235288538e-16
Feature 95,NaaN,1.544884479799658e-14,1.4845736742819535e-15
Feature 96,morgan_243,1.9430350300955117e-14,1.8866306098024487e-15
Feature 97,Xp-7dv,8.360756910097157e-14,8.201743515410626e-15
Feature 98,MACCS_067,1.2712497366003267e-13,1.259797036270594e-14
Feature 99,morgan_182,1.9900429578496605e-13,1.992034992842503e-14
