Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"MACCS_163",6.240020040114051,0.9468483040892799,12.524223226467043
"morgan_294",4.001151187624022,0,9.777816394490417
"ATSC2i",2.7776516172879484,0,8.410932349313399
"TopoPSA",2.3410317057814107,0,7.841157092011547
"morgan_375",2.0689603806681047,0,7.591205005325614
"bpol",3.596842730460289,0,9.20012203144495
"JGI4",4.557156746649197,0,10.660750474203985
"ATSC2v",5.468734567011059,0,11.9240231109773
"GeomDiameter",5.468734567011059,0,11.9240231109773
"morgan_80",3.796869567577092,0,9.270712114484668
"morgan_420",4.465276602400957,0,10.36043789374931
"ATS0Z",3.9031293567114447,0,9.961447242451712
"MOMI-X",3.336477331500306,0,9.588303469133951
"NssCH2",4.840004895783875,0,10.824425848465092
"nRot",2.2136102065524215,0,8.081667485680551
"MACCS_155",4.666664935477733,0,11.138782295686484
"C2SP3",3.273877562589117,0,8.921532798551311
"morgan_119",3.856537322521915,0,9.67483495369293
"MACCS_165",3.44508943987671,0,9.214989891445441
"nHetero",3.468808860603947,0,9.281786693502703
"ATSC0Z",3.9044526443403247,0,9.522454086187398
"MACCS_127",5.175816015758829,0,11.105830521799422
"MACCS_143",6.30504024628739,1.4687136356513915,11.670349007984434
"morgan_79",3.751734290842649,0,8.900324608258686
"nHBAcc",3.8097481955839116,0,10.054807608504559
