Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,morgan_80,8.839304579586967e-134,8.87480379476603e-137
Feature 1,nRot,4.031223068819224e-114,8.094825439396032e-117
Feature 2,morgan_375,3.503242282913988e-89,1.0551934587090324e-91
Feature 3,MACCS_163,2.9041448423581533e-83,1.1663232298627122e-85
Feature 4,MACCS_127,1.3897437334116952e-78,6.976625167729393e-81
Feature 5,MACCS_143,1.1581197778430792e-78,6.976625167729393e-81
Feature 6,ATSC0Z,4.2177875225120165e-76,2.964308499757441e-78
Feature 7,ATSC2i,1.7214146249681984e-74,1.382662349372047e-76
Feature 8,NssCH2,1.2675490675886234e-73,1.1453756634836958e-75
Feature 9,TopoPSA,9.259716883890042e-70,9.296904501897632e-72
Feature 10,ATSC2v,5.965308048470324e-65,6.588191619796542e-67
Feature 11,ATS0Z,4.570844024801692e-64,5.507040993736979e-66
Feature 12,C2SP3,4.582938995606321e-62,5.981747685028331e-64
Feature 13,nHetero,1.0315807576109346e-60,1.4500131131077392e-62
Feature 14,morgan_79,3.541722341339818e-59,5.333919188764786e-61
Feature 15,MACCS_165,3.277821261990916e-58,5.2655763244834e-60
Feature 16,MACCS_155,9.275409402801271e-58,1.5831522073054377e-59
Feature 17,morgan_119,2.3995170366912728e-57,4.3364765723336255e-59
Feature 18,JGI4,3.2283454952334605e-56,6.15849040255379e-58
Feature 19,MOMI-X,1.447819501966274e-54,2.9072680762374983e-56
Feature 20,MACCS_152,1.508857068539046e-53,3.181325144510037e-55
Feature 21,n6Ring,5.87953654373915e-52,1.2986928108660772e-53
Feature 22,nHBAcc,9.165413931761834e-50,2.1165112493024316e-51
Feature 23,morgan_420,3.581469349418244e-49,8.630046625104201e-51
Feature 24,GeomDiameter,6.920669937728096e-49,1.7371159482249237e-50
Feature 25,morgan_294,2.776694208886478e-47,7.24839853725386e-49
Feature 26,bpol,3.3648784968881035e-46,9.121658575901485e-48
Feature 27,ATSC0i,3.281201490838413e-44,9.224261219224454e-46
Feature 28,SMR_VSA5,6.583805143954321e-43,1.9169713772557764e-44
Feature 29,ZMIC1,1.1129065133793333e-41,3.35212805234739e-43
Feature 30,ATS0p,1.7681999855996041e-40,5.50343369011925e-42
Feature 31,EState_VSA5,4.854523439310797e-40,1.559686245561702e-41
Feature 32,fMF,2.238492417833246e-39,7.416691745833044e-41
Feature 33,MIC0,1.587917066557243e-38,5.420600428006653e-40
Feature 34,morgan_434,4.748486044472697e-38,1.6686446943428153e-39
Feature 35,SlogP_VSA11,1.146478795022327e-37,4.143899259116844e-39
Feature 36,n6ARing,1.2071070306217159e-37,4.484232945080671e-39
Feature 37,ATSC3d,3.2118553785220594e-37,1.2254066705204644e-38
Feature 38,C3SP2,9.04528385176131e-37,3.541828014243887e-38
Feature 39,SlogP_VSA5,1.8294483545703612e-36,7.34718214686892e-38
Feature 40,TopoPSA(NO),2.2503301638369332e-36,9.263407300935167e-38
Feature 41,ATSC1i,2.9423333649476362e-36,1.2407429852188828e-37
Feature 42,MACCS_150,4.2767037089932534e-36,1.8463680671356416e-37
Feature 43,VSA_EState5,1.8693258620146217e-35,8.258066057092706e-37
Feature 44,JGI2,4.840219245130944e-35,2.1868460444868723e-36
Feature 45,morgan_401,6.465851453119792e-35,2.9862366148946827e-36
Feature 46,JGT10,7.528788951467196e-35,3.5527417742867294e-36
Feature 47,morgan_323,8.274524765198206e-35,3.987722778408774e-36
Feature 48,SlogP_VSA2,4.736945091206141e-34,2.330424793866475e-35
Feature 49,ATSC3v,5.2002011298709006e-34,2.610542735878966e-35
Feature 50,MACCS_099,5.580835674892518e-34,2.8576568214811087e-35
Feature 51,morgan_10,7.99816393273023e-34,4.175748237971606e-35
Feature 52,MACCS_114,8.130300042762886e-34,4.3263644805866765e-35
Feature 53,ATSC3i,2.104625229861552e-33,1.1410618716116848e-34
Feature 54,morgan_263,2.5098104880727265e-32,1.3859395265461845e-33
Feature 55,Lipinski,2.8828118699051455e-32,1.62085807946474e-33
Feature 56,JGI8,2.834603686238834e-32,1.6222129529680072e-33
Feature 57,ATSC0v,3.9463252449853e-32,2.2980608856340104e-33
Feature 58,ATSC1v,1.3564869306768524e-31,8.035414549190189e-33
Feature 59,SMR_VSA9,1.8419681987103384e-31,1.1096193968134568e-32
Feature 60,morgan_147,4.5946072286999285e-31,2.813966274605378e-32
Feature 61,CIC2,1.4489297219543523e-30,9.01944204429416e-32
Feature 62,CIC3,2.4230176553279315e-30,1.5326316494544144e-31
Feature 63,MACCS_140,2.4311255654150796e-30,1.562169038017722e-31
Feature 64,nRing,2.4469888024848637e-30,1.5969304433887162e-31
Feature 65,ATSC4i,2.9123571321233727e-30,1.9298752080335602e-31
Feature 66,GGI8,5.444925979943264e-30,3.66275141221083e-31
Feature 67,SlogP_VSA3,9.270258239198229e-30,6.329091970536944e-31
Feature 68,morgan_28,9.623145188439951e-30,6.666636726931291e-31
Feature 69,MACCS_081,1.5397200170294532e-29,1.0821325420889732e-30
Feature 70,JGI9,2.734894452081704e-29,1.9495733543955925e-30
Feature 71,ATSC7d,4.824318714540513e-29,3.487459311716034e-30
Feature 72,JGI5,7.797821500511934e-29,5.715270778487663e-30
Feature 73,MACCS_113,9.992797216484061e-29,7.424367409837555e-30
Feature 74,EState_VSA1,2.0696303263157667e-28,1.5584565710209085e-29
Feature 75,AATS0d,1.520255959304205e-27,1.1600346677421644e-28
Feature 76,ATS1Z,2.1302220954515896e-27,1.6468584472868714e-28
Feature 77,GGI7,2.566766978271932e-27,2.0101187179238022e-28
Feature 78,morgan_282,3.444350800992815e-27,2.7319649927553455e-28
Feature 79,MACCS_166,3.850301364033451e-27,3.092611537376266e-28
Feature 80,SsssCH,6.660890097185109e-27,5.4169889344577695e-28
Feature 81,SdssC,8.579994723454575e-27,7.0638510775429235e-28
Feature 82,NaaN,1.5233644596757074e-26,1.2694703830630895e-27
Feature 83,morgan_329,1.5106484292290028e-26,1.2740408439280746e-27
Feature 84,ATSC3p,2.2223287074806602e-26,1.8965656640146196e-27
Feature 85,nN,2.4995289122101208e-26,2.1582277756031163e-27
Feature 86,Diameter,2.5064660692062607e-26,2.1893830122584806e-27
Feature 87,WPath,3.2248713033013974e-26,2.8492838824349694e-27
Feature 88,morgan_253,4.7420585530812026e-26,4.23738163879746e-27
Feature 89,morgan_362,4.91159850500475e-26,4.438191420185015e-27
Feature 90,morgan_249,7.551239895255222e-26,6.899225205504269e-27
Feature 91,morgan_301,1.5702758295014145e-25,1.4504555854832343e-26
Feature 92,morgan_13,1.7383094382470756e-25,1.623120258604197e-26
Feature 93,morgan_416,2.337710882643526e-25,2.2062733229768218e-26
Feature 94,nAtom,3.065094667638444e-25,2.9235340705386763e-26
Feature 95,ATSC1d,4.663016232766108e-25,4.494473477364924e-26
Feature 96,MACCS_156,5.252450230040107e-25,5.115338075440667e-26
Feature 97,MACCS_050,5.547315413564092e-25,5.458201912944588e-26
Feature 98,MACCS_121,8.084764061410871e-25,8.036060663450564e-26
Feature 99,MACCS_044,1.2394371835450461e-24,1.2444148429167128e-25
