Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,morgan_80,4.3361868924728793e-66,4.3405274198927723e-69
Feature 1,nRot,2.924100606691211e-54,5.854055268651073e-57
Feature 2,morgan_375,4.6555876324376455e-45,1.3980743640953892e-47
Feature 3,MACCS_163,1.1812697176305228e-37,4.729808679201292e-40
Feature 4,NssCH2,4.382346966146179e-33,2.1933668499230127e-35
Feature 5,ATSC0Z,1.435011450913299e-32,8.618687392872666e-35
Feature 6,ATSC2i,3.305539333663607e-32,2.3161937272918167e-34
Feature 7,MACCS_127,6.946161903639948e-32,5.5624920149268845e-34
Feature 8,MACCS_143,6.174366136568843e-32,5.5624920149268845e-34
Feature 9,morgan_79,6.522174710166356e-31,6.528703413579936e-33
Feature 10,TopoPSA,1.1943772228110806e-30,1.315130075167356e-32
Feature 11,ATS0Z,4.0136122040282254e-30,4.821155800634505e-32
Feature 12,morgan_119,8.267759606975354e-30,1.0758846335403365e-31
Feature 13,C2SP3,1.6261101704111e-29,2.278833071647187e-31
Feature 14,MACCS_155,2.5149898316523908e-29,3.776261008487073e-31
Feature 15,ATSC2v,1.1025243872185717e-28,1.765804824374089e-30
Feature 16,morgan_420,1.1069957186377032e-27,1.8837764981822778e-29
Feature 17,nHetero,1.2388298095653623e-27,2.232125783000653e-29
Feature 18,MACCS_165,1.0655378498544104e-25,2.0265484631865663e-27
Feature 19,MOMI-X,1.465886249973009e-25,2.9347072071531715e-27
Feature 20,GeomDiameter,5.905312871348581e-25,1.2413570600432451e-26
Feature 21,nHBAcc,4.230256385650984e-24,9.315879928360524e-26
Feature 22,morgan_294,8.693046834769113e-23,2.001402174171067e-24
Feature 23,JGI4,1.209988697436167e-22,2.906879753600401e-24
Feature 24,bpol,1.974557232606712e-21,4.9413344159327124e-23
Feature 25,ATSC0i,2.3228322477375308e-20,6.045409253370951e-22
Feature 26,SMR_VSA5,2.3270935157425942e-20,6.289441934439444e-22
Feature 27,MACCS_114,2.717432983987798e-20,7.616428783949784e-22
Feature 28,ATS0p,1.583330625769582e-19,4.596255069801589e-21
Feature 29,n6Ring,2.1173463722277615e-19,6.358397514197482e-21
Feature 30,ZMIC1,2.618279676734818e-19,8.124791789667605e-21
Feature 31,morgan_434,2.822328468737962e-18,9.040491591553031e-20
Feature 32,JGI8,4.714591526967925e-18,1.557372576475891e-19
Feature 33,SlogP_VSA5,5.763166922011783e-18,1.961438191675682e-19
Feature 34,EState_VSA5,1.6081074004880948e-17,5.634009911619951e-19
Feature 35,MACCS_152,1.5810589365331835e-17,5.697509681200661e-19
Feature 36,SlogP_VSA11,1.5403560934229535e-17,5.705022568233161e-19
Feature 37,ATSC3d,1.556272835714331e-17,5.919756532246704e-19
Feature 38,TopoPSA(NO),1.55834342369548e-17,6.08362297538776e-19
Feature 39,ATSC3v,1.9813193540685847e-17,7.933210626901241e-19
Feature 40,fMF,2.4696330084548677e-17,1.0135630965630587e-18
Feature 41,morgan_282,3.950278779718922e-17,1.6607778653472945e-18
Feature 42,JGT10,3.946228435135125e-17,1.6985768039120157e-18
Feature 43,morgan_147,3.881900573333255e-17,1.709745998264897e-18
Feature 44,morgan_28,9.603904560026365e-17,4.326083135147011e-18
Feature 45,ATSC3i,1.5782314261327031e-16,7.267131691902337e-18
Feature 46,morgan_401,2.9033305126825253e-16,1.3659312722330199e-17
Feature 47,MIC0,4.782771976836867e-16,2.2980285774591555e-17
Feature 48,ATSC0v,1.6457422278927567e-15,8.072209125800308e-17
Feature 49,ATSC1i,2.269719131406102e-15,1.1359955612643151e-16
Feature 50,JGI9,5.1989246701931364e-15,2.6541056874859854e-16
Feature 51,JGI2,7.828392865301191e-15,4.074839129085705e-16
Feature 52,n6ARing,7.807736304209833e-15,4.142242483714926e-16
Feature 53,SlogP_VSA2,1.0995580707683602e-14,5.943557139288434e-16
Feature 54,MACCS_140,1.786589977664963e-14,9.836080958115412e-16
Feature 55,MACCS_113,5.822587284472101e-14,3.2639127920964733e-15
Feature 56,morgan_323,7.076846166947416e-14,4.0378401553153425e-15
Feature 57,ATSC7d,7.016466528219354e-14,4.073624210577804e-15
Feature 58,JGI10,7.150091383920368e-14,4.2227766932062235e-15
Feature 59,SMR_VSA9,7.597232763013577e-14,4.562902560368515e-15
Feature 60,Lipinski,8.961766578986413e-14,5.472149762944657e-15
Feature 61,morgan_249,9.21254912051933e-14,5.71749795267466e-15
Feature 62,MACCS_121,9.654047787662246e-14,6.088138244471687e-15
Feature 63,morgan_165,9.613881967120846e-14,6.159043502459801e-15
Feature 64,morgan_263,1.3409054197035534e-13,8.724609837911009e-15
Feature 65,MACCS_099,1.3509314370212837e-13,8.925072556897369e-15
Feature 66,ATS1Z,1.4522029380802634e-13,9.739499184322087e-15
Feature 67,MACCS_156,1.536276092080827e-13,1.0457134560710333e-14
Feature 68,ATSC4i,2.0677321904757237e-13,1.4281633748030525e-14
Feature 69,morgan_329,2.143141605595709e-13,1.5017008247417382e-14
Feature 70,C3SP2,2.7523288960180033e-13,1.956109625798581e-14
Feature 71,morgan_362,3.3704120385636633e-13,2.429125793559397e-14
Feature 72,SlogP_VSA3,4.1598758861542695e-13,3.0397491460386557e-14
Feature 73,MACCS_150,4.964646680606998e-13,3.677516059708887e-14
Feature 74,NaaN,5.406565713628977e-13,4.058983268490223e-14
Feature 75,C1SP2,8.048219911382019e-13,6.122769902552888e-14
Feature 76,VSA_EState5,9.751259454951398e-13,7.515985766078655e-14
Feature 77,ATS0v,1.3886663318618558e-12,1.0842439828350826e-13
Feature 78,nAtom,1.428231127451597e-12,1.1294320227094711e-13
Feature 79,GGI8,1.4401782772089396e-12,1.1532959176848366e-13
Feature 80,nN,1.5587105741223015e-12,1.2638193844234877e-13
Feature 81,morgan_381,1.9211568899535228e-12,1.5769255753372258e-13
Feature 82,MACCS_136,2.2468249873553003e-12,1.8667314709758752e-13
Feature 83,MACCS_166,3.522022804940148e-12,2.961460616766491e-13
Feature 84,Diameter,3.766273735981469e-12,3.204537212797046e-13
Feature 85,JGI5,4.172121513630804e-12,3.591616117840332e-13
Feature 86,MACCS_065,4.162647609100274e-12,3.625128548465704e-13
Feature 87,ATSC8i,6.274959304386074e-12,5.527491679539284e-13
Feature 88,C3SP3,6.882864485440826e-12,6.13188127331565e-13
Feature 89,morgan_301,8.874601825818507e-12,7.995136780016672e-13
Feature 90,WPath,8.846547256770725e-12,8.058416420081441e-13
Feature 91,AATS0d,1.3141530038258453e-11,1.210230994514292e-12
Feature 92,CIC2,1.667836731643863e-11,1.5526408012300226e-12
Feature 93,ATSC3p,1.8997807028503587e-11,1.7875814421214585e-12
Feature 94,VSA_EState2,1.8802207857644143e-11,1.787997744220414e-12
Feature 95,GGI7,1.9262050413737842e-11,1.8510078475663993e-12
Feature 96,EState_VSA1,2.07252353520998e-11,2.0123601893430237e-12
Feature 97,Xc-5dv,2.6220094269125907e-11,2.572141379754093e-12
Feature 98,ATSC1v,2.6794691144595503e-11,2.655329753068023e-12
Feature 99,SMR_VSA4,3.153494418007582e-11,3.156651069076659e-12
