Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"EState_VSA8",4.48204214900563,0,11.082145984646317
"ATS0Z",3.5618878005343038,0,9.836237624936036
"PEOE_VSA4",4.007123775601083,0,9.952157444423545
"ATSC0i",5.016325319085803,0,11.16199198626217
"MACCS_159",5.224102107450286,0,11.395592232094232
"AATSC0i",2.908875037102998,0,9.730967372638787
"AATS0Z",4.036806173938851,0,10.751869171218981
"MACCS_124",5.8474324725437645,0,11.90522184644386
"MACCS_157",3.6806173938854223,0,10.089419403590771
"Xp-3dv",6.025526862570478,0,12.408330888823697
"AATSC0Z",2.760463045414067,0,8.238518534499926
"Xp-7dv",4.007123775601083,0,10.017263650640066
"MACCS_072",4.541406945681211,0,10.385597010041646
"MACCS_154",5.966162065894942,0.641953237858324,11.879927377075937
"AATSC0dv",4.333630157316729,0,9.882927508864922
"MACCS_164",3.146334223805279,0,9.259989564464625
"MACCS_081",3.235381418818643,0,9.176640184667804
"ATS0p",4.274265360641147,0,10.370960220391984
"MACCS_123",6.025526862570478,0.1159008569901092,12.617856309293888
"C2SP2",2.9979222321163626,0,8.977677648484159
"Xp-2dv",4.511724547343413,0,10.67362673832468
"nS",4.214900563965566,0,10.60497062122644
"ATSC0Z",4.986642920748005,0,11.490814716480013
"MACCS_088",4.066488572276664,0,10.296029340650287
"Xp-6dv",3.8883941822499053,0,10.152496419885825
