Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"EState_VSA8",84.40189967349362,74.23942843787343,95.63312014720978
"ATS0Z",90.60552092609083,81.52193021768535,100
"PEOE_VSA4",92.22321163550016,84.01217059014382,100
"ATSC0i",92.22321163550016,84.01217059014382,100
"MACCS_159",92.22321163550016,84.01217059014382,100
"AATSC0i",92.83170080142474,85.58077216190694,100
"AATS0Z",94.28613831997626,87.60036601350009,100
"MACCS_124",95.88898783021669,88.9516598662794,100
"MACCS_157",95.88898783021669,88.9516598662794,100
"Xp-3dv",95.88898783021669,88.9516598662794,100
"AATSC0Z",95.88898783021669,88.9516598662794,100
"Xp-7dv",95.93351142772336,89.7118549284103,100
"MACCS_072",95.93351142772336,89.7118549284103,100
"MACCS_154",95.93351142772336,89.7118549284103,100
"AATSC0dv",98.51588008311069,92.58772309352845,100
"MACCS_164",98.51588008311069,92.58772309352845,100
"MACCS_081",98.63460967646185,92.83327307240347,100
"ATS0p",98.63460967646185,92.83327307240347,100
"MACCS_123",98.63460967646185,92.83327307240347,100
"C2SP2",98.63460967646185,92.83327307240347,100
"Xp-2dv",98.63460967646185,92.83327307240347,100
"nS",98.63460967646185,92.83327307240347,100
"ATSC0Z",98.63460967646185,92.83327307240347,100
"MACCS_088",98.63460967646185,92.83327307240347,100
"Xp-6dv",98.63460967646185,92.83327307240347,100
