Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,EState_VSA8,3.1611991616053645e-48,3.1675342300654955e-51
Feature 1,ATSC0Z,3.091184757737207e-47,6.194759033541497e-50
Feature 2,MACCS_154,2.1419723842402045e-46,6.4387947422050235e-49
Feature 3,MACCS_159,1.1137188863973506e-44,4.463803151893189e-47
Feature 4,nS,9.39304844979525e-45,4.705936097091809e-47
Feature 5,MACCS_088,2.057850477839762e-42,1.237184656015889e-44
Feature 6,AATSC0Z,6.551272858075007e-36,4.595081162978462e-38
Feature 7,Xp-3dv,2.3562296714882037e-31,1.888761259709983e-33
Feature 8,C2SP2,7.72025583845522e-29,6.962154563737172e-31
Feature 9,Xp-2dv,2.14415078357947e-28,2.1484476789373446e-30
Feature 10,ATS0Z,1.0316151626070755e-27,1.1370507804286404e-29
Feature 11,Xp-6dv,9.58866024571284e-28,1.1529451197249908e-29
Feature 12,AATSC0i,9.302922276318455e-28,1.2118035029272537e-29
Feature 13,CIC4,2.4169513364812048e-27,3.3905128968674213e-29
Feature 14,MACCS_123,3.1717418476296484e-27,4.7671470655756236e-29
Feature 15,AATSC0dv,3.467894710589362e-27,5.559751039021021e-29
Feature 16,MACCS_164,8.538409914320713e-27,1.4544385625596405e-28
Feature 17,nBondsKD,4.292946817083128e-26,7.742789850450532e-28
Feature 18,MACCS_124,6.109569554256954e-26,1.1631445043174562e-27
Feature 19,Xpc-4dv,1.074802107091929e-25,2.1539120382603787e-27
Feature 20,Xc-4d,2.405550847320796e-25,5.061780340053779e-27
Feature 21,Xc-3dv,2.8016850686755204e-24,6.176059269625397e-26
Feature 22,NaaCH,5.1824015123161646e-24,1.1943410298925028e-25
Feature 23,MACCS_072,6.559204398391401e-24,1.577363783180297e-25
Feature 24,ATSC0i,6.927025616436698e-24,1.7352268578248243e-25
Feature 25,PEOE_VSA4,6.930974710427405e-24,1.8056647542195644e-25
Feature 26,n6aRing,9.567985886286613e-24,2.588533255809004e-25
Feature 27,ATS0p,1.9544939646050708e-23,5.483550201296792e-25
Feature 28,Xp-7dv,2.3530821242707142e-23,6.83761338715939e-25
Feature 29,AATS0Z,6.667735032240931e-23,2.0043291680082962e-24
Feature 30,MACCS_162,1.3941650782637584e-22,4.3305728883944396e-24
Feature 31,Xc-4dv,1.7967324475461353e-22,5.761065964075785e-24
Feature 32,MACCS_126,2.280076664467565e-22,7.539331656055075e-24
Feature 33,MACCS_157,2.477954541074175e-22,8.441929298248694e-24
Feature 34,CIC3,3.552472318691072e-22,1.2458570255930614e-23
Feature 35,MACCS_081,4.745885467376908e-22,1.7119426535628128e-23
Feature 36,Xc-5dv,7.736696687161428e-22,2.86831440305584e-23
Feature 37,morgan_337,3.207045235461846e-21,1.2211194283321657e-22
Feature 38,morgan_64,8.303579880652801e-21,3.2448859253052027e-22
Feature 39,morgan_214,9.354714637663557e-21,3.749384624314051e-22
Feature 40,morgan_175,1.3272355676534825e-20,5.4525709693179145e-22
Feature 41,FCSP3,1.0159105928328965e-19,4.275375240378923e-21
Feature 42,NssS,2.70341839154457e-19,1.1647995073789229e-20
Feature 43,NsSH,9.798050353025448e-19,4.319781718768735e-20
Feature 44,SMR_VSA4,1.1019066080785023e-18,4.9685167698930466e-20
Feature 45,ATSC0v,3.4490824816079557e-18,1.5897574564525648e-19
Feature 46,NssssC,3.807500441615609e-18,1.7931114304201765e-19
Feature 47,MIC0,5.776447141073013e-18,2.7782511299749966e-19
Feature 48,morgan_218,8.563912985100468e-18,4.2047268163318925e-19
Feature 49,MACCS_112,1.7354417546641442e-17,8.69459796925924e-19
Feature 50,nAromAtom,1.8648214345454016e-17,9.529648613408365e-19
Feature 51,SlogP_VSA4,2.5579412734788883e-17,1.3327950523136492e-18
Feature 52,MACCS_067,3.159254427302859e-17,1.6777603672049252e-18
Feature 53,MACCS_044,3.4256442613296444e-17,1.8535550111402882e-18
Feature 54,EState_VSA7,4.1860010024170645e-17,2.3069143800895647e-18
Feature 55,MACCS_131,7.415876822728237e-17,4.161213447623059e-18
Feature 56,MACCS_166,9.777803645426513e-17,5.584517112117348e-18
Feature 57,Diameter,1.0571146853943242e-16,6.1435522798467734e-18
Feature 58,C4SP3,2.444538555584878e-16,1.445168083963004e-17
Feature 59,VSA_EState2,7.765453697806933e-16,4.6686094375592787e-17
Feature 60,SMR_VSA7,1.5973709230526316e-15,9.763489609840734e-17
Feature 61,SlogP_VSA11,1.6480400681962349e-15,1.0238325072962581e-16
Feature 62,NdO,1.6408339764868211e-15,1.0357969991850675e-16
Feature 63,MACCS_148,1.9385457096625217e-15,1.2431555653146432e-16
Feature 64,Xc-6dv,1.9464540544321124e-15,1.267730596574021e-16
Feature 65,MACCS_106,2.3367339548568254e-15,1.5453350803662372e-16
Feature 66,MACCS_130,7.458564794031384e-15,5.0072529178367e-16
Feature 67,NsssCH,7.871331657719224e-15,5.363231991231535e-16
Feature 68,morgan_229,8.528293600298974e-15,5.896315214635564e-16
Feature 69,morgan_42,1.3054549443063128e-14,9.156497605354899e-16
Feature 70,nBase,1.3120935233848007e-14,9.334533082196478e-16
Feature 71,ATSC2p,1.3437784509823865e-14,9.69459403514347e-16
Feature 72,ATSC1dv,1.3464915126838926e-14,9.84908621502246e-16
Feature 73,Xc-6d,1.3716995172084357e-14,1.0170918263870165e-15
Feature 74,Lipinski,1.6952366268026025e-14,1.2739754209438396e-15
Feature 75,MACCS_152,1.950804730453972e-14,1.4855827606663515e-15
Feature 76,morgan_356,3.920504129269982e-14,3.024837855248383e-15
Feature 77,TopoPSA,4.31333695036658e-14,3.3711451115089505e-15
Feature 78,IC1,4.2637011146557334e-14,3.3750740286352997e-15
Feature 79,morgan_163,4.784697614883827e-14,3.835428949806675e-15
Feature 80,MACCS_102,4.770951485239395e-14,3.872215133310531e-15
Feature 81,PEOE_VSA2,4.8186530769095516e-14,3.959213950967768e-15
Feature 82,morgan_434,6.210236209261155e-14,5.164825705096952e-15
Feature 83,SMR_VSA5,7.900904183192023e-14,6.650059633147594e-15
Feature 84,NaasC,1.5939058100592149e-13,1.3575350085674676e-14
Feature 85,MACCS_113,1.6216033265948689e-13,1.3973736080877627e-14
Feature 86,piPC3,2.1974613828435048e-13,1.9156226483705903e-14
Feature 87,bpol,3.183219945171367e-13,2.8068472462432895e-14
Feature 88,C3SP3,3.8517106523684623e-13,3.434892265138208e-14
Feature 89,morgan_325,6.55796590555259e-13,5.913997309616564e-14
Feature 90,nAcid,7.095819543875423e-13,6.470136057040717e-14
Feature 91,morgan_329,7.119699592482507e-13,6.563250125334575e-14
Feature 92,Xc-5d,9.721447239103188e-13,9.059064060486939e-14
Feature 93,MACCS_066,1.1780098484577341e-12,1.1095483542587877e-13
Feature 94,ATSC3Z,1.3354778843572216e-12,1.2712464831055716e-13
Feature 95,NssO,1.4722750336644524e-12,1.4162164652483709e-13
Feature 96,MACCS_014,1.7669097857288886e-12,1.717337166490002e-13
Feature 97,morgan_314,1.7592987700953912e-12,1.7275679305545925e-13
Feature 98,CIC2,1.927836360223563e-12,1.9123827621456187e-13
Feature 99,PEOE_VSA11,2.108061723633801e-12,2.1122862962262533e-13
