Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,EState_VSA8,5.793181830963673e-43,5.798980811775449e-46
Feature 1,ATSC0Z,6.308550741470816e-42,1.2629731214155788e-44
Feature 2,nS,1.1602336971550663e-37,3.484185276741941e-40
Feature 3,MACCS_088,3.4726100160032316e-36,1.3904344408421349e-38
Feature 4,MACCS_159,1.2517608092997684e-35,6.265069115614456e-38
Feature 5,MACCS_154,6.661881034407546e-35,4.001129750394922e-37
Feature 6,AATSC0Z,2.3175448083029284e-31,1.623905271083133e-33
Feature 7,AATSC0i,7.133149073917571e-27,5.712231490624682e-29
Feature 8,ATS0Z,7.658113662602792e-26,6.899201497840353e-28
Feature 9,Xp-3dv,1.1711804909387673e-25,1.1723528437825498e-27
Feature 10,ATS0p,1.966018095175311e-24,2.1647846893822244e-26
Feature 11,Xp-2dv,1.544661527535264e-23,1.8554492823246413e-25
Feature 12,ATSC0i,9.133759533119694e-23,1.1885773166221824e-24
Feature 13,MACCS_164,2.352578859816138e-22,3.2969073110536468e-24
Feature 14,Xp-6dv,2.672610582746136e-22,4.012928802922126e-24
Feature 15,MACCS_072,1.652864748046907e-21,2.647230827702754e-23
Feature 16,MACCS_157,9.52876695597587e-21,1.6215118944103083e-22
Feature 17,MACCS_081,2.093712223344952e-20,3.772454456477391e-22
Feature 18,C2SP2,3.253902655924194e-20,6.188603649905875e-22
Feature 19,AATS0Z,3.576992814250854e-20,7.161146775276986e-22
Feature 20,MACCS_123,3.503717835728308e-20,7.365172627657103e-22
Feature 21,MACCS_124,4.805094979384109e-20,1.058179074539043e-21
Feature 22,AATSC0dv,1.8589598732080905e-19,4.2798875959745824e-21
Feature 23,PEOE_VSA4,4.895679663822171e-19,1.176139258575897e-20
Feature 24,Xp-7dv,5.234875152046437e-19,1.3100288168284378e-20
Feature 25,MACCS_126,6.499730201976688e-19,1.691621473987927e-20
Feature 26,CIC4,1.5515924529678706e-18,4.1934931161293797e-20
Feature 27,nBondsKD,1.9192452785040066e-18,5.3792660458570753e-20
Feature 28,Xpc-4dv,1.3844459082528912e-17,4.018912045979364e-19
Feature 29,ATSC0v,6.243428046150247e-17,1.874903317162236e-18
Feature 30,MACCS_044,7.364135551420201e-17,2.285167188128391e-18
Feature 31,Diameter,8.789540578161482e-17,2.8154684534651392e-18
Feature 32,MACCS_166,9.030107855595872e-17,2.982918510857495e-18
Feature 33,n6aRing,1.2178220790881733e-16,4.144739808708498e-18
Feature 34,Xc-3dv,1.367215332580417e-16,4.790043707739198e-18
Feature 35,NaaCH,1.658369207740536e-16,5.976105253119049e-18
Feature 36,NsSH,3.5155501968931457e-16,1.3020556284789428e-17
Feature 37,CIC3,5.2638767745579715e-16,2.002275449781811e-17
Feature 38,MIC0,6.107245052786449e-16,2.384209780367082e-17
Feature 39,MACCS_162,9.209617585477275e-16,3.68753456875967e-17
Feature 40,Xc-4d,1.034631991955391e-15,4.246237404421525e-17
Feature 41,nBase,1.2580680738340171e-15,5.28917508518806e-17
Feature 42,NssS,1.3891075083395987e-15,5.979141427287562e-17
Feature 43,morgan_214,1.6040520037611596e-15,7.064893710259361e-17
Feature 44,MACCS_152,3.1702449327144462e-15,1.4280382579794802e-16
Feature 45,Xc-4dv,7.526611681939708e-15,3.465707080773039e-16
