Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"MACCS_111",0,0,0.3408953944584491
"ATSC1i",0,0,1.1051644538334044
"morgan_56",0,0,2.295541004094679
"morgan_165",0,0,0.016709803999959628
"ATSC3v",0,0,0.19611343816608104
"ATSC2i",0.04766444232603819,0,1.7041193510012618
"MACCS_163",0,0,0.6889420979147786
"ATSC3d",0,0,0.6176796568466338
"SssssC",0.4528122020972514,0,2.5798023552582707
"MACCS_165",0,0,1.410609931713429
"JGI5",0,0,1.3426276898762917
"morgan_361",0,0,1.176758779857862
"morgan_323",0,0,0.8120659314391543
"SsssCH",0,0,0.7523321161145613
"piPC3",0,0,1.033683756348375
"MACCS_044",0,0,1.3405876586302443
"MACCS_138",0,0,1.1456384807331028
"morgan_366",0,0,0.2981236941251886
"MACCS_086",0,0,0.8732493287737616
"morgan_414",0,0,0.3961857872018686
"MACCS_066",0,0,1.6985576275812546
"PEOE_VSA7",0,0,1.4327567203954978
"MIC0",0.07149666348903765,0,1.9179266922771017
"morgan_82",0,0,0.08685405566602819
"Xc-5dv",0,0,0.5284181753592048
