Feature,Value,Lower Confidence Interval,Upper Confidence Interval
"MACCS_111",63.70352716873211,59.75505086868714,68.78133662721618
"ATSC1i",89.43040991420398,83.59621619599181,96.23327741153346
"morgan_56",89.43040991420398,83.59621619599181,96.23327741153346
"morgan_165",89.43040991420398,83.59621619599181,96.23327741153346
"ATSC3v",92.43326978074357,86.79240677268658,98.07190196886992
"ATSC2i",92.43326978074357,86.79240677268658,98.07190196886992
"MACCS_163",95.98427073403242,90.59721935560555,100
"ATSC3d",98.04575786463299,93.65767317959592,100
"SssssC",98.04575786463299,93.65767317959592,100
"MACCS_165",98.30791229742611,94.57029458309003,100
"JGI5",98.30791229742611,94.57029458309003,100
"morgan_361",99.52335557673975,96.34063084856255,100
"morgan_323",100,97.29980726820023,100
"SsssCH",100,97.29980726820023,100
"piPC3",100,97.29980726820023,100
"MACCS_044",100,97.29980726820023,100
"MACCS_138",100,97.29980726820023,100
"morgan_366",100,97.29980726820023,100
"MACCS_086",100,97.29980726820023,100
"morgan_414",100,97.35602518809313,100
"MACCS_066",100,98.05299506841767,100
"PEOE_VSA7",100,98.05299506841767,100
"MIC0",100,99.38782181520061,100
"morgan_82",100,98.3261798997513,100
"Xc-5dv",100,99.24765174748353,100
