Feature,Reference,p-Values Corrected,p-Values Uncorrected
Feature 0,PEOE_VSA7,6.14545344175026e-240,6.151605046797057e-243
Feature 1,MIC0,7.835912112098126e-237,1.5687511735932185e-239
Feature 2,piPC2,9.086421525091621e-237,2.7286551126401265e-239
Feature 3,piPC3,2.11829361180157e-234,8.48165610330959e-237
Feature 4,Xpc-4dv,1.1779269034171762e-233,5.895530047133013e-236
Feature 5,ATSC1d,4.537845183159141e-226,2.7254325424379226e-228
Feature 6,Xpc-4d,8.310449533178183e-226,5.823137811035764e-228
Feature 7,ATSC0d,6.900479208160095e-220,5.5259092758038793e-222
Feature 8,Xc-5dv,1.8278608797648784e-219,1.6467215133016924e-221
Feature 9,piPC7,2.468563453867631e-217,2.471034488355987e-219
Feature 10,MACCS_163,1.2969604691241337e-210,1.4280846006371842e-212
Feature 11,ATSC3d,8.745378565177558e-210,1.050495923745052e-211
Feature 12,nRing,3.170015231077859e-208,4.1251449453465634e-210
Feature 13,MACCS_165,6.453692656446518e-208,9.044213932958084e-210
Feature 14,Xc-3dv,7.058575532831888e-195,1.059846176100884e-196
Feature 15,ATSC3v,5.918200377109708e-191,9.47859920257811e-193
Feature 16,C4SP3,8.140819662231232e-186,1.3853246672465558e-187
Feature 17,Xc-3d,2.3257908983674072e-185,4.1906142312926257e-187
Feature 18,NssssC,1.7135232294195978e-179,3.258953088986222e-181
Feature 19,AATSC0Z,7.547480522772985e-179,1.5110071116662634e-180
Feature 20,MACCS_066,1.122800123932454e-176,2.360240500758912e-178
Feature 21,Xc-6dv,1.0427126048233411e-172,2.2962639946059564e-174
Feature 22,SMR_VSA4,4.992419044065609e-172,1.149405785921011e-173
Feature 23,ATSC3i,1.3940235780017086e-169,3.3490055927968972e-171
Feature 24,GGI4,6.101681484947655e-169,1.5269473185554692e-170
Feature 25,Xc-5d,6.688090534187495e-168,1.7406441830718204e-169
Feature 26,piPC1,1.9144454309474216e-164,5.1741768403984366e-166
Feature 27,ATSC1v,1.469491075650683e-162,4.11869370552744e-164
Feature 28,C3SP2,5.707970308326428e-161,1.6569683577724366e-162
Feature 29,nARing,9.14051561757664e-159,2.7448995848578497e-160
Feature 30,morgan_36,3.555268613339608e-158,1.1032365066419204e-159
Feature 31,SlogP_VSA4,2.935842577638027e-157,9.404100348790479e-159
Feature 32,MACCS_112,1.2457206886626876e-155,4.114993265852722e-157
Feature 33,TopoPSA,3.0472338299572936e-154,1.037096598784264e-155
Feature 34,AATSC0d,4.498181825868993e-153,1.5759395786327805e-154
Feature 35,n6Ring,5.006094094896397e-153,1.8039978720347375e-154
Feature 36,nC,3.840259486304022e-152,1.4223183282607486e-153
Feature 37,morgan_250,1.110806464904154e-151,4.225289856492277e-153
Feature 38,ATSC2i,1.039126303785086e-149,4.0566492339958305e-151
Feature 39,C3SP3,7.455682642321964e-146,2.98525831524403e-147
Feature 40,SsssCH,1.7126822136308288e-144,7.029026101988386e-146
Feature 41,Xc-6d,1.681727582698848e-143,7.070326173508669e-145
Feature 42,Xc-4dv,2.3251381745470082e-143,1.0008102252804941e-144
Feature 43,Xp-3dv,2.9299429669130357e-143,1.2904653708125482e-144
Feature 44,Xp-6dv,1.6847487141485402e-142,7.588958171840271e-144
Feature 45,BertzCT,2.1764267714798376e-140,1.0021584733540794e-141
Feature 46,ATSC4i,1.6089871761126452e-139,7.569809537266699e-141
Feature 47,JGI5,9.18521862332078e-139,4.413318257451426e-140
Feature 48,morgan_414,1.7268297724192913e-138,8.469935820675201e-140
Feature 49,ATSC3p,2.2647927900853575e-138,1.1335299249676463e-139
Feature 50,piPC8,1.984658269936869e-137,1.0131889065743775e-138
Feature 51,AATS0d,6.173987584715324e-137,3.2136872312832515e-138
Feature 52,IC0,1.7287587088731226e-134,9.171592749777326e-136
Feature 53,GGI5,1.0473258814438338e-133,5.66122098077748e-135
Feature 54,ATSC2v,3.810592790069476e-130,2.0979239584967087e-131
Feature 55,CIC0,6.694469015465723e-128,3.75265530396477e-129
Feature 56,Xc-4d,3.6071167374836073e-127,2.0581146550206767e-128
Feature 57,ATSC1i,2.5423421975148075e-126,1.4760345090676561e-127
Feature 58,SdssC,2.6335340703738848e-126,1.5553404419625545e-127
Feature 59,Xp-2dv,6.301526311708038e-123,3.784700487512335e-124
Feature 60,AATS0Z,5.278776720096395e-121,3.223277076335136e-122
Feature 61,Xch-6d,1.5852278337685865e-119,9.838250820185422e-121
Feature 62,MACCS_074,6.457278532181649e-119,4.072157632907346e-120
Feature 63,nHetero,1.5126160576986335e-117,9.690433202473728e-119
Feature 64,Xch-6dv,3.7921328598059276e-116,2.4673537125864392e-117
Feature 65,IC3,2.5465119222637744e-115,1.682380248943034e-116
Feature 66,nFARing,2.9476428908953727e-115,1.976897634534434e-116
Feature 67,JGT10,1.55733748310284e-114,1.060049538047979e-115
Feature 68,TSRW10,1.9238180593873917e-114,1.3287632242015018e-115
Feature 69,nS,8.373243570419206e-114,5.867137636930375e-115
Feature 70,ATSC4v,8.150758880320204e-113,5.792831636664009e-114
Feature 71,piPC9,1.2753502116715632e-111,9.191713237272527e-113
Feature 72,fMF,8.534097594626058e-108,6.23612737144847e-109
Feature 73,MACCS_088,4.2233567146450146e-107,3.1284123812185294e-108
Feature 74,n6ARing,4.759902239677613e-106,3.573500179938148e-107
Feature 75,MACCS_050,5.88860083398757e-104,4.4798164502808335e-105
