Feature_Name,Assigned_Type
MACCS_001,Numerical
MACCS_002,Numerical
MACCS_003,Categorical
MACCS_003,Categorical
MACCS_004,Numerical
MACCS_005,Numerical
MACCS_006,Numerical
MACCS_007,Categorical
MACCS_007,Categorical
MACCS_008,Categorical
MACCS_008,Categorical
MACCS_009,Categorical
MACCS_009,Categorical
MACCS_010,Categorical
MACCS_010,Categorical
MACCS_011,Categorical
MACCS_011,Categorical
MACCS_012,Categorical
MACCS_012,Categorical
MACCS_013,Categorical
MACCS_013,Categorical
MACCS_014,Categorical
MACCS_014,Categorical
MACCS_015,Categorical
MACCS_015,Categorical
MACCS_016,Categorical
MACCS_016,Categorical
MACCS_017,Categorical
MACCS_017,Categorical
MACCS_018,Categorical
MACCS_018,Categorical
MACCS_019,Categorical
MACCS_019,Categorical
MACCS_020,Categorical
MACCS_020,Categorical
MACCS_021,Numerical
MACCS_022,Categorical
MACCS_022,Categorical
MACCS_023,Categorical
MACCS_023,Categorical
MACCS_024,Categorical
MACCS_024,Categorical
MACCS_025,Categorical
MACCS_025,Categorical
MACCS_026,Categorical
MACCS_026,Categorical
MACCS_027,Categorical
MACCS_027,Categorical
MACCS_028,Categorical
MACCS_028,Categorical
MACCS_029,Categorical
MACCS_029,Categorical
MACCS_030,Categorical
MACCS_030,Categorical
MACCS_031,Categorical
MACCS_031,Categorical
MACCS_032,Categorical
MACCS_032,Categorical
MACCS_033,Categorical
MACCS_033,Categorical
MACCS_034,Categorical
MACCS_034,Categorical
MACCS_035,Categorical
MACCS_035,Categorical
MACCS_036,Categorical
MACCS_036,Categorical
MACCS_037,Categorical
MACCS_037,Categorical
MACCS_038,Categorical
MACCS_038,Categorical
MACCS_039,Categorical
MACCS_039,Categorical
MACCS_040,Categorical
MACCS_040,Categorical
MACCS_041,Categorical
MACCS_041,Categorical
MACCS_042,Categorical
MACCS_042,Categorical
MACCS_043,Categorical
MACCS_043,Categorical
MACCS_044,Categorical
MACCS_044,Categorical
MACCS_045,Categorical
MACCS_045,Categorical
MACCS_046,Categorical
MACCS_046,Categorical
MACCS_047,Categorical
MACCS_047,Categorical
MACCS_048,Categorical
MACCS_048,Categorical
MACCS_049,Categorical
MACCS_049,Categorical
MACCS_050,Categorical
MACCS_050,Categorical
MACCS_051,Categorical
MACCS_051,Categorical
MACCS_052,Categorical
MACCS_052,Categorical
MACCS_053,Categorical
MACCS_053,Categorical
MACCS_054,Categorical
MACCS_054,Categorical
MACCS_055,Categorical
MACCS_055,Categorical
MACCS_056,Categorical
MACCS_056,Categorical
MACCS_057,Categorical
MACCS_057,Categorical
MACCS_058,Categorical
MACCS_058,Categorical
MACCS_059,Categorical
MACCS_059,Categorical
MACCS_060,Categorical
MACCS_060,Categorical
MACCS_061,Categorical
MACCS_061,Categorical
MACCS_062,Categorical
MACCS_062,Categorical
MACCS_063,Categorical
MACCS_063,Categorical
MACCS_064,Categorical
MACCS_064,Categorical
MACCS_065,Categorical
MACCS_065,Categorical
MACCS_066,Categorical
MACCS_066,Categorical
MACCS_067,Categorical
MACCS_067,Categorical
MACCS_068,Numerical
MACCS_069,Categorical
MACCS_069,Categorical
MACCS_070,Categorical
MACCS_070,Categorical
MACCS_071,Categorical
MACCS_071,Categorical
MACCS_072,Categorical
MACCS_072,Categorical
MACCS_073,Categorical
MACCS_073,Categorical
MACCS_074,Categorical
MACCS_074,Categorical
MACCS_075,Categorical
MACCS_075,Categorical
MACCS_076,Categorical
MACCS_076,Categorical
MACCS_077,Categorical
MACCS_077,Categorical
MACCS_078,Categorical
MACCS_078,Categorical
MACCS_079,Categorical
MACCS_079,Categorical
MACCS_080,Categorical
MACCS_080,Categorical
MACCS_081,Categorical
MACCS_081,Categorical
MACCS_082,Categorical
MACCS_082,Categorical
MACCS_083,Categorical
MACCS_083,Categorical
MACCS_084,Categorical
MACCS_084,Categorical
MACCS_085,Categorical
MACCS_085,Categorical
MACCS_086,Categorical
MACCS_086,Categorical
MACCS_087,Categorical
MACCS_087,Categorical
MACCS_088,Categorical
MACCS_088,Categorical
MACCS_089,Categorical
MACCS_089,Categorical
MACCS_090,Categorical
MACCS_090,Categorical
MACCS_091,Categorical
MACCS_091,Categorical
MACCS_092,Categorical
MACCS_092,Categorical
MACCS_093,Categorical
MACCS_093,Categorical
MACCS_094,Categorical
MACCS_094,Categorical
MACCS_095,Categorical
MACCS_095,Categorical
MACCS_096,Categorical
MACCS_096,Categorical
MACCS_097,Categorical
MACCS_097,Categorical
MACCS_098,Categorical
MACCS_098,Categorical
MACCS_099,Categorical
MACCS_099,Categorical
MACCS_100,Categorical
MACCS_100,Categorical
MACCS_101,Categorical
MACCS_101,Categorical
MACCS_102,Categorical
MACCS_102,Categorical
MACCS_103,Categorical
MACCS_103,Categorical
MACCS_104,Categorical
MACCS_104,Categorical
