experiment,param_name,param_value,fold,model,global_dim,local_dim,dropout,lr,weight_decay,lambda_viol,beta,batch_size,seed,best_epoch,train_loss_at_best,val_meta_roc_auc,roc_auc_138,pr_auc_138,f1_macro_138,f1_micro_138,precision_macro_138,recall_macro_138,precision_micro_138,recall_micro_138,matched_accuracy_138,hamming_loss_138,jaccard_138,hier_violation_rate_138,roc_auc_12,pr_auc_12,f1_macro_12,instance_f1_12,balanced_accuracy_12,matched_accuracy_12,sensitivity_macro_12,specificity_macro_12,precision_macro_12,recall_macro_12,hamming_loss_12,jaccard_12,hier_violation_rate_12,label_cooc_consistency_12,test_loss
baseline_meta12_kfold,model,LR_C=0.01,0,LR,,,,,,,,,42,,,,,,,,,,,,,,,,0.8122,0.6227,0.6058,0.6233,0.7266,0.056,0.7184,0.7348,0.5294,0.7184,0.2436,0.4405,0.0,0.1166,
baseline_meta12_kfold,model,LR_C=0.1,0,LR,,,,,,,,,42,,,,,,,,,,,,,,,,0.8108,0.6225,0.6135,0.6268,0.7354,0.058,0.7278,0.743,0.5376,0.7278,0.2391,0.4486,0.0,0.1096,
baseline_meta12_kfold,model,LR_C=1,0,LR,,,,,,,,,42,,,,,,,,,,,,,,,,0.8103,0.6214,0.6103,0.6224,0.7359,0.057,0.7278,0.744,0.5359,0.7278,0.2424,0.4459,0.0,0.1108,
baseline_meta12_kfold,model,LR_C=10,0,LR,,,,,,,,,42,,,,,,,,,,,,,,,,0.8103,0.6212,0.6112,0.6239,0.7355,0.056,0.7363,0.7347,0.5338,0.7363,0.2446,0.447,0.0,0.1217,
baseline_meta12_kfold,model,LR_C=100,0,LR,,,,,,,,,42,,,,,,,,,,,,,,,,0.8103,0.6212,0.6111,0.6238,0.7354,0.056,0.7361,0.7347,0.5338,0.7361,0.2447,0.4468,0.0,0.1215,
baseline_meta12_kfold,model,RF_n_estimators=100_max_features=sqrt,0,RF,,,,,,,,,42,,,,,,,,,,,,,,,,0.8263,0.6608,0.6208,0.64,0.7369,0.0804,0.6993,0.7745,0.5698,0.6993,0.2234,0.456,0.0,0.1056,
baseline_meta12_kfold,model,RF_n_estimators=100_max_features=log2,0,RF,,,,,,,,,42,,,,,,,,,,,,,,,,0.828,0.6627,0.6215,0.642,0.7407,0.0936,0.6936,0.7877,0.5734,0.6936,0.2179,0.4567,0.0,0.0994,
baseline_meta12_kfold,model,RF_n_estimators=300_max_features=sqrt,0,RF,,,,,,,,,42,,,,,,,,,,,,,,,,0.8303,0.6689,0.6163,0.6372,0.7344,0.0966,0.6528,0.8161,0.5964,0.6528,0.2104,0.4513,0.0,0.0907,
baseline_meta12_kfold,model,RF_n_estimators=300_max_features=log2,0,RF,,,,,,,,,42,,,,,,,,,,,,,,,,0.8314,0.6708,0.6284,0.6436,0.7437,0.1048,0.6823,0.8052,0.5887,0.6823,0.211,0.4635,0.0,0.088,
baseline_meta12_kfold,model,XGB_n_estimators=100_max_depth=3,0,XGB,,,,,,,,,42,,,,,,,,,,,,,,,,0.8171,0.6512,0.6073,0.6388,0.7267,0.0997,0.6658,0.7876,0.5659,0.6658,0.22,0.4437,0.0,0.0864,
baseline_meta12_kfold,model,XGB_n_estimators=100_max_depth=6,0,XGB,,,,,,,,,42,,,,,,,,,,,,,,,,0.8172,0.6556,0.6015,0.6287,0.7175,0.0875,0.6303,0.8046,0.596,0.6303,0.2139,0.4373,0.0,0.0823,
baseline_meta12_kfold,model,XGB_n_estimators=300_max_depth=3,0,XGB,,,,,,,,,42,,,,,,,,,,,,,,,,0.8113,0.6521,0.6066,0.6338,0.7287,0.0875,0.6841,0.7733,0.5603,0.6841,0.2263,0.4427,0.0,0.0954,
