,,roc_auc_138,roc_auc_138,pr_auc_138,pr_auc_138,f1_macro_138,f1_macro_138,f1_micro_138,f1_micro_138,precision_macro_138,precision_macro_138,recall_macro_138,recall_macro_138,precision_micro_138,precision_micro_138,recall_micro_138,recall_micro_138,matched_accuracy_138,matched_accuracy_138,hamming_loss_138,hamming_loss_138,jaccard_138,jaccard_138,hier_violation_rate_138,hier_violation_rate_138,roc_auc_12,roc_auc_12,pr_auc_12,pr_auc_12,f1_macro_12,f1_macro_12,instance_f1_12,instance_f1_12,balanced_accuracy_12,balanced_accuracy_12,matched_accuracy_12,matched_accuracy_12,sensitivity_macro_12,sensitivity_macro_12,specificity_macro_12,specificity_macro_12,precision_macro_12,precision_macro_12,recall_macro_12,recall_macro_12,hamming_loss_12,hamming_loss_12,jaccard_12,jaccard_12,hier_violation_rate_12,hier_violation_rate_12,label_cooc_consistency_12,label_cooc_consistency_12,test_loss,test_loss
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,param_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=11_metric=cosine,,,,,,,,,,,,,,,,,,,,,,,,,0.79798,0.004348218025812361,0.58632,0.009490890369190874,0.58448,0.004844791017164669,0.60266,0.0123902380929504,0.71392,0.0028787149911028327,0.05933999999999999,0.007634002881843835,0.68428,0.022933207363995147,0.74358,0.021206885674233244,0.51888,0.021349636999255992,0.68428,0.022933207363995147,0.24766,0.01187741554379571,0.41856,0.0058474780888858515,0.0,0.0,0.10586,0.00839779733025274,,
KNN,KNN_n_neighbors=11_metric=euclidean,,,,,,,,,,,,,,,,,,,,,,,,,0.79326,0.005708152065248425,0.5817,0.011894746739632594,0.58236,0.006859883380932938,0.60028,0.008120160096943862,0.7102999999999999,0.004168333000133252,0.0571,0.007402702209328698,0.6763399999999999,0.0055500450448622285,0.7443,0.009459651156358813,0.5226,0.012916462363975681,0.6763399999999999,0.0055500450448622285,0.24754,0.005185846121897557,0.41668000000000005,0.007247896246498015,0.0,0.0,0.10566,0.009194998640565426,,
KNN,KNN_n_neighbors=21_metric=cosine,,,,,,,,,,,,,,,,,,,,,,,,,0.79936,0.004780481147332336,0.59532,0.013874328812594872,0.58336,0.006168306088384391,0.601,0.011228535078094593,0.71102,0.003374462920228916,0.05432,0.00648205214419014,0.68546,0.014468690334650203,0.73654,0.009654170083440617,0.5151,0.008620324819866134,0.68546,0.014468690334650203,0.24984,0.005167010741231347,0.41762,0.006262747001117004,0.0,0.0,0.11322000000000002,0.007712133297603204,,
KNN,KNN_n_neighbors=21_metric=euclidean,,,,,,,,,,,,,,,,,,,,,,,,,0.79486,0.004009114615473105,0.5893200000000001,0.009178616453474892,0.57794,0.013558687252090442,0.59572,0.014466409367911595,0.7068,0.010823123393919167,0.051680000000000004,0.004023307097401341,0.67908,0.02480205636635797,0.7344999999999999,0.013787313008704767,0.5141,0.012538739968593306,0.67908,0.02480205636635797,0.25318,0.006257555433234264,0.41235999999999995,0.01339190053726506,0.0,0.0,0.11256,0.012582249401438527,,
KNN,KNN_n_neighbors=5_metric=cosine,,,,,,,,,,,,,,,,,,,,,,,,,0.7805799999999999,0.004007742506698774,0.55314,0.008060583105458338,0.58018,0.009242131788716277,0.6005,0.01207000414250138,0.7096199999999999,0.006314823829688368,0.0581,0.0023706539182259383,0.68926,0.023986517046040674,0.73,0.012875752405199456,0.50812,0.007616232664513301,0.68926,0.023986517046040674,0.254,0.0029723727895403598,0.41454,0.009413447827443447,0.0,0.0,0.11722000000000002,0.01251407207906363,,
KNN,KNN_n_neighbors=5_metric=euclidean,,,,,,,,,,,,,,,,,,,,,,,,,0.7771600000000001,0.004697126781341983,0.54866,0.008452691878922346,0.5753,0.003554574517435237,0.5971,0.008155979401641481,0.7028800000000001,0.005641542342303285,0.05928,0.005074150175152486,0.66248,0.012908989116115956,0.7433,0.01584660846995343,0.52396,0.016306839056052548,0.66248,0.012908989116115956,0.2501,0.00961925153013476,0.40952,0.003414967056942113,0.0,0.0,0.11016,0.00999464856810884,,
LR,LR_C=0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.80738,0.005690957740134699,0.61098,0.017431494485556902,0.5956400000000001,0.010031350856190854,0.60734,0.0114835969974569,0.72488,0.006175516172758375,0.05888,0.0057198776210684804,0.7026600000000001,0.023964202469516877,0.7470600000000001,0.015800094936423616,0.52372,0.013921817410094125,0.7026600000000001,0.023964202469516877,0.24338,0.007908033889659292,0.42991999999999997,0.010288926085845885,0.0,0.0,0.10728,0.010852280866251118,,
LR,LR_C=0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.8061,0.005805170109479983,0.6113000000000001,0.016308893279435015,0.5950200000000001,0.013231288674955296,0.60414,0.013783976204274271,0.72664,0.008790221840204084,0.06048,0.007442916095187424,0.7013,0.021403504385964497,0.752,0.019147845831842276,0.5241800000000001,0.015122400603078836,0.7013,0.021403504385964497,0.2435,0.009024688360270408,0.4293,0.013496666255042424,0.0,0.0,0.10070000000000001,0.016125290695054154,,
LR,LR_C=1,,,,,,,,,,,,,,,,,,,,,,,,,0.80554,0.0058183330946242244,0.61048,0.01601286982398849,0.59292,0.013446821185692853,0.60244,0.012921416331037378,0.72574,0.010300873749347702,0.05928,0.007108938036021977,0.7040599999999999,0.02202153491471481,0.7474000000000001,0.01334316304329677,0.51978,0.01439850686703315,0.7040599999999999,0.02202153491471481,0.24628,0.007759316980250255,0.42747999999999997,0.013798804296025063,0.0,0.0,0.10232000000000001,0.011755296678519007,,
LR,LR_C=10,,,,,,,,,,,,,,,,,,,,,,,,,0.8055,0.005795256681114309,0.61036,0.015934647783995705,0.59388,0.013941915219940187,0.6030200000000001,0.01346781348252195,0.72524,0.010287030669731698,0.05908,0.006728818618450046,0.70356,0.022318893341740736,0.74696,0.013401417835438134,0.5222,0.013348782716038246,0.70356,0.022318893341740736,0.24562,0.006470085007169542,0.42847999999999997,0.014340048814421788,0.0,0.0,0.10434000000000002,0.013557580905161511,,
LR,LR_C=100,,,,,,,,,,,,,,,,,,,,,,,,,0.8055,0.005795256681114309,0.61036,0.015934647783995705,0.59364,0.014061223275376865,0.6031000000000001,0.013241789909223051,0.72492,0.010580737214391038,0.05948,0.006707980321974716,0.70138,0.023964494570092632,0.7485,0.011638513650806108,0.52296,0.011548722873114628,0.70138,0.023964494570092632,0.24489999999999998,0.00523784306752312,0.42826000000000003,0.014383949388120104,0.0,0.0,0.10262,0.012620499197733821,,
RF,RF_n_estimators=100_max_features=log2,,,,,,,,,,,,,,,,,,,,,,,,,0.81904,0.005171846865482353,0.64528,0.012545198284602719,0.60624,0.01247649790606323,0.62322,0.013139901065076575,0.7305200000000001,0.009743818553318845,0.07898000000000001,0.012165401760731128,0.6850799999999999,0.020806657588377808,0.7759400000000001,0.009882712178344539,0.5551,0.01371349700112992,0.6850799999999999,0.020806657588377808,0.22616,0.0060119048561999055,0.44112,0.012531440459899219,0.0,0.0,0.09814,0.0014258330898110016,,
RF,RF_n_estimators=100_max_features=sqrt,,,,,,,,,,,,,,,,,,,,,,,,,0.81792,0.00518960499460222,0.64438,0.012928534333017041,0.6058399999999999,0.011114540026469888,0.62202,0.013185863642552953,0.7292,0.006292058486695764,0.07538,0.008684008291106132,0.68776,0.008142665411276596,0.77066,0.00827181963052871,0.5497,0.016859863581891822,0.68776,0.008142665411276596,0.22841999999999998,0.004858703530778563,0.44064,0.011313841080729374,0.0,0.0,0.09798,0.0063357714605247585,,
RF,RF_n_estimators=300_max_features=log2,,,,,,,,,,,,,,,,,,,,,,,,,0.8224,0.005474942922076932,0.65278,0.013773053401479295,0.611,0.012365071774963467,0.6255200000000001,0.013587751837592555,0.73312,0.007760283499976003,0.0792,0.016448860142879204,0.6875199999999999,0.022677896727871415,0.77878,0.023750094736653155,0.55996,0.022157572069159574,0.6875199999999999,0.022677896727871415,0.22412,0.01211639385295807,0.44554,0.012698936963383995,0.0,0.0,0.09906000000000001,0.01505632757348219,,
RF,RF_n_estimators=300_max_features=sqrt,,,,,,,,,,,,,,,,,,,,,,,,,0.8209799999999999,0.0055764684164801084,0.6518200000000001,0.0124214330896237,0.6077600000000001,0.010280223732973905,0.6235999999999999,0.011880235687897821,0.73238,0.007287798021350459,0.08116000000000001,0.013216013014521442,0.68228,0.028546225669955017,0.7825200000000001,0.024957203368967482,0.55618,0.026804514545128378,0.68228,0.028546225669955017,0.2238,0.011048755586037734,0.44252,0.010151206824806596,0.0,0.0,0.09242,0.011523324173171562,,
