Fold,Model,Config,Label,Threshold,TP,TN,FP,FN,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Precision,Sensitivity,Specificity
0,LR,LR_C=0.01,meta_floral,0.6,180,611,100,92,0.761,0.517,0.652,0.857,0.688,0.643,0.662,0.859
0,LR,LR_C=0.01,meta_fruity,0.45,392,339,180,72,0.749,0.504,0.757,0.844,0.832,0.685,0.845,0.653
0,LR,LR_C=0.01,meta_sweet,0.45,305,310,282,86,0.652,0.303,0.624,0.736,0.634,0.52,0.78,0.524
0,LR,LR_C=0.01,meta_woody,0.6,140,662,107,74,0.758,0.49,0.607,0.853,0.689,0.567,0.654,0.861
0,LR,LR_C=0.01,meta_green,0.4,413,277,246,47,0.714,0.454,0.738,0.792,0.745,0.627,0.898,0.53
0,LR,LR_C=0.01,meta_spicy,0.55,130,616,159,78,0.71,0.376,0.523,0.786,0.477,0.45,0.625,0.795
0,LR,LR_C=0.01,meta_animal_musk,0.55,94,685,149,55,0.726,0.376,0.48,0.813,0.504,0.387,0.631,0.821
0,LR,LR_C=0.01,meta_earthy,0.55,129,629,141,84,0.711,0.39,0.534,0.79,0.597,0.478,0.606,0.817
0,LR,LR_C=0.01,meta_citrus,0.65,59,807,77,40,0.754,0.444,0.502,0.821,0.42,0.434,0.596,0.913
0,LR,LR_C=0.01,meta_chemical,0.35,379,279,266,59,0.689,0.395,0.7,0.792,0.745,0.588,0.865,0.512
0,LR,LR_C=0.01,meta_gourmand,0.6,158,624,122,79,0.752,0.477,0.611,0.848,0.646,0.564,0.667,0.836
0,LR,LR_C=0.01,meta_powdery_amber,0.45,164,541,235,43,0.745,0.406,0.541,0.813,0.496,0.411,0.792,0.697
0,LR,LR_C=0.1,meta_floral,0.5,215,563,148,57,0.791,0.54,0.677,0.862,0.696,0.592,0.79,0.792
0,LR,LR_C=0.1,meta_fruity,0.45,383,353,166,81,0.753,0.508,0.756,0.844,0.83,0.698,0.825,0.68
0,LR,LR_C=0.1,meta_sweet,0.45,304,318,274,87,0.657,0.313,0.627,0.737,0.636,0.526,0.777,0.537
0,LR,LR_C=0.1,meta_woody,0.65,128,697,72,86,0.752,0.517,0.618,0.853,0.689,0.64,0.598,0.906
0,LR,LR_C=0.1,meta_green,0.35,421,263,260,39,0.709,0.452,0.738,0.791,0.737,0.618,0.915,0.503
0,LR,LR_C=0.1,meta_spicy,0.5,143,580,195,65,0.718,0.375,0.524,0.776,0.476,0.423,0.688,0.748
0,LR,LR_C=0.1,meta_animal_musk,0.55,93,690,144,56,0.726,0.379,0.482,0.81,0.517,0.392,0.624,0.827
0,LR,LR_C=0.1,meta_earthy,0.55,130,632,138,83,0.716,0.399,0.541,0.787,0.591,0.485,0.61,0.821
0,LR,LR_C=0.1,meta_citrus,0.7,56,821,63,43,0.747,0.456,0.514,0.817,0.406,0.471,0.566,0.929
0,LR,LR_C=0.1,meta_chemical,0.45,334,379,166,104,0.729,0.455,0.712,0.791,0.743,0.668,0.763,0.695
0,LR,LR_C=0.1,meta_gourmand,0.5,187,572,174,50,0.778,0.493,0.625,0.851,0.653,0.518,0.789,0.767
0,LR,LR_C=0.1,meta_powdery_amber,0.45,163,551,225,44,0.749,0.415,0.548,0.812,0.496,0.42,0.787,0.71
0,LR,LR_C=1,meta_floral,0.55,202,586,125,70,0.783,0.538,0.674,0.862,0.696,0.618,0.743,0.824
0,LR,LR_C=1,meta_fruity,0.45,382,355,164,82,0.754,0.51,0.756,0.843,0.83,0.7,0.823,0.684
0,LR,LR_C=1,meta_sweet,0.45,303,318,274,88,0.656,0.31,0.626,0.737,0.635,0.525,0.775,0.537
0,LR,LR_C=1,meta_woody,0.65,130,698,71,84,0.758,0.527,0.627,0.852,0.688,0.647,0.607,0.908
0,LR,LR_C=1,meta_green,0.4,400,302,221,60,0.724,0.462,0.74,0.791,0.735,0.644,0.87,0.577
0,LR,LR_C=1,meta_spicy,0.5,144,580,195,64,0.72,0.379,0.527,0.774,0.474,0.425,0.692,0.748
0,LR,LR_C=1,meta_animal_musk,0.45,108,605,229,41,0.725,0.34,0.444,0.809,0.518,0.32,0.725,0.725
0,LR,LR_C=1,meta_earthy,0.55,131,633,137,82,0.719,0.404,0.545,0.786,0.588,0.489,0.615,0.822
0,LR,LR_C=1,meta_citrus,0.7,55,819,65,44,0.741,0.443,0.502,0.816,0.401,0.458,0.556,0.926
0,LR,LR_C=1,meta_chemical,0.45,335,379,166,103,0.73,0.458,0.714,0.79,0.742,0.669,0.765,0.695
0,LR,LR_C=1,meta_gourmand,0.5,186,573,173,51,0.776,0.491,0.624,0.852,0.654,0.518,0.785,0.768
0,LR,LR_C=1,meta_powdery_amber,0.45,161,552,224,46,0.745,0.409,0.544,0.812,0.496,0.418,0.778,0.711
0,LR,LR_C=10,meta_floral,0.55,202,586,125,70,0.783,0.538,0.674,0.862,0.696,0.618,0.743,0.824
0,LR,LR_C=10,meta_fruity,0.45,382,355,164,82,0.754,0.51,0.756,0.843,0.83,0.7,0.823,0.684
0,LR,LR_C=10,meta_sweet,0.35,343,251,341,48,0.651,0.32,0.638,0.737,0.635,0.501,0.877,0.424
0,LR,LR_C=10,meta_woody,0.65,130,698,71,84,0.758,0.527,0.627,0.852,0.688,0.647,0.607,0.908
0,LR,LR_C=10,meta_green,0.4,400,302,221,60,0.724,0.462,0.74,0.791,0.735,0.644,0.87,0.577
0,LR,LR_C=10,meta_spicy,0.5,144,580,195,64,0.72,0.379,0.527,0.774,0.474,0.425,0.692,0.748
0,LR,LR_C=10,meta_animal_musk,0.45,108,605,229,41,0.725,0.34,0.444,0.809,0.518,0.32,0.725,0.725
0,LR,LR_C=10,meta_earthy,0.55,131,633,137,82,0.719,0.404,0.545,0.785,0.588,0.489,0.615,0.822
0,LR,LR_C=10,meta_citrus,0.7,55,818,66,44,0.74,0.441,0.5,0.816,0.401,0.455,0.556,0.925
0,LR,LR_C=10,meta_chemical,0.45,335,379,166,103,0.73,0.458,0.714,0.791,0.742,0.669,0.765,0.695
0,LR,LR_C=10,meta_gourmand,0.5,186,574,172,51,0.777,0.493,0.625,0.852,0.654,0.52,0.785,0.769
