Fold,Model,Config,Bal.Acc,MCC,F1,ROC_AUC,PR_AUC,Precision,Sensitivity,Specificity
0,KNN,KNN_n_neighbors=11_metric=cosine,0.715,0.42,0.592,0.805,0.595,0.548,0.659,0.772
0,KNN,KNN_n_neighbors=11_metric=euclidean,0.713,0.413,0.589,0.8,0.59,0.537,0.677,0.75
0,KNN,KNN_n_neighbors=21_metric=cosine,0.712,0.41,0.591,0.807,0.605,0.525,0.686,0.738
0,KNN,KNN_n_neighbors=21_metric=euclidean,0.717,0.417,0.594,0.8,0.595,0.526,0.702,0.733
0,KNN,KNN_n_neighbors=5_metric=cosine,0.717,0.405,0.593,0.786,0.563,0.508,0.713,0.72
0,KNN,KNN_n_neighbors=5_metric=euclidean,0.697,0.392,0.576,0.783,0.559,0.531,0.657,0.738
0,LR,LR_C=0.01,0.727,0.428,0.606,0.812,0.623,0.53,0.718,0.735
0,LR,LR_C=0.1,0.735,0.442,0.614,0.811,0.622,0.538,0.728,0.743
0,LR,LR_C=1,0.736,0.439,0.61,0.81,0.621,0.536,0.728,0.744
0,LR,LR_C=10,0.736,0.44,0.611,0.81,0.621,0.534,0.736,0.734
0,LR,LR_C=100,0.735,0.44,0.611,0.81,0.621,0.534,0.736,0.734
0,RF,RF_n_estimators=100_max_features=log2,0.741,0.464,0.622,0.828,0.663,0.574,0.693,0.788
0,RF,RF_n_estimators=100_max_features=sqrt,0.737,0.458,0.621,0.826,0.661,0.57,0.699,0.775
0,RF,RF_n_estimators=300_max_features=log2,0.744,0.472,0.628,0.831,0.671,0.589,0.682,0.805
0,RF,RF_n_estimators=300_max_features=sqrt,0.734,0.462,0.616,0.83,0.669,0.596,0.653,0.816
0,SVM,SVM_C=0.1,0.705,0.392,0.58,0.791,0.595,0.512,0.694,0.717
0,SVM,SVM_C=1,0.736,0.447,0.614,0.818,0.633,0.554,0.698,0.775
0,SVM,SVM_C=10,0.726,0.438,0.605,0.808,0.624,0.564,0.667,0.785
0,XGB,XGB_n_estimators=100_max_depth=3,0.727,0.442,0.607,0.817,0.651,0.566,0.666,0.788
0,XGB,XGB_n_estimators=100_max_depth=6,0.717,0.442,0.601,0.817,0.656,0.596,0.63,0.805
0,XGB,XGB_n_estimators=300_max_depth=3,0.729,0.442,0.607,0.811,0.652,0.56,0.684,0.773
0,XGB,XGB_n_estimators=300_max_depth=6,0.727,0.449,0.614,0.816,0.657,0.578,0.668,0.786
1,KNN,KNN_n_neighbors=11_metric=cosine,0.716,0.395,0.582,0.793,0.581,0.501,0.699,0.733
1,KNN,KNN_n_neighbors=11_metric=euclidean,0.708,0.391,0.576,0.785,0.571,0.509,0.678,0.739
1,KNN,KNN_n_neighbors=21_metric=cosine,0.705,0.397,0.581,0.797,0.596,0.523,0.67,0.741
1,KNN,KNN_n_neighbors=21_metric=euclidean,0.698,0.385,0.569,0.791,0.586,0.522,0.649,0.747
1,KNN,KNN_n_neighbors=5_metric=cosine,0.7,0.385,0.568,0.776,0.553,0.521,0.653,0.746
1,KNN,KNN_n_neighbors=5_metric=euclidean,0.698,0.376,0.569,0.772,0.545,0.502,0.676,0.72
1,LR,LR_C=0.01,0.726,0.418,0.594,0.806,0.62,0.518,0.716,0.736
1,LR,LR_C=0.1,0.726,0.414,0.592,0.804,0.618,0.511,0.72,0.733
1,LR,LR_C=1,0.727,0.414,0.59,0.804,0.616,0.511,0.714,0.739
1,LR,LR_C=10,0.727,0.419,0.594,0.804,0.617,0.522,0.707,0.747
1,LR,LR_C=100,0.726,0.419,0.593,0.804,0.617,0.522,0.706,0.747
1,RF,RF_n_estimators=100_max_features=log2,0.737,0.441,0.607,0.818,0.649,0.54,0.704,0.77
1,RF,RF_n_estimators=100_max_features=sqrt,0.73,0.439,0.608,0.817,0.648,0.548,0.689,0.77
1,RF,RF_n_estimators=300_max_features=log2,0.735,0.439,0.611,0.821,0.655,0.535,0.727,0.742
1,RF,RF_n_estimators=300_max_features=sqrt,0.73,0.43,0.605,0.818,0.652,0.529,0.714,0.747
1,SVM,SVM_C=0.1,0.712,0.396,0.576,0.79,0.59,0.515,0.691,0.732
1,SVM,SVM_C=1,0.732,0.438,0.605,0.811,0.629,0.551,0.677,0.787
1,SVM,SVM_C=10,0.713,0.407,0.581,0.798,0.607,0.525,0.669,0.758
1,XGB,XGB_n_estimators=100_max_depth=3,0.712,0.409,0.588,0.803,0.638,0.531,0.677,0.746
1,XGB,XGB_n_estimators=100_max_depth=6,0.719,0.414,0.59,0.802,0.632,0.528,0.679,0.759
1,XGB,XGB_n_estimators=300_max_depth=3,0.717,0.415,0.583,0.8,0.632,0.547,0.642,0.793
1,XGB,XGB_n_estimators=300_max_depth=6,0.717,0.414,0.588,0.801,0.633,0.537,0.658,0.776
2,KNN,KNN_n_neighbors=11_metric=cosine,0.717,0.405,0.586,0.798,0.595,0.508,0.703,0.731
2,KNN,KNN_n_neighbors=11_metric=euclidean,0.711,0.406,0.586,0.796,0.595,0.529,0.667,0.755
2,KNN,KNN_n_neighbors=21_metric=cosine,0.714,0.404,0.588,0.8,0.61,0.511,0.708,0.72
2,KNN,KNN_n_neighbors=21_metric=euclidean,0.711,0.401,0.582,0.794,0.6,0.521,0.672,0.75
2,KNN,KNN_n_neighbors=5_metric=cosine,0.712,0.395,0.584,0.778,0.557,0.5,0.704,0.719
2,KNN,KNN_n_neighbors=5_metric=euclidean,0.701,0.396,0.576,0.773,0.552,0.536,0.65,0.752
2,LR,LR_C=0.01,0.734,0.435,0.606,0.813,0.626,0.53,0.715,0.752
2,LR,LR_C=0.1,0.734,0.435,0.602,0.812,0.626,0.54,0.692,0.776
2,LR,LR_C=1,0.735,0.429,0.6,0.812,0.625,0.522,0.714,0.756
2,LR,LR_C=10,0.734,0.431,0.601,0.812,0.625,0.528,0.708,0.761
2,LR,LR_C=100,0.734,0.431,0.601,0.812,0.625,0.527,0.708,0.761
2,RF,RF_n_estimators=100_max_features=log2,0.731,0.443,0.61,0.817,0.645,0.545,0.7,0.763
2,RF,RF_n_estimators=100_max_features=sqrt,0.724,0.436,0.602,0.816,0.647,0.556,0.676,0.772
2,RF,RF_n_estimators=300_max_features=log2,0.731,0.455,0.614,0.821,0.656,0.576,0.678,0.784
2,RF,RF_n_estimators=300_max_features=sqrt,0.726,0.446,0.608,0.82,0.656,0.569,0.669,0.783
2,SVM,SVM_C=0.1,0.706,0.39,0.579,0.792,0.603,0.503,0.712,0.7
2,SVM,SVM_C=1,0.725,0.439,0.608,0.818,0.638,0.554,0.691,0.758
2,SVM,SVM_C=10,0.713,0.421,0.59,0.801,0.614,0.558,0.632,0.795
2,XGB,XGB_n_estimators=100_max_depth=3,0.724,0.425,0.597,0.81,0.637,0.532,0.7,0.748
2,XGB,XGB_n_estimators=100_max_depth=6,0.717,0.421,0.592,0.805,0.636,0.549,0.659,0.776
2,XGB,XGB_n_estimators=300_max_depth=3,0.713,0.419,0.592,0.805,0.632,0.549,0.658,0.769
2,XGB,XGB_n_estimators=300_max_depth=6,0.716,0.416,0.589,0.804,0.635,0.54,0.665,0.766
3,KNN,KNN_n_neighbors=11_metric=cosine,0.71,0.408,0.582,0.798,0.587,0.536,0.66,0.76
3,KNN,KNN_n_neighbors=11_metric=euclidean,0.715,0.411,0.588,0.795,0.585,0.529,0.682,0.747
3,KNN,KNN_n_neighbors=21_metric=cosine,0.713,0.401,0.582,0.799,0.591,0.513,0.687,0.739
3,KNN,KNN_n_neighbors=21_metric=euclidean,0.715,0.402,0.584,0.798,0.589,0.507,0.707,0.722
3,KNN,KNN_n_neighbors=5_metric=cosine,0.71,0.399,0.581,0.784,0.553,0.507,0.697,0.723
