,,Bal.Acc,Bal.Acc,MCC,MCC,F1,F1,ROC_AUC,ROC_AUC,PR_AUC,PR_AUC,Precision,Precision,Sensitivity,Sensitivity,Specificity,Specificity
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Model,Config,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=11_metric=cosine,0.714,0.003,0.405,0.009,0.585,0.005,0.798,0.004,0.586,0.009,0.519,0.021,0.684,0.023,0.744,0.021
KNN,KNN_n_neighbors=11_metric=euclidean,0.71,0.004,0.403,0.01,0.582,0.007,0.793,0.006,0.582,0.012,0.523,0.013,0.676,0.006,0.744,0.009
KNN,KNN_n_neighbors=21_metric=cosine,0.711,0.003,0.402,0.005,0.583,0.006,0.799,0.005,0.595,0.014,0.515,0.009,0.685,0.014,0.737,0.01
KNN,KNN_n_neighbors=21_metric=euclidean,0.707,0.011,0.396,0.017,0.578,0.014,0.795,0.004,0.589,0.009,0.514,0.012,0.679,0.025,0.734,0.014
KNN,KNN_n_neighbors=5_metric=cosine,0.71,0.006,0.396,0.007,0.58,0.009,0.781,0.004,0.553,0.008,0.508,0.008,0.689,0.024,0.73,0.013
KNN,KNN_n_neighbors=5_metric=euclidean,0.703,0.006,0.394,0.011,0.575,0.004,0.777,0.005,0.549,0.008,0.524,0.016,0.662,0.013,0.743,0.016
LR,LR_C=0.01,0.725,0.006,0.421,0.011,0.596,0.01,0.807,0.006,0.611,0.017,0.524,0.014,0.703,0.024,0.747,0.016
LR,LR_C=0.1,0.727,0.009,0.422,0.016,0.595,0.013,0.806,0.006,0.611,0.016,0.524,0.015,0.701,0.021,0.752,0.019
LR,LR_C=1,0.726,0.01,0.419,0.016,0.593,0.013,0.806,0.006,0.61,0.016,0.52,0.014,0.704,0.022,0.747,0.013
LR,LR_C=10,0.725,0.01,0.42,0.017,0.594,0.014,0.806,0.006,0.61,0.016,0.522,0.013,0.704,0.022,0.747,0.013
LR,LR_C=100,0.725,0.011,0.42,0.017,0.594,0.014,0.806,0.006,0.61,0.016,0.523,0.011,0.701,0.024,0.748,0.012
RF,RF_n_estimators=100_max_features=log2,0.73,0.01,0.443,0.014,0.606,0.013,0.819,0.005,0.645,0.013,0.555,0.014,0.685,0.021,0.776,0.01
RF,RF_n_estimators=100_max_features=sqrt,0.729,0.006,0.44,0.013,0.606,0.011,0.818,0.005,0.644,0.013,0.55,0.017,0.688,0.008,0.771,0.008
RF,RF_n_estimators=300_max_features=log2,0.733,0.008,0.449,0.016,0.611,0.012,0.822,0.005,0.653,0.014,0.56,0.022,0.687,0.023,0.779,0.024
RF,RF_n_estimators=300_max_features=sqrt,0.732,0.007,0.445,0.015,0.608,0.01,0.821,0.006,0.652,0.012,0.556,0.027,0.682,0.029,0.783,0.025
SVM,SVM_C=0.1,0.706,0.004,0.39,0.006,0.575,0.005,0.789,0.005,0.584,0.018,0.503,0.011,0.7,0.008,0.713,0.013
SVM,SVM_C=1,0.728,0.006,0.436,0.008,0.605,0.007,0.813,0.006,0.621,0.018,0.548,0.015,0.685,0.019,0.77,0.017
SVM,SVM_C=10,0.716,0.007,0.416,0.014,0.587,0.012,0.799,0.006,0.606,0.015,0.541,0.019,0.654,0.021,0.778,0.015
XGB,XGB_n_estimators=100_max_depth=3,0.718,0.008,0.419,0.017,0.592,0.012,0.808,0.007,0.632,0.017,0.535,0.021,0.679,0.013,0.757,0.02
XGB,XGB_n_estimators=100_max_depth=6,0.716,0.007,0.419,0.017,0.59,0.012,0.807,0.006,0.633,0.015,0.545,0.03,0.662,0.02,0.77,0.023
XGB,XGB_n_estimators=300_max_depth=3,0.718,0.008,0.417,0.018,0.587,0.015,0.805,0.006,0.63,0.015,0.539,0.021,0.665,0.016,0.771,0.017
XGB,XGB_n_estimators=300_max_depth=6,0.718,0.006,0.422,0.015,0.592,0.014,0.806,0.006,0.634,0.014,0.546,0.018,0.66,0.007,0.775,0.008
