experiment,param_name,param_value,fold,model,global_dim,local_dim,dropout,lr,weight_decay,lambda_viol,beta,batch_size,seed,best_epoch,train_loss_at_best,val_meta_roc_auc,roc_auc_138,pr_auc_138,f1_macro_138,f1_micro_138,precision_macro_138,recall_macro_138,precision_micro_138,recall_micro_138,matched_accuracy_138,hamming_loss_138,jaccard_138,hier_violation_rate_138,roc_auc_12,pr_auc_12,f1_macro_12,instance_f1_12,balanced_accuracy_12,matched_accuracy_12,sensitivity_macro_12,specificity_macro_12,precision_macro_12,recall_macro_12,hamming_loss_12,jaccard_12,hier_violation_rate_12,label_cooc_consistency_12,test_loss
baseline_fine138_kfold,model,LR_C=0.01,0,LR,,,,,,,,,42,,,,0.8633,0.3003,0.3168,0.4256,0.2882,0.4263,0.3459,0.5529,0.0224,0.0539,0.2009,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,LR_C=0.1,0,LR,,,,,,,,,42,,,,0.8574,0.2987,0.3108,0.4156,0.2819,0.4205,0.3365,0.5433,0.0224,0.0551,0.1963,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,LR_C=1,0,LR,,,,,,,,,42,,,,0.8563,0.2977,0.3068,0.4034,0.2774,0.4197,0.3202,0.5449,0.0234,0.0582,0.1934,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,LR_C=10,0,LR,,,,,,,,,42,,,,0.8562,0.2977,0.3067,0.4034,0.2774,0.4196,0.3201,0.5455,0.0234,0.0582,0.1934,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,LR_C=100,0,LR,,,,,,,,,42,,,,0.8562,0.2977,0.3066,0.4034,0.2772,0.4196,0.32,0.5455,0.0234,0.0582,0.1933,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,RF_n_estimators=100_max_features=sqrt,0,RF,,,,,,,,,42,,,,0.8566,0.34,0.3469,0.459,0.3632,0.4035,0.4029,0.5333,0.0387,0.0454,0.2263,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,RF_n_estimators=100_max_features=log2,0,RF,,,,,,,,,42,,,,0.8641,0.354,0.3452,0.4448,0.3596,0.4117,0.3878,0.5214,0.0366,0.047,0.2237,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,RF_n_estimators=300_max_features=sqrt,0,RF,,,,,,,,,42,,,,0.8657,0.3492,0.3522,0.4615,0.3627,0.412,0.4035,0.539,0.0356,0.0454,0.2297,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,RF_n_estimators=300_max_features=log2,0,RF,,,,,,,,,42,,,,0.8717,0.3601,0.3566,0.4534,0.3833,0.4046,0.398,0.5266,0.0417,0.0458,0.2325,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,XGB_n_estimators=100_max_depth=3,0,XGB,,,,,,,,,42,,,,0.8469,0.3335,0.3297,0.4514,0.3619,0.3556,0.4068,0.5069,0.0376,0.0445,0.2115,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,XGB_n_estimators=100_max_depth=6,0,XGB,,,,,,,,,42,,,,0.8401,0.3396,0.3371,0.4667,0.3707,0.3485,0.4445,0.4912,0.0356,0.0405,0.219,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,XGB_n_estimators=300_max_depth=3,0,XGB,,,,,,,,,42,,,,0.8442,0.3342,0.3338,0.456,0.3962,0.3389,0.4425,0.4704,0.0417,0.0405,0.2143,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,XGB_n_estimators=300_max_depth=6,0,XGB,,,,,,,,,42,,,,0.8392,0.3392,0.3391,0.4752,0.3856,0.3389,0.4664,0.4843,0.0346,0.0386,0.2207,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,SVM_C=0.1,0,SVM,,,,,,,,,42,,,,0.8619,0.2878,0.29,0.3903,0.2745,0.4053,0.3034,0.5468,0.0285,0.0617,0.1817,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,SVM_C=1,0,SVM,,,,,,,,,42,,,,0.8605,0.3141,0.3227,0.4405,0.3222,0.3839,0.3718,0.5404,0.0366,0.0495,0.2073,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,SVM_C=10,0,SVM,,,,,,,,,42,,,,0.8431,0.3162,0.3133,0.4309,0.3292,0.3566,0.3819,0.4943,0.0346,0.0471,0.2007,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,KNN_n_neighbors=5_metric=euclidean,0,KNN,,,,,,,,,42,,,,0.7449,0.2381,0.2966,0.4098,0.3254,0.3594,0.3438,0.5074,0.0285,0.0527,0.188,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,KNN_n_neighbors=5_metric=cosine,0,KNN,,,,,,,,,42,,,,0.7445,0.2404,0.3098,0.4119,0.3578,0.3467,0.3639,0.4747,0.0295,0.0489,0.1964,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,KNN_n_neighbors=11_metric=euclidean,0,KNN,,,,,,,,,42,,,,0.7867,0.2573,0.3142,0.4084,0.332,0.3836,0.3382,0.5155,0.0254,0.0539,0.1996,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,KNN_n_neighbors=11_metric=cosine,0,KNN,,,,,,,,,42,,,,0.7913,0.2622,0.3114,0.4075,0.3281,0.3862,0.3389,0.5108,0.0275,0.0536,0.1973,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,KNN_n_neighbors=21_metric=euclidean,0,KNN,,,,,,,,,42,,,,0.8087,0.2542,0.2865,0.4146,0.2871,0.3486,0.3523,0.5037,0.0214,0.0513,0.1807,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,KNN_n_neighbors=21_metric=cosine,0,KNN,,,,,,,,,42,,,,0.8158,0.261,0.298,0.4141,0.3006,0.361,0.3568,0.4935,0.0305,0.0504,0.1883,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,LR_C=0.01,1,LR,,,,,,,,,42,,,,0.8505,0.2887,0.2976,0.3908,0.269,0.4144,0.3097,0.5295,0.0173,0.059,0.1867,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,LR_C=0.1,1,LR,,,,,,,,,42,,,,0.8452,0.2926,0.2992,0.4042,0.2681,0.4034,0.329,0.5239,0.0173,0.0552,0.1882,,,,,,,,,,,,,,,,
baseline_fine138_kfold,model,LR_C=1,1,LR,,,,,,,,,42,,,,0.8443,0.2912,0.2971,0.4,0.2728,0.3975,0.3261,0.5173,0.0173,0.0554,0.1863,,,,,,,,,,,,,,,,
