,,roc_auc_138,roc_auc_138,pr_auc_138,pr_auc_138,f1_macro_138,f1_macro_138,f1_micro_138,f1_micro_138,precision_macro_138,precision_macro_138,recall_macro_138,recall_macro_138,precision_micro_138,precision_micro_138,recall_micro_138,recall_micro_138,matched_accuracy_138,matched_accuracy_138,hamming_loss_138,hamming_loss_138,jaccard_138,jaccard_138,hier_violation_rate_138,hier_violation_rate_138,roc_auc_12,roc_auc_12,pr_auc_12,pr_auc_12,f1_macro_12,f1_macro_12,instance_f1_12,instance_f1_12,balanced_accuracy_12,balanced_accuracy_12,matched_accuracy_12,matched_accuracy_12,sensitivity_macro_12,sensitivity_macro_12,specificity_macro_12,specificity_macro_12,precision_macro_12,precision_macro_12,recall_macro_12,recall_macro_12,hamming_loss_12,hamming_loss_12,jaccard_12,jaccard_12,hier_violation_rate_12,hier_violation_rate_12,label_cooc_consistency_12,label_cooc_consistency_12,test_loss,test_loss
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,param_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=11_metric=cosine,0.7872399999999999,0.006230409296346433,0.25562,0.006650338337257732,0.30046,0.007338800991987726,0.39342,0.01216827843205437,0.3085,0.015797626403988674,0.38234,0.008836175643342539,0.32358,0.012752725198952578,0.5019,0.012584315634948133,0.025519999999999998,0.004884874614562794,0.054700000000000006,0.0015083103128998357,0.18936000000000003,0.005033686521824748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=11_metric=euclidean,0.78564,0.006868988280671334,0.25292,0.005637552660507936,0.29998,0.0080809652888748,0.39292,0.010030304083127292,0.30928,0.015403960529681984,0.37932,0.00804189032504176,0.32042000000000004,0.010777847651548983,0.50822,0.013003922485158081,0.01788,0.004884362803887526,0.05552,0.0014166862743741106,0.18934,0.005846195343982269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=21_metric=cosine,0.81064,0.009166406056901484,0.26172,0.01164847629520701,0.29488,0.009071769397421875,0.40716,0.005737856742721989,0.29576,0.010744440422841946,0.37,0.016321611440050888,0.34121999999999997,0.011056310415323883,0.5053599999999999,0.011377741427893332,0.02412,0.004725674555023864,0.05202,0.001903155274800246,0.1855,0.00603572696532904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=21_metric=euclidean,0.8089000000000001,0.008684181020683565,0.25648,0.004213905551860422,0.29003999999999996,0.006008577202632914,0.40278,0.00824602934751023,0.29192,0.0046413360145544594,0.36463999999999996,0.014716249522211811,0.33782,0.014397117767108801,0.49978,0.017058047953971752,0.018279999999999998,0.003944236301237541,0.05242,0.0027544509434731267,0.18209999999999998,0.004087175063537159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=5_metric=cosine,0.74498,0.0032614413991362778,0.2338,0.004783826919945993,0.29484000000000005,0.00930553598671241,0.39188,0.014927725881727597,0.3195,0.023000978240066236,0.36202,0.011687899725784788,0.32772,0.0275722142745192,0.49062,0.02165564591509565,0.025119999999999996,0.004520176987685326,0.05392,0.0041233481541097195,0.18546,0.006815643770033752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNN,KNN_n_neighbors=5_metric=euclidean,0.74452,0.004178755795688447,0.23058,0.005713755332528681,0.29219999999999996,0.0047143398265292475,0.393,0.015743411320295216,0.3083,0.009779570542718127,0.3668,0.010278375358002823,0.32396,0.018793562727700136,0.50014,0.014532480861848737,0.022520000000000002,0.003641702898370486,0.05464,0.0025774017925034504,0.18380000000000002,0.004010610926031101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,LR_C=0.01,0.86108,0.008103209240788497,0.29226,0.02005923727363531,0.30986,0.010643683572899014,0.39908,0.014904596606416434,0.28196000000000004,0.007965111424204932,0.42708,0.02032368076899458,0.31758,0.016602770853083527,0.53756,0.015621715654818421,0.02008,0.003180723188207361,0.05728,0.002886520396602109,0.1951,0.00745117440407886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,LR_C=0.1,0.8552,0.00780160239950747,0.29304,0.01667971822303963,0.30844,0.01081147538497868,0.40342,0.008212307836412384,0.28278,0.011773572100259115,0.41462000000000004,0.017204563348135287,0.32662,0.006749592580296973,0.5278,0.019451606617449393,0.0211,0.0022169799277395375,0.05516,0.0016994116628998425,0.19406,0.007082584274119156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,LR_C=1,0.85412,0.00771180912626858,0.29188000000000003,0.016598554153901473,0.30724,0.009812899673389103,0.3996,0.0032992423372647317,0.28058,0.007765436240160622,0.41638000000000003,0.02170695741001028,0.32152,0.006788004124925094,0.52834,0.014890701796758932,0.0215,0.0025913317039699883,0.05614,0.0025065913109240602,0.19292,0.006456159849322199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,LR_C=10,0.85402,0.007711809126268621,0.2919,0.0166451194047985,0.30751999999999996,0.009242131788716286,0.39952,0.003266802718255268,0.28114,0.006706191169359849,0.41448,0.0228181287576348,0.32154,0.006535518342105701,0.52792,0.015200230261413785,0.0217,0.002591331703969988,0.05612,0.002317757536930901,0.19322,0.006121029325203404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LR,LR_C=100,0.85402,0.007711809126268621,0.29192,0.01664457869698117,0.30772,0.009426133884048114,0.40038,0.0025203174403237365,0.28124000000000005,0.006944998200143767,0.41432,0.023222123072621923,0.3224,0.006792275023878223,0.52866,0.016499787877424364,0.0217,0.002591331703969988,0.05600000000000001,0.0024708298201211684,0.19334,0.00623121176016351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,RF_n_estimators=100_max_features=log2,0.85662,0.008083130581649653,0.33693999999999996,0.015060312081759793,0.33236,0.010603442837116641,0.43332,0.010552345710788677,0.3432,0.010174723583468962,0.40056,0.018008692345642403,0.37102,0.016520805065129245,0.52154,0.013641407552008707,0.03256,0.006228001284521382,0.04824,0.0023469128658729532,0.21322000000000002,0.008446123371109376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,RF_n_estimators=100_max_features=sqrt,0.85046,0.008609181145730433,0.32576,0.015003266311040389,0.327,0.016009528412792153,0.43163999999999997,0.01618681562259852,0.33526,0.01795474867548974,0.39712000000000003,0.020044874656629803,0.36886,0.022988105620080995,0.5215799999999999,0.019528363986775783,0.03916,0.005223313124827956,0.048620000000000003,0.0031673332631726647,0.20992000000000002,0.012113298477293446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,RF_n_estimators=300_max_features=log2,0.8657199999999999,0.00744493116153533,0.34418,0.015465994956678351,0.34018,0.013596396581447588,0.43828000000000006,0.010847903023165332,0.35092,0.020498219434868,0.40338,0.01326996608887907,0.37916,0.01637262959942602,0.51986,0.013576376541625537,0.040760000000000005,0.005351915544924078,0.047099999999999996,0.0014439529078193658,0.21896,0.01049180632684383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,RF_n_estimators=300_max_features=sqrt,0.8598399999999999,0.009444204572117244,0.3324,0.016818442258425718,0.32908,0.015695285916478226,0.43464,0.016216596436983942,0.33842,0.018590104894808956,0.39638,0.023639839254952635,0.37317999999999996,0.025324039962059765,0.52266,0.025509762837000294,0.03712,0.006331429538421795,0.04812,0.003479511459961007,0.2113,0.011985616379644402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM,SVM_C=0.1,0.8619600000000001,0.00973848037426783,0.28437999999999997,0.01405051600475939,0.28864,0.005229053451629643,0.39096000000000003,0.00705287175553335,0.27766,0.011281533583693278,0.3859,0.01480675521510366,0.31684,0.012648043326934005,0.51204,0.025519855015262112,0.027360000000000002,0.006684160381080034,0.056400000000000006,0.0032924155266308625,0.18051999999999999,0.003911137941827175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM,SVM_C=1,0.8588800000000001,0.009522972225098616,0.30966,0.014337642763020693,0.31374,0.015583741527630647,0.42078,0.015719001240536865,0.31388,0.010907428661238165,0.3847,0.016683524807426048,0.35768,0.01306338394138366,0.51104,0.022089884562849143,0.03354,0.005830351618899155,0.04968,0.0009230384607371464,0.19904,0.011189191212951895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVM,SVM_C=10,0.8388,0.009195107394696362,0.30628,0.010326761350975423,0.30742,0.007801089667475957,0.4175,0.01474109900923267,0.32328,0.00989075325746223,0.35584,0.00820627808449116,0.36547999999999997,0.014840215631856552,0.4868,0.014441087216688365,0.03474,0.0054747602687241015,0.04802,0.0010709808588392224,0.19506,0.00590702971043823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
